Date,KUKJE (ACWI ex KOREA) VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.000210262704
1999-01-04,1008.8517912685423
1999-01-05,1017.023198925052
1999-01-06,1037.3284174095115
1999-01-07,1035.715319620086
1999-01-08,1035.7348201373868
1999-01-11,1028.3537064112
1999-01-12,1011.4268959000229
1999-01-13,990.9213550040822
1999-01-14,983.5874091417451
1999-01-15,997.501120519237
1999-01-18,1005.9697141864254
1999-01-19,1005.8880617863813
1999-01-20,1011.1499963792662
1999-01-21,1001.5855110214763
1999-01-22,985.3675564602829
1999-01-25,986.534430975672
1999-01-26,992.9335369538712
1999-01-27,988.573123817215
1999-01-28,993.3327079132313
1999-01-29,1000.4208163881351
1999-02-01,1005.1032291746458
1999-02-02,1004.0564139312336
1999-02-03,1001.9640144840591
1999-02-04,995.2535206069873
1999-02-05,990.2871644970254
1999-02-08,988.2586822082839
1999-02-09,973.4460586947561
1999-02-10,972.6717495448931
1999-02-11,985.745322045207
1999-02-12,983.5860905212106
1999-02-15,983.3483136502663
1999-02-16,984.6865682693342
1999-02-17,977.6009501870668
1999-02-18,980.7901494697873
1999-02-19,978.4712780203146
1999-02-22,991.8362689354798
1999-02-23,992.4279996710172
1999-02-24,989.0696420379592
1999-02-25,986.7659134009875
1999-02-26,983.9937616461409
1999-03-01,977.4189965095806
1999-03-02,973.6618761605912
1999-03-03,971.8148582895434
1999-03-04,977.7111286638376
1999-03-05,1002.2532613329441
1999-03-08,1004.3734943661175
1999-03-09,1008.0590698110353
1999-03-10,1020.3978376854283
1999-03-11,1026.28159353385
1999-03-12,1031.3390016698088
1999-03-15,1038.6194496916773
1999-03-16,1042.3774309197725
1999-03-17,1042.9439044587552
1999-03-18,1044.2078261310717
1999-03-19,1047.8722448655085
1999-03-22,1043.8516619120373
1999-03-23,1026.4065648262049
1999-03-24,1021.5221409667056
1999-03-25,1035.0967212900848
1999-03-26,1028.1704235959064
1999-03-29,1039.0353403315323
1999-03-30,1035.9607612544494
1999-03-31,1038.7246401686575
1999-04-01,1043.3120492106084
1999-04-02,1042.2255275785312
1999-04-05,1048.0895825701605
1999-04-06,1055.4169336815528
1999-04-07,1064.3664472384442
1999-04-08,1075.1371617444925
1999-04-09,1076.3075481123885
1999-04-12,1080.4084305639801
1999-04-13,1084.164861234004
1999-04-14,1086.4469835470413
1999-04-15,1085.7602323919543
1999-04-16,1094.2032335696151
1999-04-19,1096.4544143736086
1999-04-20,1089.0400189325792
1999-04-21,1091.2271350566846
1999-04-22,1100.442202508811
1999-04-23,1103.7033180212738
1999-04-26,1104.6400316308707
1999-04-27,1114.754327936121
1999-04-28,1116.1785961956302
1999-04-29,1114.6557037817677
1999-04-30,1112.776436075668
1999-05-03,1123.5395885859696
1999-05-04,1120.438215342531
1999-05-05,1122.7678347581477
1999-05-06,1130.3696307462897
1999-05-07,1129.5477972988604
1999-05-10,1130.1641159154608
1999-05-11,1128.4103368948165
1999-05-12,1124.4473215653181
1999-05-13,1127.529011507424
1999-05-14,1112.1287854206041
1999-05-17,1098.5413951550568
1999-05-18,1100.3043759891978
1999-05-19,1101.260664613595
1999-05-20,1102.36737250297
1999-05-21,1097.854739458696
1999-05-24,1090.082604259459
1999-05-25,1077.7629478239144
1999-05-26,1082.1046083041547
1999-05-27,1067.859974819372
1999-05-28,1073.6001038560155
1999-05-31,1074.4499405522656
1999-06-01,1078.1243903291167
1999-06-02,1079.1245061283273
1999-06-03,1082.161900447519
1999-06-04,1090.8447665167957
1999-06-07,1099.7968984047423
1999-06-08,1101.6521542081805
1999-06-09,1103.5569641406485
1999-06-10,1101.5059114097976
1999-06-11,1106.3405355181153
1999-06-14,1101.6270678419148
1999-06-15,1104.1253925792514
1999-06-16,1114.1117482822826
1999-06-17,1121.4626480039956
1999-06-18,1123.9431560866904
1999-06-21,1127.0858158799865
1999-06-22,1123.2345767938432
1999-06-23,1113.593026131544
1999-06-24,1104.7070001401291
1999-06-25,1106.6665292482141
1999-06-28,1111.1649012051628
1999-06-29,1117.3677468055014
1999-06-30,1119.973521607454
1999-07-01,1132.2371690941009
1999-07-02,1140.1061170322666
1999-07-05,1149.3393589528341
1999-07-06,1146.9256684458628
1999-07-07,1144.1831747089402
1999-07-08,1140.1057668833832
1999-07-09,1143.8109961245123
1999-07-12,1142.8180431558324
1999-07-13,1137.002220644542
1999-07-14,1141.8108321574155
1999-07-15,1152.0283825852096
1999-07-16,1149.844603426329
1999-07-19,1148.268804517028
1999-07-20,1140.518067909103
1999-07-21,1137.488509060197
1999-07-22,1127.7657170943396
1999-07-23,1118.1285068188654
1999-07-26,1115.8759460090341
1999-07-27,1120.9396987119662
1999-07-28,1124.9088975562563
1999-07-29,1116.628540397777
1999-07-30,1120.6627939987027
1999-08-02,1117.7186993176406
1999-08-03,1116.5807067589417
1999-08-04,1113.3577021165042
1999-08-05,1105.7767444248466
1999-08-06,1097.3666787241075
1999-08-09,1096.1842701293197
1999-08-10,1086.1504449343106
1999-08-11,1090.564163751522
1999-08-12,1098.554003650173
1999-08-13,1110.5860929704068
1999-08-16,1118.5108607987268
1999-08-17,1121.0239038043974
1999-08-18,1121.0252741483475
1999-08-19,1118.6133437855076
1999-08-20,1131.5676992939616
1999-08-23,1144.878902735328
1999-08-24,1141.6748288305582
1999-08-25,1144.9978403595499
1999-08-26,1134.6090852797806
1999-08-27,1130.2935655390036
1999-08-30,1124.1337770153443
1999-08-31,1113.410290555756
1999-09-01,1127.1623514297262
1999-09-02,1121.474897172144
1999-09-03,1135.8533113930998
1999-09-06,1141.1319352302696
1999-09-07,1134.0002617529162
1999-09-08,1131.4221565777518
1999-09-09,1140.2099506644079
1999-09-10,1138.6763346658067
1999-09-13,1136.795301668477
1999-09-14,1131.9749744483554
1999-09-15,1124.2272985928792
1999-09-16,1116.037465767732
1999-09-17,1118.8691028624203
1999-09-20,1121.2563108421912
1999-09-21,1114.1849873085787
