Date,AC ASIA ex JAPAN VALUE WEIGHTED
1994-06-30,299.55345473
1994-07-29,316.32856338
1994-08-31,339.78368914
1994-09-30,334.41843083
1994-10-31,337.64887388
1994-11-30,307.07411523
1994-12-30,300.04549609
1995-01-31,268.91578697
1995-02-28,293.47162955
1995-03-31,293.10261166
1995-04-28,288.82562798
1995-05-31,322.50625157
1995-06-30,320.15142143
1995-07-31,327.39613625
1995-08-31,313.32467678
1995-09-29,322.04926562
1995-10-31,319.29381246
1995-11-30,312.23224191
1995-12-29,323.76946511
1996-01-31,350.381955
1996-02-29,352.26419942
1996-03-29,352.9240227
1996-04-30,366.45363404
1996-05-31,365.61550079
1996-06-28,357.42112059
1996-07-31,333.11747289
1996-08-30,341.31997669
1996-09-30,347.54555656
1996-10-31,342.77250515
1996-11-29,360.56031989
1996-12-31,353.42213258
1997-01-01,353.42213258
1997-01-02,352.350827
1997-01-03,354.12425759
1997-01-06,355.05517464
1997-01-07,356.20078156
1997-01-08,360.05418184
1997-01-09,360.26726523
1997-01-10,360.47735738
1997-01-13,361.18545807
1997-01-14,362.32632559
1997-01-15,369.93966804
1997-01-16,368.85269916
1997-01-17,368.93871846
1997-01-20,371.18463842
1997-01-21,367.2198096
1997-01-22,367.89429653
1997-01-23,367.44464896
1997-01-24,364.69200021
1997-01-27,363.20911164
1997-01-28,364.13375804
1997-01-29,361.4745461
1997-01-30,362.44773145
1997-01-31,360.82152832
1997-02-03,360.93418913
1997-02-04,362.98338993
1997-02-05,363.08983428
1997-02-06,364.10807432
1997-02-07,364.12689813
1997-02-10,363.98608822
1997-02-11,363.23244675
1997-02-12,364.59649684
1997-02-13,363.60135452
1997-02-14,362.49819378
1997-02-17,362.46361786
1997-02-18,360.69644082
1997-02-19,363.007339
1997-02-20,366.20683194
1997-02-21,364.01502408
1997-02-24,360.61928298
1997-02-25,362.70013863
1997-02-26,361.88511048
1997-02-27,361.51477165
1997-02-28,363.37904686
1997-03-03,365.74944728
1997-03-04,364.49081416
1997-03-05,363.00424895
1997-03-06,361.50096042
1997-03-07,361.55440361
1997-03-10,358.50065194
1997-03-11,357.91088558
1997-03-12,357.12609316
1997-03-13,354.47999296
1997-03-14,350.1060327
1997-03-17,353.26775249
1997-03-18,351.65098643
1997-03-19,349.35695431
1997-03-20,346.82742653
1997-03-21,344.01433133
1997-03-24,345.86082494
1997-03-25,348.57022792
1997-03-26,349.99435102
1997-03-27,347.22290198
1997-03-28,346.0622456
1997-03-31,343.06740398
1997-04-01,339.92121144
1997-04-02,342.94298464
1997-04-03,341.84643795
1997-04-04,343.49116251
1997-04-07,344.44781353
1997-04-08,346.11847385
1997-04-09,347.72573512
1997-04-10,344.90836099
1997-04-11,346.0027036
1997-04-14,342.68743085
1997-04-15,342.11470958
1997-04-16,344.59242471
1997-04-17,343.44184292
1997-04-18,343.02148923
1997-04-21,346.62831826
1997-04-22,345.00222143
1997-04-23,346.83401038
1997-04-24,345.18317856
1997-04-25,344.56703394
1997-04-28,343.87471259
1997-04-29,341.1053926
1997-04-30,344.80230354
1997-05-01,346.142312
1997-05-02,346.11218291
1997-05-05,349.20588294
1997-05-06,350.69421979
1997-05-07,350.86612842
1997-05-08,349.90856833
1997-05-09,351.33411161
1997-05-12,349.84666787
1997-05-13,350.01922779
1997-05-14,351.13950603
1997-05-15,348.8404819
1997-05-16,348.72905937
1997-05-19,351.38971555
1997-05-20,354.20449015
1997-05-21,355.23934
1997-05-22,353.76097544
1997-05-23,355.11983932
1997-05-26,356.22106359
1997-05-27,355.8603045
1997-05-28,357.86457384
1997-05-29,358.08768572
1997-05-30,361.58219567
1997-06-02,367.35938597
1997-06-03,366.7132618
1997-06-04,366.61898687
1997-06-05,366.81706375
1997-06-06,364.6355799
1997-06-09,365.22504993
1997-06-10,362.29061724
1997-06-11,362.08170738
1997-06-12,358.71165682
1997-06-13,359.37230837
1997-06-16,363.09535068
1997-06-17,362.81008941
1997-06-18,360.33353113
1997-06-19,362.35795876
1997-06-20,368.03165952
1997-06-23,368.75219586
1997-06-24,366.71542739
1997-06-25,367.00852407
1997-06-26,368.72366438
1997-06-27,368.71985739
1997-06-30,370.72183787
