Date,AC FAR EAST VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,1047.971115982784
1996-01-31,1067.3625002134584
1996-02-29,1051.6445644585162
1996-03-29,1079.551297000367
1996-04-30,1137.5340345710817
1996-05-31,1094.3058155244585
1996-06-28,1095.0513982015104
1996-07-31,1043.1947911870755
1996-08-30,1019.0879139097118
1996-09-30,1053.1949178446428
1996-10-31,1000.4198388188502
1996-11-29,1036.4121262346678
1996-12-31,984.9498833047784
1997-01-01,984.9498833047784
1997-01-02,984.1574494421046
1997-01-03,983.0324255911136
1997-01-06,991.2292723082948
1997-01-07,981.4103751652048
1997-01-08,974.8080676850886
1997-01-09,956.7766773506048
1997-01-10,934.4973564697435
1997-01-13,950.5618566257746
1997-01-14,951.4068348425038
1997-01-15,956.3296342305895
1997-01-16,963.4219343898359
1997-01-17,958.3407588965314
1997-01-20,944.61860324527
1997-01-21,937.4664015285407
1997-01-22,943.8682445873494
1997-01-23,936.1405780367728
1997-01-24,930.2225829416425
1997-01-27,915.0244368914248
1997-01-28,916.8979695301786
1997-01-29,919.9682867591521
1997-01-30,913.7849977632604
1997-01-31,927.9386635104635
1997-02-03,923.5258795856585
1997-02-04,926.883996141853
1997-02-05,914.2532977494319
1997-02-06,911.7294080645829
1997-02-07,904.5557954207266
1997-02-10,918.9971652997419
1997-02-11,916.6764489548256
1997-02-12,921.7905611053399
1997-02-13,922.7971828454749
1997-02-14,927.2121268741828
1997-02-17,925.670430370016
1997-02-18,919.8050737975827
1997-02-19,922.149084486747
1997-02-20,940.6082885965911
1997-02-21,942.31971214821
1997-02-24,940.8462753570136
1997-02-25,944.4782544960932
1997-02-26,940.2010433634655
1997-02-27,944.4148078241396
1997-02-28,935.6406933880614
1997-03-03,930.9051364183351
1997-03-04,927.9537962276808
1997-03-05,920.8175727933618
1997-03-06,911.6593293747109
1997-03-07,913.8853262378964
1997-03-10,912.3366763466686
1997-03-11,914.8970974279752
1997-03-12,910.4448492958556
1997-03-13,899.7957376277167
1997-03-14,895.6341107281023
1997-03-17,898.6251532747871
1997-03-18,908.1661190250367
1997-03-19,908.7267893951656
1997-03-20,902.6110365346152
1997-03-21,908.1323553972503
1997-03-24,900.5935289653341
1997-03-25,906.5411744841989
1997-03-26,912.057006487721
1997-03-27,907.9778110030021
1997-03-28,905.7268870456357
1997-03-31,905.062728497357
1997-04-01,901.1526048406766
1997-04-02,911.5901860488981
1997-04-03,911.4202609653315
1997-04-04,903.2882844791618
1997-04-07,893.5673132722618
1997-04-08,899.9334184796516
1997-04-09,890.8671852071777
1997-04-10,882.4864833023904
1997-04-11,889.4494916882212
1997-04-14,881.1743143556156
1997-04-15,885.5413532353707
1997-04-16,894.606188478201
1997-04-17,895.0170293382166
1997-04-18,900.7795612481746
1997-04-21,912.8483347265941
1997-04-22,908.259443612069
1997-04-23,917.3949640574222
1997-04-24,916.4912188918985
1997-04-25,913.8511693220414
1997-04-28,911.5541376471683
1997-04-29,907.8798416910753
1997-04-30,922.5614811496138
1997-05-01,931.0485121233629
1997-05-02,935.7365243614961
1997-05-05,939.2835475454285
1997-05-06,966.2463779583561
1997-05-07,965.2534476721753
1997-05-08,966.4719954851599
1997-05-09,970.7063433904399
1997-05-12,989.9689304661752
1997-05-13,989.814203140365
1997-05-14,994.9696683503763
1997-05-15,998.362313683472
1997-05-16,1007.1070443855288
1997-05-19,1009.9951215701645
1997-05-20,1025.3937373938122
1997-05-21,1010.795700044787
1997-05-22,997.7504344802574
1997-05-23,1009.7011691673529
1997-05-26,1008.7125590265979
1997-05-27,1002.4307932428804
1997-05-28,1020.7147450534874
1997-05-29,1017.1924027919648
1997-05-30,1005.6876633097912
1997-06-02,1023.5630237217233
1997-06-03,1027.372390253186
1997-06-04,1030.2925503594165
1997-06-05,1032.4148553478337
1997-06-06,1029.1413845896375
1997-06-09,1041.9108532802898
1997-06-10,1042.932244854062
1997-06-11,1048.2213632096434
1997-06-12,1035.5244134904785
1997-06-13,1032.9425893152952
1997-06-16,1051.0462962636018
1997-06-17,1047.226948747986
1997-06-18,1043.3680905982865
1997-06-19,1041.272022286514
1997-06-20,1041.9278381604279
1997-06-23,1038.7660027265242
1997-06-24,1040.836379206534
1997-06-25,1058.072272676428
1997-06-26,1061.7035997928579
1997-06-27,1051.46836315004
1997-06-30,1057.898202295893
1997-07-01,1045.8670617245132
1997-07-02,1054.7826008452084
1997-07-03,1056.9846656104692
1997-07-04,1048.569579625908
1997-07-07,1044.5593201156685
1997-07-08,1044.4637984775293
1997-07-09,1039.4476925379972
1997-07-10,1039.2824218284652
1997-07-11,1037.7522839717308
1997-07-14,1044.089682666459
1997-07-15,1034.0956363214957
1997-07-16,1037.3195885089747
1997-07-17,1041.5632670104196
1997-07-18,1036.3111571369461
1997-07-21,1035.057885684972
1997-07-22,1030.5757346055607
1997-07-23,1029.1157479113442
1997-07-24,1034.7677402202416
1997-07-25,1033.1358196562458
1997-07-28,1035.3457317618736
1997-07-29,1034.143901447465
1997-07-30,1026.1940710733725
1997-07-31,1031.1493932417936
1997-08-01,1019.0716970076065
1997-08-04,1011.3146489543377
1997-08-05,999.038745761071
1997-08-06,1010.0240981064185
1997-08-07,1004.782289398386
1997-08-08,1023.0210532076279
1997-08-11,999.8315994179795
1997-08-12,1003.1905868300162
1997-08-13,1006.6517362401506
1997-08-14,996.9470498331771
1997-08-15,998.2645397789639
1997-08-18,984.2300404911026
1997-08-19,971.6778995766603
1997-08-20,985.0282276701782
1997-08-21,985.6133965769036
1997-08-22,966.996620901549
1997-08-25,958.3766010471796
1997-08-26,961.9805770417765
1997-08-27,947.9951053089886
1997-08-28,933.8468932445124
1997-08-29,912.6241742703507
1997-09-01,884.8323397960518
1997-09-02,888.4232384236366
1997-09-03,911.7403204349116
1997-09-04,906.3613009601414
1997-09-05,917.1206476459915
1997-09-08,920.975496814662
1997-09-09,936.6493109569677
1997-09-10,930.7036644771268
1997-09-11,910.8969889214974
1997-09-12,898.5789385910555
1997-09-15,901.4675684717286
1997-09-16,894.1481890582671
1997-09-17,887.4449320569886
1997-09-18,882.4963830649353
1997-09-19,885.0747536100679
1997-09-22,882.4810402529922
1997-09-23,885.5594934605962
1997-09-24,904.4565118667058
1997-09-25,902.3001987734606
1997-09-26,889.511641414463
1997-09-29,888.4983005389429
1997-09-30,893.631674595184
1997-10-01,888.9519094129812
1997-10-02,878.2467490698884
1997-10-03,874.9354291891068
1997-10-06,878.8344675483966
1997-10-07,868.2821619180637
1997-10-08,873.5683986192042
1997-10-09,865.2376984549985
1997-10-10,873.1855577650681
1997-10-13,858.8405709992619
1997-10-14,853.6303185674119
1997-10-15,853.702060451862
1997-10-16,866.7155583117884
1997-10-17,861.550700295379
1997-10-20,836.252449556087
1997-10-21,834.2122181024141
1997-10-22,837.5737919158815
1997-10-23,808.4242388306799
1997-10-24,807.2374622505522
1997-10-27,789.5812962970082
1997-10-28,757.0849871745613
1997-10-29,784.7526542692304
1997-10-30,768.8069386030427
1997-10-31,770.3900111777047
1997-11-03,782.7666244566009
1997-11-04,782.6798707145499
1997-11-05,775.0597947680124
1997-11-06,770.9194311081869
1997-11-07,742.7636796809435
1997-11-10,730.1040354767792
1997-11-11,730.8025891423121
1997-11-12,712.024764372676
1997-11-13,710.1080401036126
1997-11-14,697.8153165653567
1997-11-17,735.753136392719
1997-11-18,741.6522411531274
1997-11-19,707.3897215849361
1997-11-20,707.492535671422
1997-11-21,735.066278731041
1997-11-24,728.2781640822319
1997-11-25,691.9240833120648
1997-11-26,694.6815829088488
1997-11-27,709.2622361560212
1997-11-28,707.2229244825799
1997-12-01,708.5373074241137
1997-12-02,710.9726236680638
1997-12-03,705.3374505220341
1997-12-04,700.9983761072148
1997-12-05,703.6417014113906
1997-12-08,699.2162155024344
1997-12-09,702.3067861948304
1997-12-10,697.7205814033398
1997-12-11,667.5919606402573
1997-12-12,656.017915750841
1997-12-15,652.9226160578702
1997-12-16,653.5470677715575
1997-12-17,682.5261165171071
1997-12-18,677.1294843046094
1997-12-19,649.814801025404
1997-12-22,624.8193979747026
1997-12-23,621.5789659320077
1997-12-24,622.9521089638079
1997-12-25,623.0293320559304
1997-12-26,631.6216899983103
1997-12-29,637.7015323479911
1997-12-30,650.584458592899
1997-12-31,650.1997771530703
1998-01-01,650.1997771530703
1998-01-02,639.4223961344164
1998-01-05,623.6127256912932
1998-01-06,615.4772658055336
1998-01-07,613.8929928764658
1998-01-08,601.5733672713612
1998-01-09,593.4022044381527
1998-01-12,570.2871338237713
1998-01-13,583.213912481671
1998-01-14,608.310984676382
1998-01-15,607.5631239538758
1998-01-16,635.9847465814196
1998-01-19,664.2289821579657
1998-01-20,662.8405508712368
1998-01-21,669.1937870178824
1998-01-22,659.5275687348072
1998-01-23,667.2865054597107
1998-01-26,691.1090254169384
1998-01-27,699.2853053095446
1998-01-28,702.5840061326832
1998-01-29,697.6871684219813
