Date,AC ASIA PACIFIC VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,1045.8443002981837
1996-01-31,1063.7747759661304
1996-02-29,1056.5334749048102
1996-03-29,1081.0999099738892
1996-04-30,1138.5545102760368
1996-05-31,1097.971418125171
1996-06-28,1097.939367145114
1996-07-31,1044.93093670728
1996-08-30,1027.9616681937202
1996-09-30,1056.7345783460275
1996-10-31,1013.9267471038872
1996-11-29,1048.1567378217744
1996-12-31,1004.6482041750911
1997-01-01,1004.6482041750911
1997-01-02,1004.5638255036002
1997-01-03,1003.5902977509421
1997-01-06,1011.0492784135557
1997-01-07,1002.4520201977199
1997-01-08,996.5120775954645
1997-01-09,981.3657999892059
1997-01-10,962.1447260477663
1997-01-13,976.572936557895
1997-01-14,978.1418872489501
1997-01-15,984.6444991710682
1997-01-16,989.3854747877879
1997-01-17,984.8468322729286
1997-01-20,972.4039652414821
1997-01-21,964.7651220156215
1997-01-22,971.0265287801776
1997-01-23,963.6828373980303
1997-01-24,958.015162889
1997-01-27,945.6723847835073
1997-01-28,946.758483742067
1997-01-29,949.5530782441791
1997-01-30,943.1470386359227
1997-01-31,954.2184668858947
1997-02-03,950.6036906162318
1997-02-04,952.5938972247434
1997-02-05,942.1571235180513
1997-02-06,940.4253897368222
1997-02-07,934.1516521386659
1997-02-10,946.5856248851408
1997-02-11,945.5628185875983
1997-02-12,950.6490006543931
1997-02-13,954.0412557617911
1997-02-14,957.397653766893
1997-02-17,957.8708756558146
1997-02-18,952.4213941720338
1997-02-19,954.0618037853118
1997-02-20,970.0059647062603
1997-02-21,971.8031453459698
1997-02-24,970.1134183296501
1997-02-25,974.3958347000863
1997-02-26,969.8980148115346
1997-02-27,973.2958858841653
1997-02-28,966.426542962887
1997-03-03,964.5448106955336
1997-03-04,963.2638115630449
1997-03-05,956.3112766509574
1997-03-06,948.3578509011189
1997-03-07,950.3663672850918
1997-03-10,948.6961661697661
1997-03-11,950.875157186696
1997-03-12,946.6876816613774
1997-03-13,936.7559410924363
1997-03-14,932.3504500984124
1997-03-17,935.0986651198133
1997-03-18,941.3344914116708
1997-03-19,940.0494404493656
1997-03-20,935.3338652471136
1997-03-21,939.8547907562979
1997-03-24,934.0595140357066
1997-03-25,939.0257061797563
1997-03-26,943.9591409018062
1997-03-27,941.0722262194673
1997-03-28,938.7898718149096
1997-03-31,935.1944506533002
1997-04-01,929.8954908176127
1997-04-02,940.10184135804
1997-04-03,939.5670702837157
1997-04-04,931.8089375979267
1997-04-07,922.5393377297825
1997-04-08,928.872809857791
1997-04-09,922.9273587596963
1997-04-10,914.815165540621
1997-04-11,921.0339822913722
1997-04-14,911.9625753791914
1997-04-15,916.4418591609106
1997-04-16,925.0855345704834
1997-04-17,926.424371633007
1997-04-18,933.0534496952555
1997-04-21,945.1752748020754
1997-04-22,941.394145848679
1997-04-23,950.4171558127396
1997-04-24,949.2554918882755
1997-04-25,947.0212683876251
1997-04-28,944.6918596483572
1997-04-29,942.2367077251589
1997-04-30,956.2105364884706
1997-05-01,963.8904085432857
1997-05-02,968.1267672894736
1997-05-05,970.4352959948433
1997-05-06,994.9332660952439
1997-05-07,994.0982107263901
