Date,ACWI VALUE WEIGHTED
1994-06-30,300.36458679
1994-07-29,309.00256253
1994-08-31,320.15035035
1994-09-30,312.10093454
1994-10-31,319.93541153
1994-11-30,306.518305
1994-12-30,307.6407265
1995-01-31,303.19564792
1995-02-28,307.7585956
1995-03-31,320.25564965
1995-04-28,331.87646163
1995-05-31,338.74112228
1995-06-30,339.56001751
1995-07-31,355.6968271
1995-08-31,349.20339608
1995-09-29,359.37508631
1995-10-31,352.18472306
1995-11-30,363.1528085
1995-12-29,374.4045559
1996-01-31,384.4551461
1996-02-29,385.5525235
1996-03-29,391.1334807
1996-04-30,400.170658
1996-05-31,402.0857469
1996-06-28,404.4610894
1996-07-31,390.5772112
1996-08-30,397.0085337
1996-09-30,410.2665705
1996-10-31,415.7990048
1996-11-29,439.1784878
1996-12-31,436.0933571
1997-01-01,436.0932592
1997-01-02,433.0658898
1997-01-03,435.5980968
1997-01-06,436.7791577
1997-01-07,437.8367385
1997-01-08,437.2587282
1997-01-09,437.8023763
1997-01-10,436.2806303
1997-01-13,439.0952623
1997-01-14,442.9573831
1997-01-15,444.2495912
1997-01-16,445.9298028
1997-01-17,446.3653382
1997-01-20,444.4646814
1997-01-21,444.4268139
1997-01-22,445.9945561
1997-01-23,443.918609
1997-01-24,441.0005631
1997-01-27,438.1296665
1997-01-28,437.8441969
1997-01-29,439.0884956
1997-01-30,441.6205978
1997-01-31,444.4637789
1997-02-03,444.4949646
1997-02-04,445.9365531
1997-02-05,444.4774279
1997-02-06,444.774339
1997-02-07,446.5653407
1997-02-10,448.7535055
1997-02-11,448.9179733
1997-02-12,452.0379376
1997-02-13,454.3893554
1997-02-14,454.5830673
1997-02-17,454.1700376
1997-02-18,455.3926872
1997-02-19,454.531675
1997-02-20,453.8915894
1997-02-21,454.2673618
1997-02-24,457.4701837
1997-02-25,459.8599814
1997-02-26,456.2351055
1997-02-27,453.9109862
1997-02-28,451.4797689
1997-03-03,451.5594993
1997-03-04,451.639144
1997-03-05,453.2580615
1997-03-06,453.586952
1997-03-07,455.7088623
1997-03-10,459.3202031
1997-03-11,459.2881855
1997-03-12,455.4833832
1997-03-13,450.3414646
1997-03-14,451.6340697
1997-03-17,450.2876157
1997-03-18,448.9430857
1997-03-19,448.2735675
1997-03-20,444.2942614
1997-03-21,446.6255637
1997-03-24,447.5127763
1997-03-25,449.5190833
1997-03-26,451.2691298
1997-03-27,448.6926369
1997-03-28,448.547672
1997-03-31,444.761166
1997-04-01,441.2305755
1997-04-02,439.6851865
1997-04-03,438.3295232
1997-04-04,439.5110756
1997-04-07,440.3702057
1997-04-08,441.6022017
1997-04-09,440.7036041
1997-04-10,439.5108125
1997-04-11,434.2202539
1997-04-14,433.4957816
1997-04-15,438.0489451
1997-04-16,441.2976108
1997-04-17,441.6653054
1997-04-18,443.2000684
1997-04-21,444.0632009
1997-04-22,446.5265236
1997-04-23,448.1205406
1997-04-24,447.6275116
1997-04-25,444.7221558
1997-04-28,446.4123683
1997-04-29,452.9766212
1997-04-30,456.2851771
1997-05-01,457.5656661
1997-05-02,461.4926206
1997-05-05,465.8996837
1997-05-06,470.6241225
1997-05-07,467.941938
1997-05-08,469.8699279
1997-05-09,473.1885971
1997-05-12,478.9333086
1997-05-13,479.1331114
1997-05-14,480.5402351
1997-05-15,481.9491047
1997-05-16,481.5692819
1997-05-19,481.33586
1997-05-20,484.5194089
