Date,AC PACIFIC VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,1045.7658555287212
1996-01-31,1066.0994726787274
1996-02-29,1054.2075708019881
1996-03-29,1079.5219050916833
1996-04-30,1136.0914776551642
1996-05-31,1095.1599244345828
1996-06-28,1094.6978247100453
1996-07-31,1043.9422333969442
1996-08-30,1027.3485816424381
1996-09-30,1059.4461414075347
1996-10-31,1016.0805594656972
1996-11-29,1053.646969165842
1996-12-31,1006.8767993457122
1997-01-01,1006.8767993457122
1997-01-02,1005.2131645897684
1997-01-03,1003.8803850145249
1997-01-06,1011.5443188864228
1997-01-07,1002.5201969358715
1997-01-08,995.9421190870432
1997-01-09,979.5589679525608
1997-01-10,959.1040368186701
1997-01-13,973.617053828133
1997-01-14,974.6315914549209
1997-01-15,979.5625658730122
1997-01-16,986.2252537850273
1997-01-17,981.8622021348496
1997-01-20,969.2890207861896
1997-01-21,961.8865998733269
1997-01-22,967.9050212652276
1997-01-23,960.2554816341656
1997-01-24,954.5517702598398
1997-01-27,940.3411656967608
1997-01-28,941.012461499675
1997-01-29,944.733946005559
1997-01-30,938.284360924001
1997-01-31,951.1225193055571
1997-02-03,947.8338043825986
1997-02-04,949.3253139682319
1997-02-05,938.6478749019276
1997-02-06,936.4510752150273
1997-02-07,929.8858276652724
1997-02-10,942.3883735027608
1997-02-11,940.8818114215518
1997-02-12,946.1729078206806
1997-02-13,949.6099776798194
1997-02-14,952.8412723033765
1997-02-17,952.3394785566335
1997-02-18,947.0865542486995
1997-02-19,948.9096594775209
1997-02-20,965.7400259631769
1997-02-21,968.0533592254675
1997-02-24,967.3686727103088
1997-02-25,971.6244029462953
1997-02-26,966.8051442478072
1997-02-27,969.8705439236568
1997-02-28,960.9418614356391
1997-03-03,956.8387934746384
1997-03-04,955.1319908613783
1997-03-05,948.0002709910166
1997-03-06,940.5852101326592
1997-03-07,942.6552538861451
1997-03-10,942.0378104642709
1997-03-11,945.1647115390182
1997-03-12,940.6483094392435
1997-03-13,930.4105278459243
1997-03-14,925.9048909026673
1997-03-17,928.2834026290109
1997-03-18,934.7750539477435
1997-03-19,934.4171532007008
1997-03-20,929.2723349804695
1997-03-21,933.9416076087076
1997-03-24,927.9865211323718
