Date,ACWI ex USA VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,1036.7415536907354
1996-01-31,1061.4909834702557
1996-02-29,1061.6259809361939
1996-03-29,1076.713728289554
1996-04-30,1108.2637220338486
1996-05-31,1102.0881249090453
1996-06-28,1109.8030279734496
1996-07-31,1078.300232671408
1996-08-30,1091.3469041182557
1996-09-30,1117.650419195941
1996-10-31,1118.8933377319686
1996-11-29,1168.9284898208673
1996-12-31,1166.0896055990167
1997-01-01,1166.0896055990167
1997-01-02,1155.4341607199108
1997-01-03,1157.632196889384
1997-01-06,1162.9892379709415
1997-01-07,1163.0535415089334
1997-01-08,1163.5694010610077
1997-01-09,1159.9433921821822
1997-01-10,1149.773181601255
1997-01-13,1161.4496532235025
1997-01-14,1169.876650855223
1997-01-15,1175.8053784383328
1997-01-16,1182.412892138587
1997-01-17,1179.0950722360321
1997-01-20,1170.401638065618
1997-01-21,1165.366679144181
1997-01-22,1168.2980041416818
1997-01-23,1166.9732730273452
1997-01-24,1160.3393292576359
1997-01-27,1152.1010658020032
1997-01-28,1151.776731577373
1997-01-29,1150.181205013599
1997-01-30,1152.2413435519873
1997-01-31,1162.6116121666046
1997-02-03,1162.1790117186026
1997-02-04,1165.6425366978615
1997-02-05,1168.2235694675762
1997-02-06,1167.6842920500487
1997-02-07,1167.4446549626718
1997-02-10,1179.143054000166
1997-02-11,1175.8726309690862
1997-02-12,1179.04362930035
1997-02-13,1181.158987483505
1997-02-14,1184.06476088027
1997-02-17,1182.3176311140496
1997-02-18,1180.3812946752305
1997-02-19,1180.5203353633249
1997-02-20,1186.1485990282083
1997-02-21,1188.1966242926421
1997-02-24,1193.9970952365647
1997-02-25,1201.405045965242
1997-02-26,1192.019367833659
1997-02-27,1190.7599135174673
1997-02-28,1183.8957070803738
1997-03-03,1180.6496135119683
1997-03-04,1185.0169472204464
1997-03-05,1183.551571232192
1997-03-06,1186.4527469321683
1997-03-07,1189.0276699982526
1997-03-10,1197.6541599516352
1997-03-11,1199.6806202352836
1997-03-12,1189.2000612509532
1997-03-13,1181.712326326175
1997-03-14,1183.6604491072305
1997-03-17,1176.5814596478285
1997-03-18,1175.868197284627
1997-03-19,1175.8438681026962
1997-03-20,1162.657583576612
1997-03-21,1170.5863157288302
1997-03-24,1166.643322099481
1997-03-25,1176.703513371133
1997-03-26,1184.8493644453797
1997-03-27,1188.796711548767
1997-03-28,1188.1853392605497
1997-03-31,1186.4328804337224
1997-04-01,1169.374482388231
1997-04-02,1171.2336651278429
1997-04-03,1166.9243372713277
1997-04-04,1167.1506646469945
1997-04-07,1166.165780227572
1997-04-08,1167.7003650992456
1997-04-09,1168.6785996199358
1997-04-10,1165.0025909161466
1997-04-11,1160.0455629953897
1997-04-14,1152.8658155381559
1997-04-15,1162.4960051138555
1997-04-16,1168.5660913975803
1997-04-17,1171.172784060523
1997-04-18,1174.1504839174465
1997-04-21,1183.2276949191946
1997-04-22,1182.5358202367217
1997-04-23,1190.7386675720888
1997-04-24,1190.6831123921343
1997-04-25,1183.678050931974
1997-04-28,1182.8712309888217
1997-04-29,1192.0871803263014
1997-04-30,1200.218313577567
1997-05-01,1207.948503106393
1997-05-02,1212.4317506482114
1997-05-05,1217.2605481168985
1997-05-06,1236.1082412288908
1997-05-07,1236.1327976431592
1997-05-08,1240.3251876841969
1997-05-09,1250.0191776928839
1997-05-12,1263.319820685152
1997-05-13,1267.8094177363046
1997-05-14,1270.5488578815703
1997-05-15,1273.292688340615
1997-05-16,1280.5924443108484
1997-05-19,1276.8000738703734
1997-05-20,1283.6826166982398
1997-05-21,1288.1452842508552
1997-05-22,1279.7023261849606
1997-05-23,1287.3096772086847
1997-05-26,1289.3452241462303
1997-05-27,1283.6513169843483
1997-05-28,1286.3211056560765
1997-05-29,1284.222159899745
1997-05-30,1270.9177911130275
1997-06-02,1278.1753639225717
1997-06-03,1283.3443113413405
1997-06-04,1285.1744730815951
1997-06-05,1290.058007007347
1997-06-06,1294.8853991270505
1997-06-09,1306.7163175868268
1997-06-10,1308.261648001261
1997-06-11,1312.8005408376237
1997-06-12,1315.5133309179166
1997-06-13,1318.6371433331315
1997-06-16,1327.6383521648338
1997-06-17,1320.0397966315659
1997-06-18,1320.3273662757706
1997-06-19,1324.5481890170201
1997-06-20,1324.4297944071163
1997-06-23,1326.8901909127333
1997-06-24,1330.1204660370202
1997-06-25,1346.8613638757724
1997-06-26,1348.4940712159143
1997-06-27,1340.0910419483791
1997-06-30,1336.9321803852667
1997-07-01,1345.517795494777
1997-07-02,1352.171256498173
1997-07-03,1368.2252803971285
1997-07-04,1365.721384763579
1997-07-07,1369.1544545658628
1997-07-08,1366.7619403885644
1997-07-09,1367.6269888217641
1997-07-10,1367.3067067920347
1997-07-11,1366.4900766367357
1997-07-14,1366.6317352299761
1997-07-15,1353.536420706125
1997-07-16,1369.1605947307285
1997-07-17,1369.1570692612484
1997-07-18,1355.1536305518218
1997-07-21,1344.6237186677718
1997-07-22,1354.184296703774
1997-07-23,1365.3405861672857
1997-07-24,1361.7962782479738
1997-07-25,1360.1736994297614
1997-07-28,1359.3643789853452
1997-07-29,1361.014882185589
