Date,AC PACIFIC ex JAPAN VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,1031.249389652437
1996-01-31,1114.4754302290994
1996-02-29,1111.6009282173504
1996-03-29,1113.760742123622
1996-04-30,1154.0456013854107
1996-05-31,1147.3723968686495
1996-06-28,1121.4312912024243
1996-07-31,1059.356993069648
1996-08-30,1098.4546467524156
1996-09-30,1124.1910711711382
1996-10-31,1125.2755356938942
1996-11-29,1191.6063093734915
1996-12-31,1165.483172255015
1997-01-01,1165.483172255015
1997-01-02,1155.7211549237481
1997-01-03,1159.0410139082567
1997-01-06,1161.4295733894398
1997-01-07,1163.5947946326073
1997-01-08,1171.676099636321
1997-01-09,1171.0875246069868
1997-01-10,1170.0641192986761
1997-01-13,1170.3404161704032
1997-01-14,1173.013474495965
1997-01-15,1190.0397864007903
1997-01-16,1192.4640145020946
1997-01-17,1194.051732161048
1997-01-20,1201.076784564535
1997-01-21,1188.826661448123
1997-01-22,1189.399245204802
1997-01-23,1186.3371352402742
1997-01-24,1178.8278812274555
1997-01-27,1169.8313524704702
1997-01-28,1168.347738693858
1997-01-29,1165.9815399255012
1997-01-30,1167.1027296474117
1997-01-31,1166.4017762903209
1997-02-03,1169.8520791324615
1997-02-04,1169.8914130106698
1997-02-05,1172.8270435559768
1997-02-06,1174.774912487245
1997-02-07,1174.6420040227977
1997-02-10,1171.4407904501486
1997-02-11,1170.06457663371
1997-02-12,1175.629491195839
1997-02-13,1180.1909580854146
1997-02-14,1174.3864001963625
1997-02-17,1173.5805641250013
1997-02-18,1170.2600202656647
1997-02-19,1176.11170685299
1997-02-20,1185.321504096985
1997-02-21,1182.125129574872
1997-02-24,1177.659117208519
1997-02-25,1185.699970204951
1997-02-26,1180.433750589376
1997-02-27,1175.9426977221817
1997-02-28,1173.4759127363193
1997-03-03,1174.5875047376794
1997-03-04,1172.7535517633544
1997-03-05,1166.981696848224
1997-03-06,1167.9765390305922
1997-03-07,1168.3274498452452
1997-03-10,1164.8953741268328
1997-03-11,1167.672831189453
1997-03-12,1164.3102436324948
1997-03-13,1155.9243098964546
1997-03-14,1142.295240432588
1997-03-17,1148.9544734414599
1997-03-18,1138.6170505859734
1997-03-19,1132.291855079728
1997-03-20,1126.1773922965012
1997-03-21,1117.1109705165954
1997-03-24,1124.5610204750392
1997-03-25,1130.143973832639
1997-03-26,1135.1037052293495
1997-03-27,1129.5086033375671
1997-03-28,1128.6301034989551
1997-03-31,1129.010310801143
1997-04-01,1112.2042089905242
1997-04-02,1117.092622973921
1997-04-03,1111.87837304135
1997-04-04,1116.5279713700465
1997-04-07,1120.1844777080787
1997-04-08,1126.6532937700463
1997-04-09,1130.0639286618502
1997-04-10,1124.27129040264
1997-04-11,1126.8626953505357
1997-04-14,1114.9328263541508
1997-04-15,1112.3753235702525
1997-04-16,1120.5151686528404
1997-04-17,1118.1977278145725
1997-04-18,1120.9814454017967
1997-04-21,1128.478541705301
1997-04-22,1124.7955539522268
1997-04-23,1131.5921472745833
1997-04-24,1127.068328870818
1997-04-25,1125.8020974383567
1997-04-28,1123.2750515150246
1997-04-29,1118.8356651044958
1997-04-30,1128.6363131187782
1997-05-01,1132.733710346158
1997-05-02,1134.361839164179
1997-05-05,1142.0429687850026
1997-05-06,1147.1071441982522
1997-05-07,1148.481756615518
1997-05-08,1145.4056513035353
1997-05-09,1150.881417838982
1997-05-12,1147.8481210036696
1997-05-13,1149.144832548585
1997-05-14,1150.1679275526915
1997-05-15,1142.8930064100587
1997-05-16,1143.5001975484724
1997-05-19,1149.1665830172356
1997-05-20,1157.1438234851742
1997-05-21,1165.64957305888
1997-05-22,1161.576169766376
1997-05-23,1162.2594152902946
1997-05-26,1167.2245267460892
1997-05-27,1164.7611657101825
1997-05-28,1170.4047472653665
1997-05-29,1171.616884076341
1997-05-30,1182.4762644641362
1997-06-02,1198.1675615647314
1997-06-03,1195.4345760425747
1997-06-04,1193.7874098523816
1997-06-05,1194.4378809913114
1997-06-06,1187.8005786861604
1997-06-09,1189.2569321750889
1997-06-10,1183.533741227704
1997-06-11,1179.4772793607845
1997-06-12,1170.632462681254
1997-06-13,1172.0936811761808
1997-06-16,1181.4855411268563
1997-06-17,1180.7808760462844
1997-06-18,1174.1921525896544
1997-06-19,1180.8225396087507
1997-06-20,1199.4003290479934
1997-06-23,1200.9714108182154
1997-06-24,1192.5723345429137
1997-06-25,1195.526177201109
1997-06-26,1199.4944581496025
1997-06-27,1198.0603992572617
1997-06-30,1204.9622263308452
1997-07-01,1211.4893377345422
1997-07-02,1229.4089505071806
1997-07-03,1228.4606632295809
1997-07-04,1220.1909771616358
1997-07-07,1207.642419837233
1997-07-08,1200.7085512446524
1997-07-09,1197.0229221400748
1997-07-10,1196.632642389971
1997-07-11,1197.6590241928618
1997-07-14,1188.6111066274802
1997-07-15,1182.9179720018196
1997-07-16,1176.8069417845663
1997-07-17,1182.9905217227301
1997-07-18,1184.4785227326227
1997-07-21,1183.8442671242324
1997-07-22,1175.6517681970024
1997-07-23,1178.8627277726473
1997-07-24,1182.589138500895
1997-07-25,1184.9510672936642
1997-07-28,1194.503293127201
1997-07-29,1203.9564360707498
1997-07-30,1202.836904702659
1997-07-31,1208.3959513478449
1997-08-01,1201.9611882990619
1997-08-04,1200.105300365544
1997-08-05,1193.30542974936
1997-08-06,1196.393450473263
1997-08-07,1190.498320021949
1997-08-08,1184.6979781304144
1997-08-11,1171.5697569427864
1997-08-12,1162.18636462404
1997-08-13,1161.8094077742576
1997-08-14,1153.7779153835284
1997-08-15,1143.8477253138592
1997-08-18,1125.2237465766175
1997-08-19,1110.7447905928957
1997-08-20,1133.6329091823907
1997-08-21,1134.571544276029
1997-08-22,1118.2435271391832
1997-08-25,1115.0481453292346
1997-08-26,1108.0046552231884
1997-08-27,1099.5735873725544
1997-08-28,1059.8487156009326
1997-08-29,1032.6911029758169
1997-09-01,1002.696703312923
1997-09-02,1004.678743491445
1997-09-03,1022.1441346753753
1997-09-04,1010.0672779724418
1997-09-05,1045.9211337250058
1997-09-08,1067.1079262592032
1997-09-09,1078.8804898746678
1997-09-10,1065.7743936920006
1997-09-11,1048.197402235179
1997-09-12,1048.6458061318042
1997-09-15,1051.2870235597754
1997-09-16,1040.3645913255361
