Date,AC ASEAN VALUE WEIGHTED
1995-05-31,1000.0
1995-06-30,975.7921931331064
1995-07-31,994.4847953388496
1995-08-31,940.1545466349709
1995-09-29,938.7949710052978
1995-10-31,910.6105890291514
1995-11-30,920.9101591761945
1995-12-29,973.2639091653372
1996-01-31,1054.3543335869495
1996-02-29,1046.685828951388
1996-03-29,1055.879563842656
1996-04-30,1094.2009757433793
1996-05-31,1074.2648491164161
1996-06-28,1064.0977370406988
1996-07-31,977.3751602334556
1996-08-30,1019.6127743982462
1996-09-30,1036.5026217200884
1996-10-31,983.2005619138569
1996-11-29,1042.1656669041242
1996-12-31,1028.152724276518
1997-01-01,1028.152724276518
1997-01-02,1020.4351413385548
1997-01-03,1020.2143306651536
1997-01-06,1028.7915428847034
1997-01-07,1039.4865132276434
1997-01-08,1048.0207253448225
1997-01-09,1051.4027937746657
1997-01-10,1047.8457582920657
1997-01-13,1040.776029521611
1997-01-14,1029.980347076994
1997-01-15,1041.7921696714625
1997-01-16,1042.2436071235234
1997-01-17,1055.176530752565
1997-01-20,1065.1756884925035
1997-01-21,1062.8415780785217
1997-01-22,1069.4957359123352
1997-01-23,1073.8085386764353
1997-01-24,1067.540685828897
1997-01-27,1064.930393035677
1997-01-28,1060.9408994603612
1997-01-29,1053.0915797080797
1997-01-30,1056.162213870712
1997-01-31,1050.118578953774
1997-02-03,1043.4923520203467
1997-02-04,1043.9193335191655
1997-02-05,1039.5401933685057
1997-02-06,1042.9335890397567
1997-02-07,1041.829281758594
1997-02-10,1041.7529599427717
1997-02-11,1041.6720287123985
1997-02-12,1049.8670917337631
1997-02-13,1048.1446686415277
1997-02-14,1047.729292103692
1997-02-17,1044.5852759733903
1997-02-18,1037.6151297185556
1997-02-19,1049.2472563023296
1997-02-20,1057.9451805505719
1997-02-21,1054.1055860707502
1997-02-24,1046.6216026305215
1997-02-25,1048.8116349351337
1997-02-26,1046.4767908623792
1997-02-27,1040.9733940159972
1997-02-28,1044.461863148501
1997-03-03,1036.08295708923
