Date,AC EUROPE VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,1035.2003022366948
1996-01-31,1045.4183274663671
1996-02-29,1064.2629469881738
1996-03-29,1075.1181358237031
1996-04-30,1088.5888931919321
1996-05-31,1102.1332860259097
1996-06-28,1113.2304653080362
1996-07-31,1101.6928089190867
1996-08-30,1135.1774060317598
1996-09-30,1158.438631722183
1996-10-31,1184.7960075123663
1996-11-29,1247.8639061568786
1996-12-31,1277.6717028199682
1997-01-01,1277.6717028199682
1997-01-02,1256.8167561839725
1997-01-03,1260.8545979606713
1997-01-06,1261.750739628736
1997-01-07,1264.1967473674338
1997-01-08,1268.1645705127537
1997-01-09,1272.6581205220511
1997-01-10,1266.8652286961303
1997-01-13,1278.0003720077484
1997-01-14,1289.6391701741359
1997-01-15,1293.9512291536148
1997-01-16,1302.5819361257031
1997-01-17,1296.6238398603293
1997-01-20,1288.3919530605679
1997-01-21,1284.9327348517584
1997-01-22,1286.779312428137
1997-01-23,1290.3372278717763
1997-01-24,1284.436508954164
1997-01-27,1277.8522339680314
1997-01-28,1273.6970972953984
1997-01-29,1269.7210437540928
1997-01-30,1278.1639564763223
1997-01-31,1287.4373331435995
1997-02-03,1284.5056108359984
1997-02-04,1289.1930332667603
1997-02-05,1302.3233501018076
1997-02-06,1303.244358663639
1997-02-07,1304.3258199837016
1997-02-10,1316.8837352445125
1997-02-11,1309.4925179823028
1997-02-12,1305.5457939804837
1997-02-13,1305.7477180853937
1997-02-14,1308.9309133273096
1997-02-17,1303.1206920458314
1997-02-18,1301.8562240382903
1997-02-19,1302.6837210618307
1997-02-20,1303.4177539832556
1997-02-21,1305.4231871515
1997-02-24,1315.4987275944675
1997-02-25,1324.6193614736662
1997-02-26,1313.1052111890635
1997-02-27,1311.9750319961142
1997-02-28,1303.8197944069434
1997-03-03,1298.378836253752
1997-03-04,1308.2855621138872
1997-03-05,1310.0663833313602
1997-03-06,1321.7629077225038
1997-03-07,1323.1207530257927
1997-03-10,1338.06813258755
1997-03-11,1339.8180404040581
1997-03-12,1326.2460137254182
1997-03-13,1320.9909738883719
1997-03-14,1326.9920925219424
1997-03-17,1313.3694562646806
1997-03-18,1308.2017589324466
1997-03-19,1311.0675547122512
1997-03-20,1286.0004312668318
1997-03-21,1298.6827883108235
1997-03-24,1292.9007695145065
1997-03-25,1309.365288834554
1997-03-26,1324.2152587847472
1997-03-27,1338.0332536419448
1997-03-28,1339.0121406180933
1997-03-31,1344.194786840803
1997-04-01,1312.0090989507207
1997-04-02,1306.9023128864458
1997-04-03,1297.8478130901074
1997-04-04,1301.2370586724494
1997-04-07,1302.8934703284167
1997-04-08,1301.7174919393055
1997-04-09,1307.9690176557297
1997-04-10,1308.5689763272187
1997-04-11,1298.740014065004
1997-04-14,1292.4058694607274
1997-04-15,1306.0543397459417
1997-04-16,1308.7059166373183
1997-04-17,1315.3556299471286
1997-04-18,1316.091761697779
1997-04-21,1325.4933352002238
1997-04-22,1323.574714500553
1997-04-23,1330.383506754957
1997-04-24,1330.046213668786
1997-04-25,1318.0597431383271
1997-04-28,1317.8869424715474
1997-04-29,1335.9331295353204
1997-04-30,1337.6336965507903
1997-05-01,1346.3286144639287
1997-05-02,1347.3618932229238
1997-05-05,1355.731712175144
1997-05-06,1372.8697483564913
1997-05-07,1375.8754177241558
1997-05-08,1381.3236173837188
1997-05-09,1396.402479035695
1997-05-12,1406.7131405462865
1997-05-13,1416.361316809056
1997-05-14,1423.0922407988146
1997-05-15,1425.0807822773172
1997-05-16,1431.9010849416609
1997-05-19,1421.6919129631735
1997-05-20,1421.744461404934
1997-05-21,1438.6138659522987
1997-05-22,1431.2805433348592
1997-05-23,1438.2310416209195
1997-05-26,1439.8553629590215
1997-05-27,1434.0161526625102
1997-05-28,1425.449414655312
1997-05-29,1422.566281167701
1997-05-30,1400.1706675928056
1997-06-02,1396.0658978947827
1997-06-03,1402.89839909339
1997-06-04,1403.9540105705814
1997-06-05,1411.8467847252493
1997-06-06,1423.1708348068753
1997-06-09,1437.5796417963645
1997-06-10,1438.3161767839263
1997-06-11,1441.7943138982878
1997-06-12,1452.5717432161089
1997-06-13,1459.3538461248324
1997-06-16,1461.0832036257914
1997-06-17,1446.2420141617995
1997-06-18,1450.7696741286413
1997-06-19,1460.5556009472748
1997-06-20,1458.7376749017167
1997-06-23,1466.689738061365
1997-06-24,1468.9537163198702
1997-06-25,1486.9992459014113
1997-06-26,1488.430222770723
1997-06-27,1481.49330329877
1997-06-30,1467.0247574424845
1997-07-01,1492.6341732306048
1997-07-02,1492.1694788399113
1997-07-03,1523.4816947486063
1997-07-04,1524.3201455904532
1997-07-07,1537.020170259522
1997-07-08,1527.423370875866
1997-07-09,1533.0092815712674
1997-07-10,1530.2980885103148
1997-07-11,1531.9379251444832
1997-07-14,1532.3413614792216
1997-07-15,1526.3962111525211
1997-07-16,1548.936802691064
1997-07-17,1550.7662225585675
1997-07-18,1530.5600991093456
1997-07-21,1511.1996317162505
1997-07-22,1526.6804199954418
1997-07-23,1547.6202820157648
1997-07-24,1532.182811567764
1997-07-25,1528.5617422373655
1997-07-28,1520.3269730504003
1997-07-29,1521.5207059421841
1997-07-30,1532.2825511628578
1997-07-31,1534.2608859215095
1997-08-01,1517.3516554938442
1997-08-04,1498.8088037255382
1997-08-05,1496.4116242018204
1997-08-06,1509.179683299554
1997-08-07,1527.4117486926084
1997-08-08,1519.9318352668329
1997-08-11,1519.7419148454303
1997-08-12,1523.0897942742297
1997-08-13,1510.7852433671071
1997-08-14,1499.3755248713517
