Date,CHINA GROWTH
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,97.68906323788792
2001-01-03,94.52966220040865
2001-01-04,99.98917810539263
2001-01-05,100.82559383129859
2001-01-08,103.5612711401239
2001-01-09,104.92195119381782
2001-01-10,106.57564693383378
2001-01-11,102.65991719210801
2001-01-12,105.55105980108598
2001-01-15,109.43745124922965
2001-01-16,110.80695552268165
2001-01-17,111.01511832749762
2001-01-18,111.7096590145081
2001-01-19,118.44597599091941
2001-01-22,119.4051873715959
2001-01-23,118.17660221980859
2001-01-24,120.27749384306361
2001-01-25,120.63119791372092
2001-01-26,120.39413594550159
2001-01-29,121.59841278814582
2001-01-30,119.19164729378063
2001-01-31,120.49343712565538
2001-02-01,119.9115414707539
2001-02-02,120.34267582763766
2001-02-05,115.42760997075013
2001-02-06,116.78203557387273
2001-02-07,118.36899052034329
2001-02-08,118.84377612006313
2001-02-09,118.12605606867356
2001-02-12,114.52749011863834
2001-02-13,116.49744231546401
2001-02-14,116.4489794673805
2001-02-15,117.65290000738474
2001-02-16,114.02658274291238
2001-02-19,109.90689525363801
2001-02-20,112.39807966830514
2001-02-21,108.00115887215114
2001-02-22,105.01104349482289
2001-02-23,107.44372976739572
2001-02-26,105.42028265618995
2001-02-27,104.30054689145422
2001-02-28,104.93821408800322
2001-03-01,97.47792998070297
2001-03-02,86.72499377803146
2001-03-05,92.19825139514889
2001-03-06,93.2740235133067
2001-03-07,90.41873071993555
2001-03-08,90.69994983071423
2001-03-09,91.18986898571671
2001-03-12,89.9923579723164
2001-03-13,90.67025864916857
2001-03-14,91.47127564077354
2001-03-15,94.48086315945676
2001-03-16,97.0362894350788
2001-03-19,95.8935923844645
2001-03-20,92.11720721333401
2001-03-21,92.92446604336816
2001-03-22,87.47725095441625
2001-03-23,84.26694561089326
2001-03-26,89.59550067429174
2001-03-27,85.55126731200731
2001-03-28,89.21320114284397
2001-03-29,88.14720252419086
2001-03-30,87.69660979296101
2001-04-02,87.1422572257437
2001-04-03,83.8669339960339
2001-04-04,74.36236312558974
2001-04-05,74.8751395769667
2001-04-06,82.75776635020611
2001-04-09,81.18723949735434
2001-04-10,84.54729430423279
2001-04-11,91.98194651102541
2001-04-12,92.33618211729524
2001-04-13,92.33618211729524
2001-04-16,93.28860967239264
2001-04-17,87.62422228688007
2001-04-18,95.03686444470338
2001-04-19,98.90322027725232
2001-04-20,95.05494610424246
2001-04-23,94.46113986033826
2001-04-24,93.30750838094119
2001-04-25,94.21732840382685
2001-04-26,94.9888681367403
2001-04-27,96.98620217998574
2001-04-30,97.64509013211294
2001-05-01,97.13140493661754
2001-05-02,104.69832373279897
2001-05-03,105.72935625672567
2001-05-04,99.99422476853368
2001-05-07,100.9107586122394
