Date,MEXICO GROWTH
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,97.33681332790776
2001-01-03,103.41637606903397
2001-01-04,109.87716066584022
2001-01-05,105.31734762466458
2001-01-08,106.27296020700496
2001-01-09,106.53531713136114
2001-01-10,103.60375907251806
2001-01-11,104.6593100638009
2001-01-12,105.63942179725912
2001-01-15,106.53490204067568
2001-01-16,106.52277543440782
2001-01-17,110.06840200075858
2001-01-18,110.56844571149698
2001-01-19,113.84730638635152
2001-01-22,113.62495839321973
2001-01-23,115.16528872191283
2001-01-24,115.45966924736621
2001-01-25,114.29471309501467
2001-01-26,117.40751369110534
2001-01-29,119.34550391786509
2001-01-30,120.93716303374217
2001-01-31,119.20199316175335
2001-02-01,118.20386401137382
2001-02-02,118.37669625204985
2001-02-05,117.26275187923915
2001-02-06,118.49785802514928
2001-02-07,116.5994276448241
2001-02-08,119.84239613119817
2001-02-09,119.93064126166796
2001-02-12,120.48852771133873
2001-02-13,119.09640143262924
2001-02-14,117.79265577383936
2001-02-15,120.73492225761666
2001-02-16,118.79436212154721
2001-02-19,118.7029573076907
2001-02-20,117.25632598519057
2001-02-21,110.93935186642712
2001-02-22,110.65520330987141
2001-02-23,110.46485822534176
2001-02-26,112.59320541122389
2001-02-27,111.37535094181335
2001-02-28,110.42927659715313
2001-03-01,109.0275114524539
2001-03-02,107.89740576152381
2001-03-05,108.62273766396326
2001-03-06,111.65883529029078
2001-03-07,112.58274688749225
2001-03-08,113.64160158185612
2001-03-09,111.73251555424893
2001-03-12,105.52587383420965
2001-03-13,108.11990509830314
2001-03-14,107.00075920158051
2001-03-15,106.46857128625584
2001-03-16,108.13908177223284
2001-03-19,111.36900233429705
2001-03-20,106.06452488334475
2001-03-21,106.8933253335734
2001-03-22,105.83742474881564
2001-03-23,102.19155716805352
2001-03-26,102.51094357166099
2001-03-27,103.96213578425139
2001-03-28,103.55060749725435
2001-03-29,102.83901720338513
2001-03-30,104.78659157424599
2001-04-02,106.68744696383457
2001-04-03,103.81606790548719
2001-04-04,101.6917397035007
2001-04-05,105.46241907666882
2001-04-06,105.43472925131252
2001-04-09,106.46609571117465
2001-04-10,113.9656596628905
2001-04-11,115.70038491262285
2001-04-12,114.192238394246
2001-04-13,114.192238394246
2001-04-16,113.80487053336387
2001-04-17,117.35095464891373
2001-04-18,120.65320414480948
2001-04-19,112.93495670956366
2001-04-20,109.75159600783225
2001-04-23,110.89320122101515
2001-04-24,113.04783293378831
2001-04-25,112.97004525285173
2001-04-26,115.74285525669205
2001-04-27,116.86782643852874
2001-04-30,118.44522345179905
2001-05-01,117.78239965227077
2001-05-02,121.08138402333553
2001-05-03,121.1839085873799
2001-05-04,120.68132618651217
2001-05-07,121.28851023489798
