Date,PHILIPPINES GROWTH
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,93.61052989426413
2001-01-03,92.58710625148214
2001-01-04,94.65866751224479
2001-01-05,93.76678124454637
2001-01-08,97.64123586849468
2001-01-09,101.28130303732821
2001-01-10,99.88079398904782
2001-01-11,98.10097933390522
2001-01-12,99.80607155422685
2001-01-15,101.71556827321244
2001-01-16,98.40236786140103
2001-01-17,92.79041075060674
2001-01-18,87.60877837003854
2001-01-19,99.32706741791766
2001-01-22,115.66163647391988
2001-01-23,113.98317122451462
2001-01-24,115.8221950284021
2001-01-25,118.3783003870656
2001-01-26,116.73413246352501
2001-01-29,115.32229793169273
2001-01-30,115.56948227813587
2001-01-31,119.81500395514006
2001-02-01,117.83622410736828
2001-02-02,119.3796414534419
2001-02-05,116.23449775429776
2001-02-06,120.29777347915677
2001-02-07,118.40348416685369
2001-02-08,121.19690191927954
2001-02-09,121.97798528205612
2001-02-12,123.6784993586453
2001-02-13,124.00129156913411
2001-02-14,124.72379656154565
2001-02-15,128.1877336636667
2001-02-16,126.45235652951091
2001-02-19,123.76932726987168
2001-02-20,123.81628025634214
2001-02-21,123.29909629710377
2001-02-22,122.60775922440993
2001-02-23,123.6980615206275
2001-02-26,123.38867057113356
2001-02-27,122.00854182931174
2001-02-28,119.76008655490531
2001-03-01,112.86579713666856
2001-03-02,117.31683532985596
2001-03-05,119.40933410439467
2001-03-06,119.91077541307368
2001-03-07,117.8383867293035
2001-03-08,116.41744225021733
2001-03-09,116.3644280360766
2001-03-12,115.40366133544939
2001-03-13,115.02306935785901
2001-03-14,115.83408220291538
2001-03-15,113.35816544947575
2001-03-16,114.88146616252372
2001-03-19,117.20261504971839
2001-03-20,113.60050074999238
2001-03-21,113.70326521468208
2001-03-22,112.49672743121381
2001-03-23,106.73969282514129
2001-03-26,107.12560222361519
2001-03-27,106.1793068916588
2001-03-28,107.64325295885116
2001-03-29,106.69848405596954
2001-03-30,107.52045782446669
2001-04-02,106.50969744617977
2001-04-03,107.9379272902705
2001-04-04,104.51940088532814
2001-04-05,108.2157570755962
2001-04-06,107.76093287660181
2001-04-09,107.8444002142298
2001-04-10,108.1661924516331
2001-04-11,106.85152700456267
2001-04-12,105.85215589257547
2001-04-13,105.85215589257547
2001-04-16,107.49144712814974
2001-04-17,107.9579124637333
2001-04-18,108.61655774472999
2001-04-19,107.6610155943471
2001-04-20,105.14366968320854
2001-04-23,104.97051375092579
2001-04-24,106.37262851006057
2001-04-25,107.24731510773255
2001-04-26,104.15493061820037
2001-04-27,104.78978547254536
2001-04-30,104.07184567594139
2001-05-01,103.32200802076065
2001-05-02,106.63934153598015
2001-05-03,107.65783070985717
2001-05-04,107.33265714804169
2001-05-07,106.84452828812327
