Date,SOUTH AFRICA GROWTH
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,96.64087930404779
2001-01-03,94.48195558597736
2001-01-04,98.06485002425391
2001-01-05,97.25220738006317
2001-01-08,96.31033525097453
2001-01-09,94.84933438727334
2001-01-10,93.15496265922577
2001-01-11,94.04355359071063
2001-01-12,96.0319767444888
2001-01-15,99.41789035991991
2001-01-16,98.01523311519881
2001-01-17,99.62257735146983
2001-01-18,97.05703706579243
2001-01-19,97.68554068904608
2001-01-22,96.42134009340766
2001-01-23,97.27913763125004
2001-01-24,99.37453600783506
2001-01-25,101.33338185730358
2001-01-26,100.66600214629274
2001-01-29,102.88508631753913
2001-01-30,104.64187282039659
2001-01-31,103.91566840690679
2001-02-01,103.69368351948064
2001-02-02,102.86775406585573
2001-02-05,101.88513665160684
2001-02-06,103.57608732726602
2001-02-07,99.93791816286492
2001-02-08,101.48558988749433
2001-02-09,101.52992962018372
2001-02-12,101.79133975067808
2001-02-13,101.11344177550625
2001-02-14,98.86984202010187
2001-02-15,101.85957793640532
2001-02-16,98.58985020403198
2001-02-19,100.13327148187531
2001-02-20,100.95994394283603
2001-02-21,98.34518483522452
2001-02-22,97.68282096823737
2001-02-23,95.43387985037317
2001-02-26,97.51645379869512
2001-02-27,99.43661692512867
2001-02-28,97.3774219618464
2001-03-01,95.83954042264126
2001-03-02,94.65600646782288
2001-03-05,95.6491985785741
2001-03-06,94.44741240270521
2001-03-07,93.86344858478559
2001-03-08,95.40700689607071
2001-03-09,94.25240668579455
2001-03-12,94.33326149919726
2001-03-13,94.51050812185473
2001-03-14,91.15773986736066
2001-03-15,91.20612320754537
2001-03-16,89.06810869607718
2001-03-19,89.93196258323371
2001-03-20,90.53675179021066
2001-03-21,90.98058277040947
2001-03-22,90.73374373407734
2001-03-23,89.9895139174578
2001-03-26,91.86929566604518
2001-03-27,90.9584324559669
2001-03-28,90.17718413359187
2001-03-29,89.15458716996739
2001-03-30,86.86709688592202
2001-04-02,85.70246073619448
2001-04-03,83.3541046210455
2001-04-04,82.89902380428308
2001-04-05,85.50694981347982
2001-04-06,84.63449580484323
2001-04-09,86.04884371620776
2001-04-10,89.6811124663204
2001-04-11,92.55955025824267
2001-04-12,91.92158090379492
2001-04-13,91.92158090379492
2001-04-16,92.66452596631603
2001-04-17,92.31733954695169
2001-04-18,95.16689751607319
2001-04-19,94.02391925663491
2001-04-20,92.45559179316679
2001-04-23,91.75093059473186
2001-04-24,93.19314610637286
2001-04-25,94.00497805756459
2001-04-26,95.42369147805664
2001-04-27,97.04711344931596
2001-04-30,99.24769203609166
2001-05-01,98.82294809957072
2001-05-02,96.28855846531009
2001-05-03,95.04953041066166
2001-05-04,96.17202349550851
2001-05-07,98.11699272132722
