Date,KOREA GROWTH
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,102.96517480843153
2001-01-03,103.43920541200505
2001-01-04,113.76032254577726
2001-01-05,117.53647472683335
2001-01-08,118.07092081636745
2001-01-09,119.56325936569431
2001-01-10,114.66793525214887
2001-01-11,110.99226701907894
2001-01-12,117.92010349184147
2001-01-15,118.62630435153272
2001-01-16,121.7280571236217
2001-01-17,124.70291651972671
2001-01-18,124.44341489519987
2001-01-19,130.77920588125144
2001-01-22,130.62560268048244
2001-01-23,130.08321263475034
2001-01-24,132.25997744062107
2001-01-25,132.5337614545303
2001-01-26,119.91136758397141
2001-01-29,120.90096975278539
2001-01-30,120.67730391321962
2001-01-31,128.29579258542446
2001-02-01,124.72571317063897
2001-02-02,125.85689781382678
2001-02-05,116.74247850840042
2001-02-06,119.33498545388109
2001-02-07,116.08420973604962
2001-02-08,121.66845731732623
2001-02-09,120.39687242971391
2001-02-12,118.52744004668767
2001-02-13,120.02937423615
2001-02-14,120.63253289217712
2001-02-15,124.75463392847459
2001-02-16,126.6787000601425
2001-02-19,123.48208193305024
2001-02-20,126.59593007899983
2001-02-21,120.33133952089162
2001-02-22,115.98629454243228
2001-02-23,113.65795903649675
2001-02-26,113.67412964326104
2001-02-27,110.33077171607745
2001-02-28,109.66476487487608
2001-03-01,107.87984771682738
2001-03-02,102.66873223401947
2001-03-05,106.85292399524295
2001-03-06,108.2573614973475
2001-03-07,110.2826480476796
2001-03-08,111.75804001487089
2001-03-09,107.66501304423683
2001-03-12,102.30875166724537
2001-03-13,102.44780687069652
2001-03-14,107.56395627087562
2001-03-15,107.54457452383004
2001-03-16,107.23521768050115
2001-03-19,105.52835049448016
2001-03-20,104.52835620370676
2001-03-21,104.52850904424204
2001-03-22,105.70901382239492
2001-03-23,110.36966772121004
2001-03-26,111.24690723864259
2001-03-27,106.89067116679838
2001-03-28,107.33588491756603
2001-03-29,105.05774431928111
2001-03-30,105.08499090499483
2001-04-02,100.58229592653325
2001-04-03,95.45864408130403
2001-04-04,89.7837757713595
2001-04-05,90.40463168233703
2001-04-06,95.66211168995135
2001-04-09,92.74770762631003
2001-04-10,93.32724746241361
2001-04-11,99.09038720951852
2001-04-12,103.25401301312777
2001-04-13,104.15190641124063
2001-04-16,101.00743890819297
2001-04-17,103.09490432324408
2001-04-18,112.5955746895967
2001-04-19,121.64889125910977
2001-04-20,115.40996309798354
2001-04-23,117.07572458156885
2001-04-24,116.35274855365154
2001-04-25,118.08533794883445
2001-04-26,115.57712650395271
2001-04-27,113.11178730678422
2001-04-30,120.66515528286625
2001-05-01,120.02882851727918
2001-05-02,122.91817853044148
2001-05-03,123.55233942690397
2001-05-04,122.28879185636748
2001-05-07,125.3850411078246
