Date,PERU GROWTH
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,101.20374430972156
2001-01-03,101.33247628372071
2001-01-04,100.05377890012572
2001-01-05,99.49672662567431
2001-01-08,100.93041805203718
2001-01-09,98.80378324635656
2001-01-10,98.27313192290681
2001-01-11,96.5489455823901
2001-01-12,95.68928561543404
2001-01-15,96.3390019093346
2001-01-16,97.90394489400954
2001-01-17,98.80276181810392
2001-01-18,98.53333331245452
2001-01-19,98.24359914845297
2001-01-22,100.61826266057489
2001-01-23,103.2550936706072
2001-01-24,104.96356354087798
2001-01-25,105.97777853258945
2001-01-26,106.30409368702446
2001-01-29,107.80375788365866
2001-01-30,113.19988941576463
2001-01-31,112.97474148176923
2001-02-01,112.78016358786512
2001-02-02,114.65221984307227
2001-02-05,113.24423149601307
2001-02-06,113.82235247615085
2001-02-07,113.42793359003028
2001-02-08,114.9020135360062
2001-02-09,114.18445151445667
2001-02-12,111.73692023773934
2001-02-13,112.2868982561239
2001-02-14,112.99591693230391
2001-02-15,115.1001805455933
2001-02-16,114.38638790287271
2001-02-19,112.79806282571887
2001-02-20,112.71768404655482
2001-02-21,113.08483354326552
2001-02-22,114.9156467213354
2001-02-23,114.29737899955782
2001-02-26,116.18663596009823
2001-02-27,116.36190675868797
2001-02-28,115.6070206166351
2001-03-01,112.08005957206186
2001-03-02,110.73057516393158
2001-03-05,110.03387841468007
2001-03-06,109.01889228386409
2001-03-07,109.54116366777752
2001-03-08,110.71048666756498
2001-03-09,114.45341655954442
2001-03-12,114.82072338163265
2001-03-13,111.57812714252027
2001-03-14,109.47492488761165
2001-03-15,109.81817217934766
2001-03-16,111.68643100472357
2001-03-19,111.18181959096609
2001-03-20,108.76214629157876
2001-03-21,107.52624021578372
2001-03-22,111.43462320760189
2001-03-23,113.52227426353787
2001-03-26,113.61514155428696
2001-03-27,113.61427926128079
2001-03-28,113.7760825223365
2001-03-29,116.45981628233511
2001-03-30,115.97270125835675
2001-04-02,116.55666665102244
2001-04-03,114.25505798670771
2001-04-04,113.75914161558323
2001-04-05,113.70409011098936
2001-04-06,112.93412715674071
2001-04-09,109.8776481657099
2001-04-10,111.66114468537027
2001-04-11,107.06491864810812
2001-04-12,106.04032077213137
2001-04-13,106.04032077213137
2001-04-16,106.83772945609414
2001-04-17,104.96453768800954
2001-04-18,106.19165138432558
2001-04-19,105.44669893615429
2001-04-20,103.9387691129849
2001-04-23,104.78866847565581
2001-04-24,105.68111559602761
2001-04-25,103.99298885005396
2001-04-26,104.20479334223175
2001-04-27,108.5288652953825
2001-04-30,111.06663605881499
2001-05-01,110.55798163927926
2001-05-02,113.47659870843675
2001-05-03,113.99212726644551
2001-05-04,115.14504139921463
2001-05-07,115.31726359409838
2001-05-08,115.51280684776273
2001-05-09,117.78991304069321
2001-05-10,119.081187062874
2001-05-11,120.00625261212821
2001-05-14,121.28984139176539
2001-05-15,120.00384838868457
2001-05-16,122.36071034929077
2001-05-17,127.63205749313403
2001-05-18,130.28947494836683
2001-05-21,128.9999210568187
2001-05-22,127.45265453459926
2001-05-23,125.70102332618377
2001-05-24,127.91254740013514
2001-05-25,129.05205928489548
2001-05-28,127.36474006328332
2001-05-29,128.84268638412095
2001-05-30,125.51539128082564
2001-05-31,124.61450701790609
2001-06-01,126.38776768987367
2001-06-04,129.27673696846045
2001-06-05,136.1259397444733
2001-06-06,133.34766079752666
2001-06-07,133.39195055041037
2001-06-08,134.01785129636067
2001-06-11,136.49694620250153
2001-06-12,135.538429621725
2001-06-13,132.89645049661883
2001-06-14,133.1436225724527
2001-06-15,133.64910517394367
2001-06-18,133.97666438333704
2001-06-19,135.41000882095287
2001-06-20,135.39732679680645
2001-06-21,133.74538399303063
2001-06-22,133.99295553362072
2001-06-25,133.05139287489877
2001-06-26,133.0476686228839
2001-06-27,132.31384115277908
2001-06-28,135.81561571955314
2001-06-29,136.3823974549277
2001-07-02,137.32850867228296
2001-07-03,139.75312772093153
2001-07-04,138.9016713872826
2001-07-05,140.47289995964482
2001-07-06,140.6060241011323
2001-07-09,142.37035973982472
2001-07-10,141.425823788783
2001-07-11,141.40303421243857
2001-07-12,141.40888190467234
2001-07-13,143.48295830398735
2001-07-16,142.15363338665586
2001-07-17,142.45852009161675
2001-07-18,137.67135709300305
2001-07-19,136.32657737077284
2001-07-20,136.92256220770741
2001-07-23,136.2170576237076
2001-07-24,132.8563889270582
2001-07-25,129.45064141905814
2001-07-26,128.38008845324825
2001-07-27,131.92517280464332
2001-07-30,131.46516053058406
2001-07-31,131.82391295855328
2001-08-01,132.26737734098427
2001-08-02,129.73949166096065
2001-08-03,129.0424823325686
2001-08-06,129.2924015863286
2001-08-07,128.26793669556102
2001-08-08,128.01115864901678
2001-08-09,127.93078356633417
2001-08-10,129.41588608297886
2001-08-13,129.4469016292406
2001-08-14,130.49116541340072
2001-08-15,131.9052990488923
2001-08-16,133.34752298339035
2001-08-17,133.64901871498225
2001-08-20,134.61587967765738
2001-08-21,134.66901970710074
2001-08-22,134.44410150647983
2001-08-23,135.26185846347306
2001-08-24,136.0278479627546
2001-08-27,137.3602207175523
2001-08-28,137.67793444858566
2001-08-29,137.4125918706454
2001-08-30,137.59860318591188
2001-08-31,137.4961091387711
2001-09-03,137.44060392436202
2001-09-04,140.0033253696785
2001-09-05,141.4617191612929
2001-09-06,140.52198039032612
2001-09-07,137.35381893152788
2001-09-10,140.63195654305503
2001-09-11,137.8978454147545
2001-09-12,137.34171504587488
2001-09-13,139.6015518957758
2001-09-14,141.82812082742137
