Date,MALAYSIA SMALL GROWTH
1998-12-31,375.9767346535302
1999-01-01,375.9767346535302
1999-01-04,365.7451820653017
1999-01-05,373.0994668561514
1999-01-06,386.16087221044353
1999-01-07,385.92967734006015
1999-01-08,392.99352825612294
1999-01-11,400.8079092090527
1999-01-12,393.57097948955743
1999-01-13,385.18110953395006
1999-01-14,382.3689580564263
1999-01-15,389.02051347719555
1999-01-18,388.7856989911785
1999-01-19,388.4674752251494
1999-01-20,389.6761376950605
1999-01-21,400.68525743632273
1999-01-22,409.4385643770025
1999-01-25,406.9388790032792
1999-01-26,402.01808985120823
1999-01-27,403.2183477967606
1999-01-28,398.8824779175786
1999-01-29,399.2558536472925
1999-02-01,401.09240585125195
1999-02-02,386.1017313865796
1999-02-03,375.73915105656323
1999-02-04,383.64312367585404
1999-02-05,372.4329662901105
1999-02-08,353.15259766884316
1999-02-09,370.14655667967895
1999-02-10,364.6332879737377
1999-02-11,374.50635210889385
1999-02-12,381.0295526647094
1999-02-15,382.43681706515315
1999-02-16,384.3695254877096
1999-02-17,382.55597747285617
1999-02-18,376.1289494783133
1999-02-19,380.04496100285377
1999-02-22,379.49135723736333
1999-02-23,378.80095784519665
1999-02-24,373.962499431446
1999-02-25,372.35340389571735
1999-02-26,450.64693145596056
1999-03-01,442.5195571921128
1999-03-02,440.44377257581056
1999-03-03,429.9147418291613
1999-03-04,434.18563776667554
1999-03-05,431.73107984587693
1999-03-08,431.25156312234463
1999-03-09,438.16734264792314
1999-03-10,431.8915788337501
1999-03-11,433.32476483872694
1999-03-12,432.238176742621
1999-03-15,428.7655154670696
1999-03-16,424.0660288028598
1999-03-17,416.1487897751178
1999-03-18,416.3730931660351
1999-03-19,416.93878272151846
1999-03-22,407.17607220482023
1999-03-23,402.99714699048127
1999-03-24,394.42026777402634
1999-03-25,402.4094559567318
1999-03-26,406.9103695225926
1999-03-29,407.55583712377614
1999-03-30,405.7488474173344
1999-03-31,410.9173629001766
1999-04-01,430.86352520027725
1999-04-02,452.7281434814142
1999-04-05,444.14441640924645
1999-04-06,456.88582055179256
1999-04-07,452.9225950081058
1999-04-08,448.43491939251015
1999-04-09,458.90738230642484
1999-04-12,453.36411858726615
1999-04-13,468.447727099744
1999-04-14,463.0733885835309
1999-04-15,476.3679887628745
1999-04-16,495.5687208170219
1999-04-19,513.0014027234337
1999-04-20,505.49154085521945
1999-04-21,498.78853928565326
1999-04-22,521.6645202423948
1999-04-23,528.1940906773981
1999-04-26,554.76108129094
1999-04-27,544.6882264027921
1999-04-28,550.7950091022399
1999-04-29,564.3585721944659
1999-04-30,569.1858181302232
1999-05-03,561.5466541488603
1999-05-04,575.5426411054098
1999-05-05,583.6113161960525
1999-05-06,592.0173663596164
1999-05-07,580.0144147101988
1999-05-10,592.3826131287165
1999-05-11,609.1535939511501
1999-05-12,606.1035009273131
1999-05-13,610.6267751000846
1999-05-14,623.4285185747852
1999-05-17,628.4870464784713
1999-05-18,651.5645681612565
1999-05-19,660.1773832595024
1999-05-20,674.4525568049132
1999-05-21,672.4611707769294
1999-05-24,637.3274077361464
1999-05-25,653.1706202211245
1999-05-26,657.1346197305771
1999-05-27,659.6070509894573
1999-05-28,646.5140600514062
1999-05-31,632.1995173477485
1999-06-01,653.0167156698429
1999-06-02,645.8817433631293
1999-06-03,643.7019154832349
1999-06-04,643.1434345245603
1999-06-07,637.6246415075897
1999-06-08,656.7034813250218
1999-06-09,653.3566688752305
1999-06-10,661.8502511986028
1999-06-11,675.8872949310535
1999-06-14,701.1736339693412
1999-06-15,697.8980334711439
1999-06-16,717.7571000009235
1999-06-17,713.7019803883653
1999-06-18,706.3591560418124
1999-06-21,709.9498897511367
1999-06-22,723.5893187438693
1999-06-23,728.3565159027761
1999-06-24,733.4829599226148
1999-06-25,731.2021180340865
1999-06-28,758.4554292698061
1999-06-29,770.2275887305439
1999-06-30,764.7440177612071
1999-07-01,794.203058732503
1999-07-02,807.8256041912593
1999-07-05,808.7327877212558
1999-07-06,818.560268369768
1999-07-07,808.0956979641495
1999-07-08,822.8339455841896
1999-07-09,833.1991176803618
1999-07-12,849.1471390165564
1999-07-13,834.4699332397115
1999-07-14,856.9703490254223
1999-07-15,861.6694712603892
1999-07-16,852.9028272355359
1999-07-19,850.5438858916982
1999-07-20,821.8222805133219
1999-07-21,827.649331521976
1999-07-22,815.1382327367915
1999-07-23,798.5715241056225
1999-07-26,727.3344297321426
