Date,MEXICO SMALL GROWTH
1998-12-31,242.2534680561519
1999-01-01,242.2534680561519
1999-01-04,236.24598697576258
1999-01-05,235.44693437504594
1999-01-06,232.35962183179993
1999-01-07,232.18519195371536
1999-01-08,231.01686348044436
1999-01-11,225.75226868859275
1999-01-12,216.55839299641372
1999-01-13,197.91323227432213
1999-01-14,193.2917375099282
1999-01-15,211.16108294876818
1999-01-18,212.25764581976048
1999-01-19,210.68443179492283
1999-01-20,216.12356199860497
1999-01-21,213.4993669734482
1999-01-22,212.96633058074335
1999-01-25,211.52381039522615
1999-01-26,213.49859548467268
1999-01-27,216.35772024440433
1999-01-28,225.6074543285977
1999-01-29,226.18531491227526
1999-02-01,232.53833181497208
1999-02-02,231.41030224830834
1999-02-03,231.4502611007993
1999-02-04,233.19330233067123
1999-02-05,233.67109459176444
1999-02-08,232.39879018375618
1999-02-09,228.81338563790936
1999-02-10,228.96572322419374
1999-02-11,233.01244301966085
1999-02-12,235.8501397349789
1999-02-15,238.29228355496238
1999-02-16,240.02706173822463
1999-02-17,237.30460935223024
1999-02-18,239.17518039481644
1999-02-19,241.56064559074014
1999-02-22,244.15358899468754
1999-02-23,245.07481090725528
1999-02-24,243.99221646960413
1999-02-25,240.7152249297818
1999-02-26,245.35125901938108
1999-03-01,244.5341185291119
1999-03-02,241.49149194090842
1999-03-03,239.19732626047573
1999-03-04,243.57580432093465
1999-03-05,246.4221580032088
1999-03-08,250.39469416287807
1999-03-09,255.150210099243
1999-03-10,260.3124898115395
1999-03-11,266.2873883096503
1999-03-12,264.7914952755733
1999-03-15,269.52847617767054
1999-03-16,277.3357057369565
1999-03-17,273.93028433608316
1999-03-18,273.77227255387606
1999-03-19,270.88339363005247
1999-03-22,272.4040925352631
1999-03-23,268.458206392316
1999-03-24,274.25975913338635
1999-03-25,278.906685685802
1999-03-26,283.78411528705743
1999-03-29,287.79648413763834
1999-03-30,285.7039542736334
1999-03-31,287.5026751883759
1999-04-01,286.7590508184125
1999-04-02,288.09246887711487
