Date,BRAZIL SMALL GROWTH
1998-12-31,181.9985845137869
1999-01-01,181.9985845137869
1999-01-04,180.3381559253462
1999-01-05,180.10705448249905
1999-01-06,182.9451347833719
1999-01-07,178.9372488354453
1999-01-08,179.17602639396765
1999-01-11,176.36599935471304
1999-01-12,172.71388979468645
1999-01-13,155.38818512590268
1999-01-14,154.76055103823782
1999-01-15,149.83501874251652
1999-01-18,138.8198353434068
1999-01-19,140.71615409630115
1999-01-20,139.9860590855155
1999-01-21,127.92386034763402
1999-01-22,126.44758521552413
1999-01-25,121.00525047193717
1999-01-26,120.77958307784075
1999-01-27,120.18722844000669
1999-01-28,121.08282981162573
1999-01-29,116.75828689843517
1999-02-01,130.56117925088353
1999-02-02,140.06406096374522
1999-02-03,135.16771364609227
1999-02-04,133.92295875567316
1999-02-05,133.32261259615004
1999-02-08,128.05479132887095
1999-02-09,128.39875794310296
1999-02-10,131.06222383265614
1999-02-11,130.76773848337874
1999-02-12,129.54115764944788
1999-02-15,130.01959471102865
1999-02-16,130.67667048036435
1999-02-17,129.54533857521233
1999-02-18,130.22156190361179
1999-02-19,129.4986872213878
1999-02-22,125.46812861011496
1999-02-23,122.12285496642856
1999-02-24,122.50083962172636
1999-02-25,119.76512357961411
1999-02-26,122.24560736247743
1999-03-01,118.70857495148154
1999-03-02,116.99073939767743
1999-03-03,117.6606043762745
1999-03-04,123.818737009339
1999-03-05,130.40759821772303
1999-03-08,130.1453722064024
1999-03-09,136.643272293796
1999-03-10,139.14511009300747
1999-03-11,139.46962462767567
1999-03-12,138.03980629877802
1999-03-15,140.83872188402916
1999-03-16,141.9525077167459
1999-03-17,143.29884603840642
1999-03-18,147.81311204645044
1999-03-19,148.70941488937294
1999-03-22,149.2071824310571
1999-03-23,150.30501247007624
1999-03-24,149.21968894198423
1999-03-25,156.9076268263976
1999-03-26,160.56585186330184
1999-03-29,162.959422918123
1999-03-30,164.1794913706924
1999-03-31,166.95331213961006
1999-04-01,166.71395808715076
1999-04-02,167.08486283747214
1999-04-05,168.8017418405987
1999-04-06,169.65768005224362
1999-04-07,168.79036870613453
1999-04-08,170.58786935050983
1999-04-09,167.78408672201053
1999-04-12,169.07757891534956
1999-04-13,171.58554141880668
1999-04-14,172.11180497612412
1999-04-15,172.34678602196811
1999-04-16,172.69527659413592
1999-04-19,170.00872225037406
1999-04-20,164.24329978256335
1999-04-21,165.00200086098386
1999-04-22,166.37191342494546
1999-04-23,166.93713368373852
1999-04-26,166.90488679765616
1999-04-27,162.7010004289854
1999-04-28,166.08130877695928
1999-04-29,170.17872938017734
1999-04-30,172.87497250976728
1999-05-03,172.325234485383
1999-05-04,169.17594229288048
1999-05-05,168.94669042824046
1999-05-06,170.34520709637346
1999-05-07,175.98651977325605
1999-05-10,180.5047390370059
1999-05-11,181.95243404717596
