Date,QATAR SMALL GROWTH
2014-06-02,980.1222214403615
2014-06-03,969.5373710191537
2014-06-04,969.1964558843025
2014-06-05,976.165387767592
2014-06-06,974.4209022814963
2014-06-09,984.086169432014
2014-06-10,978.2196535865992
2014-06-11,980.4207631881897
2014-06-12,977.6820621507925
2014-06-13,979.330783728201
2014-06-16,944.0429541334948
2014-06-17,942.8678808413168
2014-06-18,937.1701939427004
2014-06-19,953.5988290764212
2014-06-20,957.5676209325459
2014-06-23,945.5585151001285
2014-06-24,938.6515078954689
2014-06-25,932.6078159466223
2014-06-26,905.242708125607
2014-06-27,901.8581270534758
2014-06-30,885.9576746419706
2014-07-01,908.9439950152242
2014-07-02,917.4632506823579
2014-07-03,936.7215726740233
2014-07-04,938.1820364589147
2014-07-07,958.6033057467541
2014-07-08,957.8340955606403
2014-07-09,975.8044215354215
2014-07-10,971.4440079118837
2014-07-11,971.5868778299531
2014-07-14,990.9841559345621
2014-07-15,1010.975253062058
2014-07-16,1016.2503246211115
2014-07-17,1014.0188644881955
2014-07-18,1014.6568718421426
2014-07-21,1003.6036136544059
2014-07-22,1016.27344778292
2014-07-23,1005.7945048371938
2014-07-24,1001.3929432923356
2014-07-25,1004.0766435795781
2014-07-28,1002.3391637778166
2014-07-29,1004.5106375487426
2014-07-30,1006.9508659540446
2014-07-31,1006.837979085664
2014-08-01,1003.1642088142219
2014-08-04,1027.7378705569133
2014-08-05,1051.8681653978765
2014-08-06,1041.539051591243
2014-08-07,1056.6152786846142
2014-08-08,1051.652979489182
2014-08-11,1062.0900310388176
2014-08-12,1071.7264955904745
2014-08-13,1079.5325294573279
2014-08-14,1091.5562072855978
2014-08-15,1091.322328549242
2014-08-18,1105.176102162803
2014-08-19,1110.4282176526283
2014-08-20,1114.0866897274202
2014-08-21,1109.580141105266
2014-08-22,1113.9901105810425
2014-08-25,1127.6342628902523
2014-08-26,1127.3192680782172
2014-08-27,1128.6408559588328
2014-08-28,1128.364437357891
2014-08-29,1128.7107564490693
2014-09-01,1126.4816161485612
2014-09-02,1120.1318305304535
2014-09-03,1121.9545094581226
2014-09-04,1146.8986090235157
2014-09-05,1147.6066530773946
2014-09-08,1142.8678745246912
2014-09-09,1159.0973364833842
2014-09-10,1155.8317865934846
2014-09-11,1157.5949656289208
2014-09-12,1157.8633830734163
2014-09-15,1164.237954047564
2014-09-16,1163.4821644697265
2014-09-17,1157.951236769168
2014-09-18,1166.2798600226388
2014-09-19,1173.6823605944114
2014-09-22,1151.9145314964471
2014-09-23,1145.9625000403878
