Date,UNITED ARAB EMIRATES SMALL GROWTH
2014-06-02,1015.2054712752362
2014-06-03,1012.8621237534456
2014-06-04,1007.7754226698509
2014-06-05,1019.4078032652566
2014-06-06,1017.6139923349563
2014-06-09,968.3545661865172
2014-06-10,949.0206011700936
2014-06-11,948.3265601244593
2014-06-12,966.5962919415415
2014-06-13,968.2396163836195
2014-06-16,879.488480917943
2014-06-17,907.5377842942555
2014-06-18,904.094986319252
2014-06-19,913.2946443313405
2014-06-20,917.0956938252613
2014-06-23,850.935431507129
2014-06-24,788.4154199126012
2014-06-25,816.9702173899332
2014-06-26,817.3901827490303
2014-06-27,814.3229846255545
2014-06-30,733.8053520695248
2014-07-01,740.0262812583964
2014-07-02,839.7317165767518
2014-07-03,880.9687379724351
2014-07-04,882.3301584961981
2014-07-07,892.7655428837761
2014-07-08,871.2159738934438
2014-07-09,863.7950374124941
2014-07-10,856.4520595206262
2014-07-11,856.5780176145332
2014-07-14,898.246409367149
2014-07-15,910.6073666797248
2014-07-16,918.7067077213126
2014-07-17,924.1826533607651
2014-07-18,924.764136950355
2014-07-21,904.5282208281021
2014-07-22,899.1743074777427
2014-07-23,888.9996378866707
2014-07-24,894.1572161870199
2014-07-25,896.5535282381428
2014-07-28,896.2105238959825
2014-07-29,898.1150798523644
2014-07-30,900.2968446313158
2014-07-31,908.0288562855591
2014-08-01,904.7156226897596
2014-08-04,897.3170078737642
2014-08-05,901.4008431003009
2014-08-06,878.5721772046252
2014-08-07,879.2745661126205
2014-08-08,875.145131719606
2014-08-11,892.1265370371378
2014-08-12,898.4214985858448
2014-08-13,895.615316368681
2014-08-14,888.8851787018151
2014-08-15,888.7070335862082
2014-08-18,893.294563087506
2014-08-19,905.5007667810082
2014-08-20,897.9880151529086
2014-08-21,907.4441208964872
2014-08-22,911.1132635082818
2014-08-25,913.6709967026381
2014-08-26,916.9186560893995
2014-08-27,907.8076425720748
2014-08-28,895.6170882095462
2014-08-29,895.8550672414877
2014-09-01,907.481561602706
2014-09-02,903.0546803149272
2014-09-03,918.6062185099181
2014-09-04,910.26574619556
2014-09-05,910.8277036728579
2014-09-08,919.6920631705694
2014-09-09,913.5856762596298
2014-09-10,891.073354278895
2014-09-11,905.0318433447018
2014-09-12,905.2416976908166
2014-09-15,915.4547079739341
2014-09-16,899.7644038342862
2014-09-17,911.8928609955676
2014-09-18,926.673723710063
2014-09-19,932.5554190087175
2014-09-22,918.3248121969734
2014-09-23,905.5180733411316
2014-09-24,910.9596962582482
2014-09-25,915.3634081148361
2014-09-26,919.0889962534508
2014-09-29,927.129978681257
2014-09-30,933.2580811940202
2014-10-01,942.7451035377671
2014-10-02,921.2672284070535
2014-10-03,931.7232046236386
2014-10-06,927.4355558940714
2014-10-07,915.0908578985163
2014-10-08,910.9909496677508
2014-10-09,901.223316661078
2014-10-10,907.3975457828259
2014-10-13,873.5794715367019
2014-10-14,855.5275585784207
2014-10-15,840.0236106080716
2014-10-16,814.2015382128438
2014-10-17,815.0305666049933
2014-10-20,827.3674515242259
2014-10-21,816.6347477112446
2014-10-22,837.4982368752167
2014-10-23,835.7014407284261
2014-10-24,834.3821030945652
2014-10-27,831.7775627388019
2014-10-28,830.846790828281
2014-10-29,847.9387677104552
2014-10-30,836.3930943793557
2014-10-31,842.5566075640485
2014-11-03,860.4438856970235
2014-11-04,850.9782188417576
2014-11-05,841.7096025028991
2014-11-06,859.3186590341697
2014-11-07,860.8761481455173
2014-11-10,883.5791912020128
2014-11-11,915.7718716759995
2014-11-12,911.2703137809647
2014-11-13,911.6003512139378
2014-11-14,911.2351120812748
2014-11-17,898.1107862201462
2014-11-18,903.645956826777
2014-11-19,908.9616141595759
2014-11-20,905.594016636496
2014-11-21,914.8958161306674
2014-11-24,907.9700736942805
2014-11-25,868.5668352579053
2014-11-26,851.8289953905415
2014-11-27,868.8572346241009
2014-11-28,869.8789816717026
2014-12-01,811.7025966553354
2014-12-02,816.5567673720269
2014-12-03,821.9135208513812
2014-12-04,836.5558920353016
2014-12-05,846.0799893667597
2014-12-08,822.4981718043391
2014-12-09,803.4872577659967
2014-12-10,799.7659671560264
2014-12-11,760.5024937252709
2014-12-12,755.6509491697292
2014-12-15,700.6812748370925
2014-12-16,663.0568823522963
2014-12-17,644.5412103834327
2014-12-18,728.6996922308894
2014-12-19,729.6504155216052
2014-12-22,780.1581523082556
2014-12-23,761.0691479548949
2014-12-24,797.7989984134683
2014-12-25,805.074505065463
2014-12-26,806.3313487116765
2014-12-29,835.9805146298148
2014-12-30,787.5626550930554
2014-12-31,821.1956274973091
2015-01-01,821.1956274973091
2015-01-02,825.9625471212183
2015-01-05,796.7248366698473
2015-01-06,776.6328672115603
2015-01-07,811.7546779274734
2015-01-08,825.322816962608
2015-01-09,822.3937909528546
2015-01-12,817.2340415507177
2015-01-13,832.1219807299934
2015-01-14,835.5839849006977
2015-01-15,866.575850644459
2015-01-16,873.3592232522435
2015-01-19,866.8795615414678
2015-01-20,870.1869287294802
2015-01-21,865.31614569047
2015-01-22,888.7493621338987
2015-01-23,901.9429390463266
2015-01-26,862.4611522300211
2015-01-27,860.067771569747
2015-01-28,870.0469883613563
2015-01-29,858.4209033789934
2015-01-30,862.490690993046
2015-02-02,861.9258262961424
2015-02-03,876.8735194594548
2015-02-04,870.0799643015446
2015-02-05,870.1477077537222
2015-02-06,876.7440939203067
2015-02-09,881.205540673552
2015-02-10,879.348831903998
2015-02-11,882.5452242972231
2015-02-12,866.5699752810806
2015-02-13,864.2900279661553
2015-02-16,856.6168337571067
2015-02-17,860.5742639726318
2015-02-18,856.5237566884438
