Date,TAIWAN SMALL GROWTH
1998-12-31,2148.944373287106
1999-01-01,2148.944373287106
1999-01-04,2143.144239903389
1999-01-05,2060.838619586493
1999-01-06,2062.5891107870716
1999-01-07,2129.2492644853637
1999-01-08,2157.896438916318
1999-01-11,2164.305647741489
1999-01-12,2140.329494292118
1999-01-13,2100.093173593726
1999-01-14,2072.3336568056357
1999-01-15,2141.4342219037976
1999-01-18,2128.663328921069
1999-01-19,2097.2386975471754
1999-01-20,2081.7291831269567
1999-01-21,2065.5922833247078
1999-01-22,2027.547106590443
1999-01-25,1961.2567081575555
1999-01-26,1949.3704721693143
1999-01-27,1975.9289807809748
1999-01-28,1956.7864867733997
1999-01-29,1931.629735654945
1999-02-01,1931.9637883247906
1999-02-02,1872.3587979314632
1999-02-03,1838.0453597664928
1999-02-04,1767.3679963087338
1999-02-05,1739.5942451583196
1999-02-08,1882.8641810077315
1999-02-09,1844.8614535195056
1999-02-10,1866.5727631098566
1999-02-11,1869.9591080044731
1999-02-12,1873.7722590484343
1999-02-15,1880.6927012457832
1999-02-16,1890.1970963817753
1999-02-17,1878.3709960971648
1999-02-18,1880.2122080876363
1999-02-19,1894.328878761426
1999-02-22,2005.933507062767
1999-02-23,1945.9763419901199
1999-02-24,1947.0969328676513
1999-02-25,1946.6690818293919
1999-02-26,1968.2167229257598
1999-03-01,1996.695625250439
1999-03-02,1987.961755071618
1999-03-03,2008.7025963131875
1999-03-04,2025.2975069107665
1999-03-05,2027.8341249569628
1999-03-08,2024.1599551970878
1999-03-09,2040.184357155886
1999-03-10,2024.9409394018332
1999-03-11,2036.3501167160712
1999-03-12,2005.757443829304
1999-03-15,2024.4151387932757
1999-03-16,2066.7409975905116
1999-03-17,2072.913232995613
1999-03-18,2125.371716672686
1999-03-19,2190.898176525145
1999-03-22,2214.7085994039358
1999-03-23,2206.971234432358
1999-03-24,2190.091549496476
1999-03-25,2210.6288055845384
1999-03-26,2275.351421789088
1999-03-29,2254.665948308684
1999-03-30,2214.772058649167
1999-03-31,2200.1450721818383
1999-04-01,2223.915806422027
1999-04-02,2272.7200045788027
1999-04-05,2291.6390328428047
1999-04-06,2289.9491384515577
1999-04-07,2260.701440255111
1999-04-08,2280.5897781707563
1999-04-09,2283.379938608658
1999-04-12,2241.726998224148
1999-04-13,2278.0557731506456
1999-04-14,2293.3878624269296
1999-04-15,2323.4969938312347
1999-04-16,2312.361839511089
1999-04-19,2387.872047498819
1999-04-20,2393.562190942437
1999-04-21,2378.004237083541
1999-04-22,2380.3126333178498
1999-04-23,2423.5259091508406
1999-04-26,2454.0706098702753
1999-04-27,2417.9487966866614
1999-04-28,2420.5243354200475
1999-04-29,2404.831992265194
1999-04-30,2415.040792974112
1999-05-03,2446.459384809889
1999-05-04,2479.2317854653925
1999-05-05,2469.3313329496636
1999-05-06,2434.5515025197533
1999-05-07,2421.8882076932246
1999-05-10,2419.6527206312203
1999-05-11,2430.3483268358527
1999-05-12,2411.9244908720216
1999-05-13,2408.6097254662072
1999-05-14,2406.67885567401
1999-05-17,2414.2396515998635
1999-05-18,2391.6256266554997
1999-05-19,2377.9683223130596
1999-05-20,2399.4623888626356
