Date,EM (EMERGING MARKETS) SRI
2011-05-31,1000.0
2011-06-01,1001.6143115514116
2011-06-02,997.399086313741
2011-06-03,997.2814067833324
2011-06-06,994.9684226664253
2011-06-07,998.5788535500752
2011-06-08,994.8176806125512
2011-06-09,989.7729468667696
2011-06-10,980.1662983477441
2011-06-13,975.7796086425437
2011-06-14,985.9189651888471
2011-06-15,985.6020211499335
2011-06-16,968.3101295779386
2011-06-17,964.8680454795405
2011-06-20,957.9897992240853
2011-06-21,972.687499036573
2011-06-22,974.4790466981841
2011-06-23,965.2265931986844
2011-06-24,970.6568678567301
2011-06-27,966.7543518679659
2011-06-28,976.8779344868603
2011-06-29,990.3892293929717
2011-06-30,1004.2972259953741
2011-07-01,1014.8651705235883
2011-07-04,1023.3773940406519
2011-07-05,1022.3727688627963
2011-07-06,1020.3949637551955
2011-07-07,1025.7018047289191
2011-07-08,1025.7873839915608
2011-07-11,1008.6110305263574
2011-07-12,991.1105786092825
2011-07-13,1008.1857100498662
2011-07-14,1006.0006170431577
2011-07-15,1004.7797390230074
2011-07-18,994.6623150939217
2011-07-19,997.4183375655567
2011-07-20,1007.4937886998123
2011-07-21,1013.1696919396136
2011-07-22,1021.9222263840264
2011-07-25,1016.5302660725799
2011-07-26,1024.023115291876
2011-07-27,1020.3418397358463
2011-07-28,1017.5536944931381
2011-07-29,1011.457165316688
2011-08-01,1024.1824697908128
2011-08-02,1006.1356200878631
2011-08-03,985.0820808236263
2011-08-04,960.2624306132747
2011-08-05,933.8304426794065
2011-08-08,890.9860310711231
2011-08-09,875.9689208593848
2011-08-10,889.5940370549947
2011-08-11,897.5289618265116
2011-08-12,894.1990640856038
2011-08-15,910.1358673237197
2011-08-16,915.6359540544305
2011-08-17,924.257314804445
2011-08-18,902.4319208571726
2011-08-19,879.0681061181541
2011-08-22,877.4600664721085
2011-08-23,892.9926946383838
2011-08-24,888.9360459261527
2011-08-25,879.5901312511799
2011-08-26,883.4998300915468
2011-08-29,910.7386322583124
2011-08-30,915.3212164908639
2011-08-31,933.0082063199255
2011-09-01,938.4778351060719
2011-09-02,923.1924414911196
2011-09-05,898.1279561804002
2011-09-06,895.1667725327194
2011-09-07,915.2628575057398
2011-09-08,921.563597482737
2011-09-09,904.282539444704
2011-09-12,886.5392809247478
2011-09-13,881.5743048852246
2011-09-14,870.4206652437967
2011-09-15,882.5205748018845
2011-09-16,892.172303161635
2011-09-19,868.2743648720896
2011-09-20,869.1132183013441
2011-09-21,860.7682829014703
2011-09-22,808.0327585817192
2011-09-23,788.0676972570884
2011-09-26,780.0879549457072
2011-09-27,821.5150208271732
2011-09-28,820.4673122160987
2011-09-29,821.4373810142251
2011-09-30,811.5951876055098
2011-10-03,789.8135339825733
2011-10-04,772.3292854087998
2011-10-05,777.7248829647092
2011-10-06,798.0319563018414
2011-10-07,816.0045730692372
2011-10-10,829.9862085698502
2011-10-11,836.2133943633438
2011-10-12,847.2391332084101
2011-10-13,849.62698791325
2011-10-14,857.7921056568626
2011-10-17,864.7180939857742
2011-10-18,853.3535657984311
2011-10-19,860.7924631306118
2011-10-20,836.8025776244108
2011-10-21,847.0085544571795
2011-10-24,869.5390100648924
2011-10-25,875.8990677852519
2011-10-26,879.779650478405
2011-10-27,903.9565624267734
2011-10-28,919.4996628847576
2011-10-31,906.7550657749532
2011-11-01,885.9974917113647
2011-11-02,889.7921016116977
2011-11-03,887.3035854527121
2011-11-04,899.2670123698141
2011-11-07,899.8282480063483
2011-11-08,901.4036165189773
2011-11-09,891.5309441529116
2011-11-10,873.3339149179355
2011-11-11,886.9410476875664
2011-11-14,893.2879178837342
2011-11-15,884.3275881664945
2011-11-16,879.1626497415722
2011-11-17,872.8465999269755
2011-11-18,856.6880747775158
2011-11-21,832.8111186924663
2011-11-22,835.0389425455598
2011-11-23,815.4271332914121
2011-11-24,821.8629619387483
2011-11-25,812.1295368459947
2011-11-28,834.3385880069067
2011-11-29,838.1619785250562
2011-11-30,859.382559101314
2011-12-01,880.7239335818675
2011-12-02,883.0934271924914
2011-12-05,886.7700128241444
2011-12-06,877.2955674583363
2011-12-07,883.2779418770045
2011-12-08,875.0407520276935
2011-12-09,864.1795576364734
2011-12-12,858.1953838304961
2011-12-13,852.1681241908034
2011-12-14,840.0799615044601
2011-12-15,832.314013925047
2011-12-16,839.470532772609
2011-12-19,829.2008533543408
2011-12-20,837.6637804308123
2011-12-21,853.5937099714498
2011-12-22,855.7370063215952
2011-12-23,860.36179144258
2011-12-26,860.241074266463
2011-12-27,857.550537964254
2011-12-28,851.2748063635793
2011-12-29,852.2285315993802
2011-12-30,855.5812742875542
2012-01-02,854.3826093647658
2012-01-03,870.0551491637538
2012-01-04,869.3861828793689
2012-01-05,867.7090419736485
2012-01-06,866.4924851534977
2012-01-09,867.5491651174352
2012-01-10,882.6804563373556
2012-01-11,878.1613032502419
2012-01-12,881.2658694718414
2012-01-13,880.7938161361697
