Date,AC ASIA ex JAPAN SRI
2013-05-31,1000.0
2013-06-03,992.5089789400299
2013-06-04,997.922959694575
2013-06-05,990.2973976542216
2013-06-06,978.984252537491
2013-06-07,980.9226575370604
2013-06-10,977.7695371747002
2013-06-11,965.3723867037257
2013-06-12,964.7839222053001
2013-06-13,945.2864290804968
2013-06-14,961.6326181838702
2013-06-17,963.2318132247528
2013-06-18,961.5917573639799
2013-06-19,957.4929324803918
2013-06-20,926.959626646013
2013-06-21,920.3561956110843
2013-06-24,903.0471092370306
2013-06-25,905.411247710037
2013-06-26,913.7161139224379
2013-06-27,935.5989134652071
2013-06-28,968.4666803286553
2013-07-01,956.9607491757241
2013-07-02,961.3507427659181
2013-07-03,946.2490241067425
2013-07-04,952.1626294996165
2013-07-05,959.2298347571635
2013-07-08,938.3981806631351
2013-07-09,947.8247111887188
2013-07-10,953.8695314695441
2013-07-11,986.074051476457
2013-07-12,991.2780772158981
2013-07-15,990.5257981036895
2013-07-16,988.8526138568584
2013-07-17,989.4426634275939
2013-07-18,981.2346329947655
2013-07-19,965.4237603578489
2013-07-22,970.6592668405953
2013-07-23,982.6950130711749
2013-07-24,988.7638628412255
2013-07-25,985.0625309357507
2013-07-26,988.8851996962873
2013-07-29,978.831144806969
2013-07-30,982.7728949897988
2013-07-31,978.9144189337587
2013-08-01,982.3083564504665
2013-08-02,982.1155922450961
2013-08-05,982.1280810163611
2013-08-06,967.5055182277634
2013-08-07,958.3219406000973
2013-08-08,963.7347289014581
2013-08-09,962.5230645439806
2013-08-12,961.6597744377704
2013-08-13,973.664981793193
2013-08-14,971.1163685571955
2013-08-15,963.6211296165752
2013-08-16,956.8557059693914
2013-08-19,944.9230014020525
2013-08-20,930.1206296719535
2013-08-21,921.8028382712934
2013-08-22,917.8056964526592
2013-08-23,928.902950187135
2013-08-26,928.5640548798615
2013-08-27,911.4160098207429
2013-08-28,908.0728333761983
2013-08-29,926.5690789919821
2013-08-30,940.3934957865066
2013-09-02,951.2003644917645
2013-09-03,943.613294316727
