Date,UK IMI EXTENDED SRI 5% ISSUER CAPPED
2011-05-31,1000.0
2011-06-01,984.5798701727784
2011-06-02,967.9358105395427
2011-06-03,962.9184118935187
2011-06-06,961.0985780417908
2011-06-07,963.2216550491037
2011-06-08,953.6198667027519
2011-06-09,966.7952756447978
2011-06-10,954.7364609449635
2011-06-13,960.622524463449
2011-06-14,965.1331511854439
2011-06-15,959.2341076463478
2011-06-16,952.1984500636014
2011-06-17,947.2549465961583
2011-06-20,944.3916781840691
2011-06-21,953.2069986494425
2011-06-22,942.9010377738948
2011-06-23,936.244123057584
2011-06-24,937.4657733478468
2011-06-27,934.377852239746
2011-06-28,936.3611176403726
2011-06-29,951.8249773851569
2011-06-30,959.3821621083501
2011-07-01,968.1443616209401
2011-07-04,971.141522755696
2011-07-05,980.3625041166213
2011-07-06,979.3917340889237
2011-07-07,980.8535414110356
2011-07-08,983.1342787303536
2011-07-11,978.130189415247
2011-07-12,971.5714642690764
2011-07-13,975.9895060215381
2011-07-14,966.4235818341881
2011-07-15,968.0215428687081
2011-07-18,950.6514234044813
2011-07-19,954.2655187718598
2011-07-20,962.4885622908113
2011-07-21,967.6813605211847
2011-07-22,975.7505099326683
2011-07-25,973.9905829047432
2011-07-26,970.5895689434047
2011-07-27,960.9295923072366
2011-07-28,968.4766732305293
2011-07-29,960.7347020115491
2011-08-01,953.5671210065559
2011-08-02,942.96439186003
2011-08-03,929.780533149837
2011-08-04,902.7910196325101
2011-08-05,881.2790435224377
2011-08-08,844.1690973901228
2011-08-09,856.6387779749322
2011-08-10,830.1496360528558
2011-08-11,856.6688900109009
2011-08-12,890.8548120569895
2011-08-15,888.1136342996572
2011-08-16,890.5875432649813
2011-08-17,891.4801525998218
2011-08-18,851.4609961704984
2011-08-19,842.1165229168112
2011-08-22,846.0746117037052
2011-08-23,852.2651505291667
2011-08-24,861.3339888976402
2011-08-25,844.3230820053892
2011-08-26,839.1479441151916
2011-08-29,838.0846146941426
2011-08-30,859.7275317979447
2011-08-31,885.4900354824459
2011-09-01,893.1332921537487
2011-09-02,877.879119928656
2011-09-05,846.4323157602719
2011-09-06,850.2361030648353
2011-09-07,875.4300380254731
2011-09-08,890.8096851746532
2011-09-09,878.3714932842951
2011-09-12,864.3495211610971
2011-09-13,863.5046745490154
2011-09-14,870.0291833442035
2011-09-15,880.0079587247335
2011-09-16,889.9042834877537
2011-09-19,872.9658453712797
2011-09-20,886.5539753341124
2011-09-21,871.5159384685052
2011-09-22,831.5296582526374
2011-09-23,834.4970793281345
2011-09-26,850.3952071003048
2011-09-27,881.9295797346525
2011-09-28,872.6494107253454
2011-09-29,870.669532109212
2011-09-30,866.5147697411954
2011-10-03,860.1290757222881
2011-10-04,831.2561447876855
2011-10-05,855.1402135408322
2011-10-06,882.4738794366511
2011-10-07,893.921557440195
2011-10-10,903.1484185665025
2011-10-11,899.6673012055344
2011-10-12,910.3225346514523
2011-10-13,905.1549710482693
2011-10-14,909.6187937839312
2011-10-17,908.0018304757817
2011-10-18,898.8500838800063
2011-10-19,906.8086840990383
2011-10-20,891.8991184766378
2011-10-21,913.5151548504947
2011-10-24,927.009305751954
2011-10-25,920.616101649455
2011-10-26,924.2253652931179
2011-10-27,943.7458418802879
2011-10-28,943.6726264294642
2011-10-31,934.1825386092809
2011-11-01,914.2222537003275
2011-11-02,922.6021006539593
2011-11-03,937.3014124830738
2011-11-04,936.4676320787595
2011-11-07,932.5782535822411
2011-11-08,942.5018545505625
2011-11-09,932.2024259511152
2011-11-10,925.2221068149447
2011-11-11,945.1921073172992
2011-11-14,934.3084457185234
2011-11-15,935.2663570795135
2011-11-16,931.3377112181895
2011-11-17,917.1776135395697
2011-11-18,906.047884575363
2011-11-21,876.1683063383748
2011-11-22,873.5343551556902
2011-11-23,865.0962539934357
2011-11-24,866.3378175278762
2011-11-25,873.351304330811
2011-11-28,899.9798769280926
2011-11-29,912.6387902848754
2011-11-30,937.9042098477125
2011-12-01,931.827453362972
2011-12-02,940.8877988643183
2011-12-05,944.0496240437112
2011-12-06,942.7084996090996
2011-12-07,942.2863965830193
2011-12-08,932.3378867053164
2011-12-09,937.101724036758
2011-12-12,926.9033197564573
2011-12-13,937.2242695159963
2011-12-14,917.912978230738
2011-12-15,926.0764516750206
2011-12-16,923.5838919831546
2011-12-19,922.149900278643
2011-12-20,937.7359686288667
2011-12-21,933.9483181173506
2011-12-22,943.4769452065149
2011-12-23,952.6547638186988
2011-12-26,952.6547638186988
2011-12-27,952.3881088536459
2011-12-28,948.2096523055158
2011-12-29,954.9597068637264
2011-12-30,962.4716927958767
2012-01-02,962.4716927958767
2012-01-03,986.3853562932702
2012-01-04,989.5623474821705
2012-01-05,980.6787225005737
