Date,EM FAR EAST VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1049.650565309997
1999-01-05,1084.7393406711853
1999-01-06,1133.2781503255808
1999-01-07,1189.0885323426935
1999-01-08,1174.5647029875495
1999-01-11,1186.0863409741496
1999-01-12,1158.5170159077782
1999-01-13,1128.1362248875485
1999-01-14,1071.7803059866762
1999-01-15,1106.227934314141
1999-01-18,1119.4557626128028
1999-01-19,1117.4044734942688
1999-01-20,1125.0406007750316
1999-01-21,1074.5185413360007
1999-01-22,1018.3598945859073
1999-01-25,991.578327853685
1999-01-26,990.0859964720025
1999-01-27,1043.2968014268577
1999-01-28,1053.0731474537222
1999-01-29,1055.7994243246196
1999-02-01,1065.676683600931
1999-02-02,1045.2237945075026
1999-02-03,1030.1539394618328
1999-02-04,1016.9966039422682
1999-02-05,1016.5929131446014
1999-02-08,1013.3601817957374
1999-02-09,970.0157643945488
1999-02-10,974.7359693407783
1999-02-11,976.7485375060849
1999-02-12,1022.1109237675831
1999-02-15,1026.5047845943102
1999-02-16,1032.0503221484234
1999-02-17,1024.417201174925
1999-02-18,998.6966250284438
1999-02-19,979.0156533823742
1999-02-22,972.5731073800009
1999-02-23,973.7822654151229
1999-02-24,969.6526583212177
1999-02-25,960.0451454194289
1999-02-26,998.3719527296374
1999-03-01,1004.310739042422
1999-03-02,1019.6007739536379
1999-03-03,1019.3578104983516
1999-03-04,1013.5346379046534
1999-03-05,1015.7846528134854
1999-03-08,1064.22916976519
1999-03-09,1059.9728412993738
1999-03-10,1054.410394867136
1999-03-11,1083.5924507245732
1999-03-12,1084.9329839631719
1999-03-15,1095.4487143643898
1999-03-16,1114.3418545106172
1999-03-17,1105.3836675543612
1999-03-18,1085.6125304397758
1999-03-19,1137.5623025489185
1999-03-22,1148.4595714690515
1999-03-23,1156.0707260818065
1999-03-24,1151.7985291879863
1999-03-25,1153.1921085269287
1999-03-26,1174.5710223486851
1999-03-29,1161.3552357383955
1999-03-30,1183.0812997375915
1999-03-31,1176.9484924941182
1999-04-01,1216.1775621754803
1999-04-02,1249.2580409653008
1999-04-05,1254.4399285442141
1999-04-06,1284.9335495486646
1999-04-07,1292.5396262425786
1999-04-08,1314.2991330141137
1999-04-09,1339.9403249101574
1999-04-12,1325.629388336635
1999-04-13,1337.468594690044
1999-04-14,1337.340457926122
1999-04-15,1411.090192502887
1999-04-16,1439.5069920300393
1999-04-19,1541.7751359573301
1999-04-20,1548.152195909839
1999-04-21,1515.279807134142
1999-04-22,1512.9479865503022
1999-04-23,1544.4081847783923
1999-04-26,1620.0648631042873
1999-04-27,1668.589113895653
1999-04-28,1660.3959450092234
1999-04-29,1601.53140845939
1999-04-30,1608.0388807346183
1999-05-03,1605.41113517231
1999-05-04,1648.6220342314903
1999-05-05,1637.5843821176334
1999-05-06,1698.2873433615991
1999-05-07,1706.0075439694626
1999-05-10,1710.9530357210087
1999-05-11,1671.0209724555375
1999-05-12,1662.0169340498942
1999-05-13,1620.2746703401203
1999-05-14,1598.279805231973
1999-05-17,1551.346268667578
1999-05-18,1597.6848555086317
1999-05-19,1600.361211893671
1999-05-20,1562.7964422562184
1999-05-21,1584.2270347948072
1999-05-24,1571.428401157685
1999-05-25,1574.056241656255
1999-05-26,1619.9544534296163
1999-05-27,1636.420345836666
1999-05-28,1636.824322872909
1999-05-31,1638.4766854714612
1999-06-01,1665.772627698412
1999-06-02,1715.1092346480066
1999-06-03,1730.7398278101102
1999-06-04,1774.4868514750783
1999-06-07,1858.0085574119123
1999-06-08,1878.7049638817443
1999-06-09,1821.9567081461385
1999-06-10,1900.937428031856
1999-06-11,1905.5713883661708
1999-06-14,1885.5933807836448
1999-06-15,1857.4669662228403
1999-06-16,1925.1706424513716
1999-06-17,1958.0471226302514
1999-06-18,1961.0187229155956
1999-06-21,2057.4143981919956
1999-06-22,2099.0406524999935
1999-06-23,2100.58707290031
1999-06-24,2088.9128718988054
1999-06-25,2054.8549009109715
1999-06-28,2109.486344352247
1999-06-29,2124.939644736883
1999-06-30,2099.03727162508
1999-07-01,2158.243683599513
1999-07-02,2198.6354518722505
1999-07-05,2235.5181620068943
1999-07-06,2257.7302548604152
1999-07-07,2269.5363836360925
1999-07-08,2260.3483260213575
1999-07-09,2290.4011578592017
1999-07-12,2269.2947360879707
1999-07-13,2215.53599473209
1999-07-14,2131.758856798555
1999-07-15,2156.4918368392646
1999-07-16,2190.5436586409837
1999-07-19,2194.5999764243534
1999-07-20,2127.368166402068
1999-07-21,2052.165805845722
1999-07-22,2046.9706872605707
1999-07-23,1936.9230009227529
1999-07-26,1845.442312254433
1999-07-27,1920.6585541774634
1999-07-28,1966.6008416867926
1999-07-29,2013.935974141423
1999-07-30,1980.553665107586
1999-08-02,1969.3323953571414
1999-08-03,1992.0254191593156
