Date,EM EMEA VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1016.6203194407025
1999-01-05,1037.798494102734
1999-01-06,1083.5178471651777
1999-01-07,1082.114938449666
1999-01-08,1104.7222193942666
1999-01-11,1095.7533605594324
1999-01-12,1084.8489069602124
1999-01-13,1003.3064866859825
1999-01-14,1010.4627918033341
1999-01-15,1011.7224807011941
1999-01-18,1046.6098972099999
1999-01-19,1043.6247265988045
1999-01-20,1052.5998341727718
1999-01-21,1041.4974708688976
1999-01-22,1027.1893507438544
1999-01-25,1014.6233782269701
1999-01-26,1024.660398602396
1999-01-27,1043.4373276106605
1999-01-28,1049.4067102286206
1999-01-29,1061.1734565367294
1999-02-01,1074.519029623331
1999-02-02,1067.030866724376
1999-02-03,1064.0242926275637
1999-02-04,1077.6069166762113
1999-02-05,1082.4851480436928
1999-02-08,1092.9198442854472
1999-02-09,1072.2016034727887
1999-02-10,1073.0166098823029
1999-02-11,1094.716962634248
1999-02-12,1101.3613822442321
1999-02-15,1101.35450834682
1999-02-16,1119.4356296257406
1999-02-17,1117.7863781591093
1999-02-18,1119.1980385315903
1999-02-19,1125.0297516457574
1999-02-22,1145.752206067991
1999-02-23,1134.6708711074893
1999-02-24,1154.686899522024
1999-02-25,1143.8024797632602
1999-02-26,1146.3854607612923
1999-03-01,1159.1464286070388
1999-03-02,1159.2466376154557
1999-03-03,1169.959755944015
1999-03-04,1172.0781699848317
1999-03-05,1190.9200081208962
1999-03-08,1208.0271006620646
1999-03-09,1221.8805904137357
1999-03-10,1221.2877406095438
1999-03-11,1263.670833161695
1999-03-12,1263.4164819323069
1999-03-15,1260.2306349618566
1999-03-16,1270.6918276756996
1999-03-17,1276.2856736486456
1999-03-18,1270.0279789218635
1999-03-19,1302.4222037911634
1999-03-22,1297.0833928971774
1999-03-23,1282.0235561208442
1999-03-24,1245.4626376983917
1999-03-25,1274.6615136289045
1999-03-26,1285.957027692413
1999-03-29,1290.0650525840858
1999-03-30,1297.6549787491033
1999-03-31,1284.4152915605378
1999-04-01,1271.0269248783477
1999-04-02,1283.5234126220066
1999-04-05,1292.5312055676577
1999-04-06,1292.4384344868683
1999-04-07,1298.1404960031455
1999-04-08,1290.511338329382
1999-04-09,1297.4346153564406
1999-04-12,1287.8657207996916
1999-04-13,1306.2088069450915
1999-04-14,1336.0409049655013
1999-04-15,1355.5401992440613
1999-04-16,1386.3214684612915
1999-04-19,1416.6392846037752
1999-04-20,1405.4808226197667
1999-04-21,1391.023557865806
1999-04-22,1398.3425883138218
1999-04-23,1401.9252800455672
1999-04-26,1412.6123035194091
1999-04-27,1410.8429779311357
1999-04-28,1425.772595460611
1999-04-29,1438.8174652247942
1999-04-30,1462.9191067285037
1999-05-03,1478.286725911163
1999-05-04,1483.6767590095258
1999-05-05,1482.1547340937782
1999-05-06,1497.9723766616792
1999-05-07,1478.5407163835837
1999-05-10,1468.5990712541989
1999-05-11,1482.5332807201833
1999-05-12,1431.7940386350406
1999-05-13,1442.0052935805102
1999-05-14,1438.8516342749153
1999-05-17,1449.7041487379167
1999-05-18,1480.2609329793768
1999-05-19,1475.1591699602234
1999-05-20,1472.130454854457
1999-05-21,1490.2876878014608
1999-05-24,1478.8608701483836
1999-05-25,1447.4707184776696
1999-05-26,1447.763496314036
1999-05-27,1443.0621105079642
1999-05-28,1439.2015381218964
1999-05-31,1443.9477091533513
1999-06-01,1466.2206642533008
1999-06-02,1465.315987095211
1999-06-03,1492.1862300429812
1999-06-04,1509.1784281098915
1999-06-07,1538.489479488271
1999-06-08,1531.6552413549794
1999-06-09,1537.1987989789527
1999-06-10,1533.8858152383143
1999-06-11,1558.5771793464653
1999-06-14,1569.8135464848933
1999-06-15,1564.5731539701956
1999-06-16,1592.479270462035
1999-06-17,1606.291650372922
1999-06-18,1622.8279655658923
1999-06-21,1661.4474733414863
1999-06-22,1654.7118136441593
1999-06-23,1630.006354445463
1999-06-24,1618.9419973924096
1999-06-25,1596.1959271698013
1999-06-28,1612.4058438146749
1999-06-29,1619.823196136914
1999-06-30,1637.549687254846
1999-07-01,1690.0145610968195
1999-07-02,1701.1190574995078
1999-07-05,1735.411338945205
1999-07-06,1735.0587079346021
1999-07-07,1724.603193064252
1999-07-08,1734.303054530708
1999-07-09,1732.6411477170047
1999-07-12,1756.1982552694053
1999-07-13,1706.0176399177324
1999-07-14,1726.9325610107926
1999-07-15,1731.6723312134093
1999-07-16,1722.947637195914
1999-07-19,1731.554139534458
1999-07-20,1685.3456389120752
1999-07-21,1659.4321407978061
1999-07-22,1669.0703237866455
1999-07-23,1665.6681944950758
1999-07-26,1621.6585577434296
1999-07-27,1619.0217303745817
1999-07-28,1619.3959429401536
1999-07-29,1572.0228065780552
1999-07-30,1586.4654583252682
1999-08-02,1573.0563351133771
