Date,EM LATAM ex BR VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,990.9197657574432
1999-01-05,986.1111298966662
1999-01-06,994.4266524253803
1999-01-07,984.6889048095816
1999-01-08,985.1431448963347
1999-01-11,966.1340235980862
1999-01-12,922.5433380292983
1999-01-13,843.5242112767805
1999-01-14,832.2217133553537
1999-01-15,910.1640302182357
1999-01-18,913.2527216765254
1999-01-19,906.5699356069288
1999-01-20,935.976310842301
1999-01-21,912.5580749535129
1999-01-22,906.5287336099638
1999-01-25,918.2617632193943
1999-01-26,926.3307871437872
1999-01-27,946.5737510282705
1999-01-28,969.7848825922626
1999-01-29,983.3856676702703
1999-02-01,1008.6227578494505
1999-02-02,999.6990102913254
1999-02-03,1005.6145086901466
1999-02-04,1008.2164798665253
1999-02-05,1008.6591354358478
1999-02-08,1011.8768421724776
1999-02-09,1001.2781654962945
1999-02-10,1007.4894113062546
1999-02-11,1035.3171915850364
1999-02-12,1032.7534390188553
1999-02-15,1038.7004590255274
1999-02-16,1050.1052800009938
1999-02-17,1031.8400338069318
1999-02-18,1039.139729683195
1999-02-19,1066.1093418626242
1999-02-22,1078.6355981872332
1999-02-23,1075.5043001882607
1999-02-24,1082.05085706422
1999-02-25,1067.680874132685
1999-02-26,1075.13951412992
1999-03-01,1072.8908343942896
1999-03-02,1064.9293510805712
1999-03-03,1064.2905963130108
1999-03-04,1097.09856614782
1999-03-05,1109.4780035372744
1999-03-08,1130.4625906957476
1999-03-09,1146.0944002961708
1999-03-10,1168.5916139902972
1999-03-11,1186.5494423848304
1999-03-12,1179.0608386228637
1999-03-15,1193.5638808060835
1999-03-16,1214.1132252802906
1999-03-17,1200.6970356362424
1999-03-18,1209.0574524354818
1999-03-19,1205.9928930727438
1999-03-22,1196.9316991317187
1999-03-23,1183.2852107569158
1999-03-24,1201.843536189095
1999-03-25,1221.404005767409
1999-03-26,1228.8653540759012
1999-03-29,1251.313586785126
1999-03-30,1258.4770788247272
1999-03-31,1268.2467092314018
1999-04-01,1267.718511945935
1999-04-02,1272.0615501445118
1999-04-05,1317.823630423081
1999-04-06,1321.0423795030952
1999-04-07,1316.2880999071563
1999-04-08,1318.7872063281009
1999-04-09,1326.818256324444
1999-04-12,1332.9708495659752
1999-04-13,1340.9995588421407
1999-04-14,1344.3828174953928
1999-04-15,1401.225427818652
1999-04-16,1447.59223076185
1999-04-19,1475.4214428707512
1999-04-20,1454.2103337976105
1999-04-21,1448.1932897670295
1999-04-22,1472.5758627772775
1999-04-23,1463.402265716495
1999-04-26,1454.9979505006092
1999-04-27,1440.3611697591464
1999-04-28,1467.3273322071752
1999-04-29,1485.4716407135038
1999-04-30,1510.9412020361463
1999-05-03,1546.6987630569308
1999-05-04,1540.4325929056527
1999-05-05,1535.848333759695
1999-05-06,1556.4248455064446
1999-05-07,1587.7877595234395
1999-05-10,1620.016204281126
1999-05-11,1612.2410234565398
1999-05-12,1595.3097879769705
1999-05-13,1639.0289281592813
1999-05-14,1595.6126252089773
1999-05-17,1587.1835936492482
1999-05-18,1593.3746196405166
1999-05-19,1555.26752911888
1999-05-20,1559.3033805561454
1999-05-21,1527.24204577409
1999-05-24,1485.6466856367226
1999-05-25,1442.290389685366
1999-05-26,1499.146541155534
1999-05-27,1461.6727853528341
1999-05-28,1464.2506311259483
1999-05-31,1475.606598440885
1999-06-01,1456.2105067752555
1999-06-02,1466.902200285776
1999-06-03,1471.7839141719205
1999-06-04,1493.8752361255176
1999-06-07,1510.1033388132294
1999-06-08,1497.1091004344669
1999-06-09,1485.2226685198282
1999-06-10,1466.5102788068475
1999-06-11,1443.532111786317
1999-06-14,1439.5188078634865
1999-06-15,1456.6633656101621
1999-06-16,1524.0093423069266
1999-06-17,1540.3539353554474
1999-06-18,1536.667396003998
1999-06-21,1560.9862147223935
1999-06-22,1567.429355678342
1999-06-23,1541.9163710799621
1999-06-24,1513.6860739485533
1999-06-25,1477.739830350225
1999-06-28,1508.5553426582815
1999-06-29,1520.9392434149286
1999-06-30,1555.412186714463
1999-07-01,1577.8962979844541
1999-07-02,1597.91682482604
1999-07-05,1609.5288439558137
1999-07-06,1603.6798518326864
1999-07-07,1609.0381607036886
1999-07-08,1593.8968138115367
1999-07-09,1591.5206703539081
1999-07-12,1551.5831008368136
1999-07-13,1570.0347943588934
1999-07-14,1570.7070005040312
1999-07-15,1574.0123587488724
1999-07-16,1584.4691735340093
1999-07-19,1598.079320132585
1999-07-20,1535.5167608233585
1999-07-21,1528.905715479021
1999-07-22,1510.8754180052374
1999-07-23,1472.723492709634
1999-07-26,1410.2739758690961
1999-07-27,1413.058510855692
1999-07-28,1430.9667074927672
1999-07-29,1390.0656064402276
1999-07-30,1390.0865872793386
1999-08-02,1369.0906644413674
1999-08-03,1370.5311364263396
1999-08-04,1349.7979100776101
