Date,BRIC VALUE WEIGHTED
1998-12-31,999.9999999999999
1999-01-01,999.9999999999999
1999-01-04,1000.3443398208306
1999-01-05,1007.7195362468149
1999-01-06,1033.8270357216966
1999-01-07,1017.3594172405313
1999-01-08,1028.5400708143331
1999-01-11,1004.2022791830168
1999-01-12,958.4250952717119
1999-01-13,856.5103347568626
1999-01-14,817.329028885268
1999-01-15,900.5513689671664
1999-01-18,875.68903725141
1999-01-19,893.0748675307607
1999-01-20,918.1518863367838
1999-01-21,863.0690507174085
1999-01-22,844.1889720629893
1999-01-25,819.2809813713295
1999-01-26,836.6698924173968
1999-01-27,830.432678083854
1999-01-28,837.0331632386702
1999-01-29,825.6436752022107
1999-02-01,900.3945939830757
1999-02-02,933.0240083692792
1999-02-03,917.1864214732929
1999-02-04,916.9752408831215
1999-02-05,887.5828849080942
1999-02-08,887.4485257262464
1999-02-09,888.9913572518491
1999-02-10,909.4695940299997
1999-02-11,924.3546193513923
1999-02-12,918.2700242192442
1999-02-15,918.7263794319463
1999-02-16,929.4338110968134
1999-02-17,918.9667821670042
1999-02-18,914.2576825181071
1999-02-19,933.3215996271476
1999-02-22,930.1855139079553
1999-02-23,913.9793444139972
1999-02-24,910.5823729665194
1999-02-25,876.9878873957017
1999-02-26,892.88899581746
1999-03-01,897.209910581965
1999-03-02,896.8002508300161
1999-03-03,908.5569278838843
1999-03-04,942.2531372041611
1999-03-05,973.8507915548487
1999-03-08,982.9735905017667
1999-03-09,1003.7064405791859
1999-03-10,1017.9605455301244
1999-03-11,1005.5419342960483
1999-03-12,991.3385056151515
1999-03-15,1040.0991441673386
1999-03-16,1057.1488156693858
1999-03-17,1049.8948503561483
1999-03-18,1078.4159224574216
1999-03-19,1087.341372958582
1999-03-22,1075.1782291472757
1999-03-23,1067.0263683623912
1999-03-24,1053.568840986378
1999-03-25,1110.5384152577412
1999-03-26,1113.5220403964572
1999-03-29,1123.7106840936567
1999-03-30,1152.843521552304
1999-03-31,1167.4229628876726
1999-04-01,1159.607513658795
1999-04-02,1163.8175951074045
1999-04-05,1172.5274033019557
1999-04-06,1182.8599081730658
1999-04-07,1195.621639948314
1999-04-08,1186.4264099788893
1999-04-09,1169.8227889553484
1999-04-12,1172.7900374352455
1999-04-13,1176.262088024395
1999-04-14,1188.3110129289128
1999-04-15,1201.3909662472533
1999-04-16,1237.8970599904637
1999-04-19,1227.4873973676154
1999-04-20,1178.1408427204467
1999-04-21,1183.2211130221378
1999-04-22,1200.4536307763624
1999-04-23,1203.7768563409088
1999-04-26,1176.2433800896085
1999-04-27,1169.4134721466041
1999-04-28,1205.4812640900518
1999-04-29,1236.090907438726
1999-04-30,1266.626004752759
1999-05-03,1280.130096288433
1999-05-04,1281.5267788117765
1999-05-05,1323.7929389486465
1999-05-06,1355.6143178385687
1999-05-07,1389.1537761247819
1999-05-10,1418.256890517354
1999-05-11,1419.4244112663623
1999-05-12,1378.5676197984142
1999-05-13,1435.0475516575455
1999-05-14,1429.0628316115963
1999-05-17,1427.5413364871406
1999-05-18,1459.667929590037
1999-05-19,1454.1042552481274
1999-05-20,1438.1648429033214
1999-05-21,1400.73818336061
1999-05-24,1352.4437792977162
1999-05-25,1307.2679296762878
1999-05-26,1365.9650099664148
1999-05-27,1331.867604087488
1999-05-28,1311.6452494582877
1999-05-31,1350.7359893464054
1999-06-01,1333.0921491362965
1999-06-02,1348.9464481381956
1999-06-03,1365.9434657769646
1999-06-04,1382.7839785875474
1999-06-07,1376.1024369783534
1999-06-08,1359.6645364336732
1999-06-09,1359.1034023514028
1999-06-10,1355.9579934847152
1999-06-11,1367.7996657096219
1999-06-14,1367.178582644986
1999-06-15,1377.944439773896
1999-06-16,1459.847425806887
1999-06-17,1475.245405998508
1999-06-18,1477.4027273796585
1999-06-21,1496.3576462958495
1999-06-22,1488.568786476112
1999-06-23,1454.14834303263
1999-06-24,1421.1333787645494
1999-06-25,1390.7891798666517
1999-06-28,1414.8106564302714
1999-06-29,1441.6588153137602
1999-06-30,1464.5349156445845
1999-07-01,1468.566607270852
1999-07-02,1504.1078260010797
1999-07-05,1537.6972316506817
1999-07-06,1533.5419882536921
1999-07-07,1555.2871277333672
1999-07-08,1566.4354972197214
1999-07-09,1575.4044786967936
1999-07-12,1599.780716265321
1999-07-13,1611.9929288428543
1999-07-14,1595.5744402759324
1999-07-15,1579.722844543023
1999-07-16,1596.3171420420817
1999-07-19,1607.9357493445289
1999-07-20,1515.9067165504077
1999-07-21,1509.5264177227373
1999-07-22,1514.190087425681
1999-07-23,1490.311187038002
1999-07-26,1434.0876934777564
1999-07-27,1421.7591456886473
1999-07-28,1433.1883031184686
1999-07-29,1389.964619970309
1999-07-30,1396.1185991821771
1999-08-02,1366.0423828415248
1999-08-03,1347.2367187199518
1999-08-04,1329.2383267347252
1999-08-05,1282.7297616888986
1999-08-06,1281.1341726895262
1999-08-09,1291.6476465814537
1999-08-10,1278.022438080233
