Date,RUSSIA IMI VALUE WEIGHTED
1998-12-31,1000.0000000000001
1999-01-01,1000.0000000000001
1999-01-04,996.5560632046511
1999-01-05,1038.2722082928012
1999-01-06,1088.6300196705686
1999-01-07,1091.4289383716211
1999-01-08,1103.030334644459
1999-01-11,1090.7617001819615
1999-01-12,1074.6244702391707
1999-01-13,947.5137354301094
1999-01-14,968.0535704728546
1999-01-15,967.1102313583467
1999-01-18,983.0782059497232
1999-01-19,984.3998787374131
1999-01-20,1009.1719244464972
1999-01-21,1006.60571745079
1999-01-22,982.4991684024944
1999-01-25,948.7321557980827
1999-01-26,980.1120975249755
1999-01-27,996.7408971761747
1999-01-28,1001.1198747725491
1999-01-29,1024.7136396591093
1999-02-01,1020.636513587717
1999-02-02,1034.828210352703
1999-02-03,1053.5539532638716
1999-02-04,1073.6857952006794
1999-02-05,1044.0023589798946
1999-02-08,1068.05664130759
1999-02-09,1101.8216075115736
1999-02-10,1212.1739530892985
1999-02-11,1313.3321189244546
1999-02-12,1259.2738990420303
1999-02-15,1243.0124815470376
1999-02-16,1299.5438589121397
1999-02-17,1304.8273858728253
1999-02-18,1313.4132975601156
1999-02-19,1422.0872527201307
1999-02-22,1571.1061807506933
1999-02-23,1531.57114539984
1999-02-24,1602.30179218114
1999-02-25,1449.389926747871
1999-02-26,1462.3920598325774
1999-03-01,1556.9455169129706
1999-03-02,1641.7318873850454
1999-03-03,1571.043605538925
1999-03-04,1530.2267433148813
1999-03-05,1556.5245379081066
1999-03-08,1552.6628843886322
1999-03-09,1586.2149153376376
1999-03-10,1653.471179392649
1999-03-11,1827.8416772834066
1999-03-12,1797.0315588557503
1999-03-15,1801.1106227072542
1999-03-16,1914.367388132187
1999-03-17,1969.7695280383973
1999-03-18,1958.121097295243
1999-03-19,2007.2692478248819
1999-03-22,1897.3239261823446
1999-03-23,1863.2874364649226
1999-03-24,1695.5784937153826
1999-03-25,1795.8276655994157
1999-03-26,1789.5208158462926
1999-03-29,1828.7380132001033
1999-03-30,1849.3337437461548
1999-03-31,1848.0024608675478
1999-04-01,1782.5627560517385
1999-04-02,1805.1025969707925
1999-04-05,1812.9297715708249
1999-04-06,1711.5054225150443
1999-04-07,1640.318835497842
1999-04-08,1581.1770433520078
1999-04-09,1495.7760972521196
1999-04-12,1554.4605267052427
1999-04-13,1547.996867734808
1999-04-14,1658.7313735497148
1999-04-15,1730.2156234682868
1999-04-16,1830.9505207291577
1999-04-19,1862.962518212928
1999-04-20,1757.0481714137982
1999-04-21,1781.375601869767
1999-04-22,1853.3551371507094
1999-04-23,1876.168234634783
1999-04-26,1921.2807748392438
1999-04-27,1919.133357305575
1999-04-28,1864.7367914116371
1999-04-29,1946.0139699954048
1999-04-30,2074.4422914083752
1999-05-03,2080.372820549608
1999-05-04,2079.4155222925365
1999-05-05,2283.392632303046
1999-05-06,2327.40920129043
1999-05-07,2222.988893647613
1999-05-10,2217.899212091343
1999-05-11,2153.9790183969326
1999-05-12,1771.18644873512
1999-05-13,1884.6943404810684
1999-05-14,1864.2527553862465
1999-05-17,2090.2860825663174
1999-05-18,2248.695451582346
1999-05-19,2172.965559898548
1999-05-20,2160.6860568808825
1999-05-21,2246.5714624835095
1999-05-24,2364.8602355035277
1999-05-25,2278.9202397854137
1999-05-26,2343.187277760405
1999-05-27,2351.3978146263303
1999-05-28,2325.406857576349
1999-05-31,2286.8627588591344
1999-06-01,2272.000699909762
1999-06-02,2236.7085046347347
1999-06-03,2331.663715872186
1999-06-04,2345.633118022272
1999-06-07,2412.9445150335064
1999-06-08,2484.0757159547697
1999-06-09,2533.6124985112215
1999-06-10,2616.174485049118
1999-06-11,2781.3685723452872
1999-06-14,2798.231860959764
1999-06-15,2770.72949773739
1999-06-16,2989.61871116762
1999-06-17,3270.382660612302
1999-06-18,3440.9186146415
1999-06-21,3676.9720291685694
1999-06-22,3557.5766851713447
1999-06-23,3400.794917723682
1999-06-24,3394.660751244555
1999-06-25,3278.2915947724446
1999-06-28,3288.619179079871
1999-06-29,3393.9584780772816
1999-06-30,3471.9984614997393
1999-07-01,3677.3371928729016
1999-07-02,3734.4488117157953
1999-07-05,3890.9303981492108
1999-07-06,4121.426019808537
1999-07-07,4044.5216771457162
1999-07-08,4089.2679089647368
1999-07-09,4000.053900789135
1999-07-12,3939.704488859399
1999-07-13,3754.445575137381
1999-07-14,3863.3641531429835
1999-07-15,3798.545419912197
1999-07-16,3775.74694305411
1999-07-19,3676.301246920294
1999-07-20,3498.741600984435
1999-07-21,3324.30774993368
1999-07-22,3400.464404236126
1999-07-23,3328.9356216920833
1999-07-26,3337.04547424265
1999-07-27,3252.5323948259343
1999-07-28,3208.352043118445
1999-07-29,2894.804815478415
1999-07-30,2971.0668439526153
1999-08-02,2965.3954495177068
1999-08-03,2930.361901487338
1999-08-04,2700.726121719486
1999-08-05,2572.4713809825325
1999-08-06,2628.677705109861
1999-08-09,2578.530294570635
1999-08-10,2585.378727969971
1999-08-11,2671.950613619149
1999-08-12,2745.881068666015
1999-08-13,2730.9321039564543
1999-08-16,2751.3963406108915
1999-08-17,2787.6243409461517
1999-08-18,2762.190507767137
1999-08-19,2745.387412235336
1999-08-20,2756.95523702177
1999-08-23,3054.3069546578577
1999-08-24,3063.1331646458298
1999-08-25,3056.0545944135097
1999-08-26,2957.6035558919903
1999-08-27,2836.809570577767
1999-08-30,2746.0827673823787
1999-08-31,2667.8091468331845
1999-09-01,2684.4118479588083
1999-09-02,2607.480331439861
1999-09-03,2688.6030125251773
1999-09-06,2716.432792195033
1999-09-07,2703.8503436389724
1999-09-08,2633.2462767418883
1999-09-09,2651.8717819854614
1999-09-10,2735.3988036087544
1999-09-13,2564.8737751014473
1999-09-14,2486.605979502188
1999-09-15,2382.8582807518314
1999-09-16,2236.17859709231
1999-09-17,2160.5598912552746
1999-09-20,2068.249974768661
1999-09-21,1979.8344395234817
1999-09-22,2102.6057839445434
1999-09-23,2209.860856397693
1999-09-24,2183.4327295611647
1999-09-27,2280.9331998843027
1999-09-28,2228.620326995004
1999-09-29,2166.1618092525073
1999-09-30,2136.4765102597376
1999-10-01,2164.144527359442
1999-10-04,2231.1730665978716
1999-10-05,2276.6154627527835
1999-10-06,2276.843460307222
1999-10-07,2267.415078831347
1999-10-08,2354.7001444975376
1999-10-11,2449.3069423642437
1999-10-12,2386.1069836341567
1999-10-13,2369.8331095197896
1999-10-14,2434.324397715746
1999-10-15,2291.655929106006
1999-10-18,2231.9889199701365
1999-10-19,2291.440041019117
1999-10-20,2326.614348128413
1999-10-21,2270.933904850529
1999-10-22,2368.1145082628846
1999-10-25,2371.4844146322507
1999-10-26,2382.093786547547
1999-10-27,2355.3444538383033
1999-10-28,2368.7061338776484
1999-10-29,2372.185237800895
1999-11-01,2370.2463674216474
1999-11-02,2377.6715121722427
1999-11-03,2310.003020267653
1999-11-04,2336.7285196960793
1999-11-05,2424.734680609977
1999-11-08,2434.024257440374
1999-11-09,2532.780280539656
1999-11-10,2664.1765637582785
1999-11-11,2719.651442585055
1999-11-12,2723.534391925692
1999-11-15,2750.789858261814
1999-11-16,2815.0600392807446
1999-11-17,2837.8718415249873
1999-11-18,2819.7346961082294
1999-11-19,2971.898751197486
1999-11-22,3090.5069360396624
1999-11-23,3199.115393876928
1999-11-24,3071.9091933544496
1999-11-25,3112.4595515827423
1999-11-26,3118.438455369972
1999-11-29,3072.3465975989693
1999-11-30,2960.8996237005363
1999-12-01,2984.722912345677
1999-12-02,3040.769754070687
1999-12-03,3137.291133456708
1999-12-06,3057.2110466278677
1999-12-07,2903.0022754037063
1999-12-08,2806.7264428523495
1999-12-09,2814.037678840192
1999-12-10,2755.970459928865
1999-12-13,2766.062987570594
1999-12-14,2852.602076826634
1999-12-15,3114.1476840996515
1999-12-16,3024.4257980337557
1999-12-17,3096.1846724371494
1999-12-20,3391.1362009745467
1999-12-21,3670.3437561979927
1999-12-22,3699.4078991781644
1999-12-23,3648.5269969285423
1999-12-24,3771.6794742894017
1999-12-27,3941.0559238329984
1999-12-28,3861.974737423646
1999-12-29,3749.211268929571
1999-12-30,3865.1198679191593
1999-12-31,4576.579806700851
2000-01-03,4510.3028339946495
2000-01-04,4441.9074249762825
2000-01-05,4505.777448696677
2000-01-06,4692.7083598042955
2000-01-07,4727.959512821078
2000-01-10,5090.960717752425
2000-01-11,4793.466291956368
2000-01-12,4864.2269973921875
2000-01-13,5239.503484711895
2000-01-14,5610.2767173977445
2000-01-17,5466.9498665760475
2000-01-18,5355.904510521288
2000-01-19,4970.305638695022
2000-01-20,5302.995839306339
2000-01-21,5549.328452685461
2000-01-24,5367.734991252331
2000-01-25,5052.7160913714515
2000-01-26,5090.869664867696
2000-01-27,5340.582223605001
2000-01-28,5166.179841193571
2000-01-31,4890.6744172603185
2000-02-01,4953.822986232777
2000-02-02,4789.265741573144
2000-02-03,4849.893024588117
2000-02-04,5006.096516036419
2000-02-07,5025.65804168739
2000-02-08,5251.103271818104
2000-02-09,5356.633139104461
2000-02-10,5318.864798326951
2000-02-11,5281.176682644386
2000-02-14,5288.903925646533
2000-02-15,5033.211147686085
2000-02-16,5117.509661781069
2000-02-17,5282.281481704607
2000-02-18,5189.025439991655
2000-02-21,5101.483256403359
2000-02-22,5062.329369881119
2000-02-23,5173.774822504373
2000-02-24,5296.102448692127
2000-02-25,5189.538526569537
2000-02-28,4944.058629450218
2000-02-29,5189.010900065466
2000-03-01,5387.795572216204
2000-03-02,5412.078549668969
2000-03-03,5581.366676089086
2000-03-06,5601.601007743972
2000-03-07,5883.584038302728
2000-03-08,5889.3240833604195
2000-03-09,6238.031771866112
2000-03-10,6677.444464281918
2000-03-13,6230.83994843044
2000-03-14,6604.429955715214
2000-03-15,6545.35377942163
2000-03-16,6510.868007722561
2000-03-17,6465.794349067985
2000-03-20,6371.641037173207
2000-03-21,6304.639161997013
2000-03-22,6664.373030047768
2000-03-23,6823.896651509188
2000-03-24,7062.534413966075
2000-03-27,6910.792599080685
2000-03-28,6610.656105895159
2000-03-29,6846.07747046103
2000-03-30,6546.836986884735
2000-03-31,6757.478879120432
2000-04-03,6552.366300121647
2000-04-04,6612.315081057301
2000-04-05,6145.416665745172
2000-04-06,6393.599048464626
2000-04-07,6353.4830452381775
