Date,CHINA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,977.8830472903168
1999-01-05,972.7132002893077
1999-01-06,988.6817864298238
1999-01-07,998.6210276039137
1999-01-08,999.9815429552001
1999-01-11,989.6153188723595
1999-01-12,969.379238592126
1999-01-13,908.6491741441407
1999-01-14,866.308936767743
1999-01-15,896.0747024360594
1999-01-18,884.5853612537927
1999-01-19,863.2953170712592
1999-01-20,838.2847436093126
1999-01-21,833.799900607866
1999-01-22,803.9889482039756
1999-01-25,790.4412846767939
1999-01-26,793.8274600963276
1999-01-27,822.706687213622
1999-01-28,807.9793108128895
1999-01-29,824.6375301946292
1999-02-01,818.3494331002212
1999-02-02,798.2967182694671
1999-02-03,779.2579758828684
1999-02-04,770.2225178180271
1999-02-05,766.243495849186
1999-02-08,781.4142167168783
1999-02-09,795.6544411181235
1999-02-10,780.31942134649
1999-02-11,777.6758222354349
1999-02-12,786.1950670621518
1999-02-15,793.1380359912323
1999-02-16,793.1797533816166
1999-02-17,793.2465124059645
1999-02-18,793.2131311705544
1999-02-19,776.9041972723343
1999-02-22,773.3101098577253
1999-02-23,774.1305385762618
1999-02-24,780.1833134082057
1999-02-25,780.3203044481762
1999-02-26,803.5320756591893
1999-03-01,807.8872441976753
1999-03-02,772.4314954448311
1999-03-03,801.8229038406471
1999-03-04,788.981725216216
1999-03-05,791.47960337698
1999-03-08,773.9545304536094
1999-03-09,758.7016756599824
1999-03-10,745.1078151659417
1999-03-11,782.4050205003625
1999-03-12,795.5974469457509
1999-03-15,786.132488890715
1999-03-16,776.0887916303151
1999-03-17,796.3978245999025
1999-03-18,826.8771261102069
1999-03-19,844.9159122969163
1999-03-22,922.0299586209742
1999-03-23,953.3889790671907
1999-03-24,932.6921613476476
1999-03-25,916.7553339751646
1999-03-26,884.5672820315773
1999-03-29,888.7714909658722
1999-03-30,881.4124894398517
1999-03-31,890.3950090179251
1999-04-01,900.6366784729573
1999-04-02,903.5058274263711
1999-04-05,900.2423087813431
1999-04-06,901.5022417901836
1999-04-07,929.7875310054972
1999-04-08,954.0757683279061
1999-04-09,1008.43382992075
1999-04-12,1002.6979036368913
1999-04-13,999.1483039386364
1999-04-14,1003.7593644782773
1999-04-15,1048.2864803172433
1999-04-16,1069.6941881064877
1999-04-19,1115.7554071365723
1999-04-20,1160.489229923056
1999-04-21,1148.0813799259522
1999-04-22,1161.915765501961
1999-04-23,1123.6985752516366
1999-04-26,1102.4350824162404
1999-04-27,1110.8926271346104
1999-04-28,1097.7165683699075
1999-04-29,1112.857328456251
1999-04-30,1158.2581439182093
1999-05-03,1154.9779700255956
1999-05-04,1185.6350306147883
1999-05-05,1190.0726296943842
1999-05-06,1269.161077472081
1999-05-07,1290.6086273275505
1999-05-10,1223.969203925954
1999-05-11,1255.0529037387992
1999-05-12,1259.6994154576917
1999-05-13,1266.3053257520444
1999-05-14,1260.8741458351706
1999-05-17,1238.8414623664796
1999-05-18,1243.7654748356642
1999-05-19,1241.9590219134914
1999-05-20,1222.9420510633147
1999-05-21,1200.8244128983217
1999-05-24,1238.0986662657822
1999-05-25,1250.7256970158166
1999-05-26,1238.0855143844872
1999-05-27,1233.3380271891738
1999-05-28,1241.3981678314494
1999-05-31,1320.0330116341813
1999-06-01,1403.7737132303512
1999-06-02,1352.054598196845
1999-06-03,1361.120595452024
1999-06-04,1390.274722483612
1999-06-07,1418.9284120329892
1999-06-08,1412.5370984861256
1999-06-09,1418.8923735801604
1999-06-10,1488.2294599490208
1999-06-11,1552.6348416059009
1999-06-14,1622.069484744504
1999-06-15,1535.0636169993484
1999-06-16,1601.7808651590326
1999-06-17,1659.8355517812338
1999-06-18,1663.9264654748788
1999-06-21,1725.8967950254405
1999-06-22,1760.805714235148
1999-06-23,1831.3553834965671
1999-06-24,1834.8795952191422
1999-06-25,1799.3148762781282
1999-06-28,1929.1128283972635
1999-06-29,2023.3349709855383
1999-06-30,1983.0491338579027
1999-07-01,1955.5229135619193
1999-07-02,1987.7009473909404
1999-07-05,2013.3996390914515
1999-07-06,1882.9054750090684
1999-07-07,1817.788220363503
1999-07-08,1864.6996796808535
1999-07-09,1882.5617159658111
1999-07-12,1861.146568672446
1999-07-13,1797.1636711024
1999-07-14,1734.4808892060882
1999-07-15,1715.341514852926
1999-07-16,1647.0909667876522
1999-07-19,1535.3537571218487
1999-07-20,1608.5941664941763
1999-07-21,1671.6427314717837
1999-07-22,1646.1977264723562
1999-07-23,1675.9623518644378
1999-07-26,1640.8458144401234
1999-07-27,1613.9458243494764
1999-07-28,1650.3835078044149
1999-07-29,1673.4608927668157
1999-07-30,1675.231510606708
1999-08-02,1722.4283920729272
1999-08-03,1724.62451328427
1999-08-04,1699.0713891496268
1999-08-05,1676.4386388233688
1999-08-06,1637.4690196303395
