Date,THAILAND HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1003.7292817679555
1999-01-05,1019.9298245614036
1999-01-06,1022.1795357126109
1999-01-07,1017.2546367853002
1999-01-08,1045.3929401259936
1999-01-11,1049.4431831010513
1999-01-12,1051.2651298969145
1999-01-13,1016.7036611437004
1999-01-14,997.3194953934484
1999-01-15,989.4659016231371
1999-01-18,990.0242326343058
1999-01-19,997.6064731844414
1999-01-20,998.3528584347337
1999-01-21,975.8786838625332
1999-01-22,962.0770816949306
1999-01-25,922.8845327187935
1999-01-26,945.816901677932
1999-01-27,927.502747508404
1999-01-28,937.7964776847524
1999-01-29,981.0762961247863
1999-02-01,979.0268334154777
1999-02-02,941.5587781038857
1999-02-03,929.390389593365
1999-02-04,948.3713397924678
1999-02-05,941.119373582237
1999-02-08,951.364594555639
1999-02-09,963.6954003531664
1999-02-10,955.0183083253598
1999-02-11,954.5022053728723
1999-02-12,963.605721531983
1999-02-15,967.404085800629
1999-02-16,963.8667198314229
1999-02-17,961.3411120181848
1999-02-18,930.8722418680716
1999-02-19,936.2253531559271
1999-02-22,931.0986535994357
1999-02-23,947.9349934701124
1999-02-24,932.9093016442479
1999-02-25,900.7045691068889
1999-02-26,936.9248987528133
1999-03-01,937.4272713526808
1999-03-02,915.2235729615228
1999-03-03,889.9496696629922
1999-03-04,865.8534702140124
1999-03-05,871.7910711310459
1999-03-08,888.7243785506294
1999-03-09,869.1401006916402
1999-03-10,859.9319128480872
1999-03-11,866.2078851908278
1999-03-12,877.3838170238421
1999-03-15,880.0399906556678
1999-03-16,896.5006377920863
1999-03-17,881.8045201908232
1999-03-18,887.962564832248
1999-03-19,855.667074221893
1999-03-22,880.3860226620272
1999-03-23,878.4594321823419
1999-03-24,878.0695564126697
1999-03-25,888.6404853647633
1999-03-26,888.1925929270415
1999-03-29,887.1182023436966
1999-03-30,874.0376894301635
1999-03-31,900.0147075119769
1999-04-01,817.9548140844014
1999-04-02,820.4935894091125
1999-04-05,810.0426255007922
1999-04-06,808.0084185374674
1999-04-07,844.512801142737
1999-04-08,830.4685603232799
1999-04-09,823.1766276930894
1999-04-12,802.5962790548687
1999-04-13,803.9733084369083
1999-04-14,809.7442187992098
1999-04-15,810.606221959608
1999-04-16,850.1845348190404
1999-04-19,855.9885194336347
1999-04-20,851.4714627383078
1999-04-21,837.7795828181193
1999-04-22,860.6875678805991
1999-04-23,856.3369850946069
1999-04-26,851.2618094764617
1999-04-27,858.7169739767135
1999-04-28,872.6196083578692
1999-04-29,876.3761663214792
1999-04-30,982.4798456649988
1999-05-03,986.4666433614616
1999-05-04,1019.9274962072498
1999-05-05,1019.6505301526106
1999-05-06,1010.8347716287757
1999-05-07,990.3160074808861
1999-05-10,997.0939128325467
1999-05-11,986.9382970929693
1999-05-12,993.4636030838589
1999-05-13,978.8470448150349
1999-05-14,984.9964601387478
1999-05-17,971.4417433229609
1999-05-18,977.1775528205891
1999-05-19,972.5621661548969
1999-05-20,963.4073256511357
1999-05-21,951.1211319835089
1999-05-24,946.6922548938624
1999-05-25,939.7581358691233
1999-05-26,921.5878258869118
1999-05-27,933.292050405898
1999-05-28,908.5586170410513
1999-05-31,909.7832546162513
1999-06-01,930.0493589268791
1999-06-02,933.258878878393
1999-06-03,925.1178115593237
1999-06-04,935.5515438453095
1999-06-07,933.5904195768479
1999-06-08,943.616685337864
1999-06-09,961.6164956501138
1999-06-10,957.3156644528339
1999-06-11,970.493646035917
1999-06-14,1002.0313642638683
1999-06-15,1016.1421607296538
1999-06-16,1013.6179244041825
1999-06-17,1028.9127877657627
1999-06-18,1031.555392810404
1999-06-21,1032.9114264776808
1999-06-22,1055.8587977728637
1999-06-23,1051.8472495649055
1999-06-24,1062.9844354727948
1999-06-25,1046.4863113454949
1999-06-28,1018.9075478506993
1999-06-29,1032.3868728817515
1999-06-30,1045.2100777463656
1999-07-01,1047.0557353136978
1999-07-02,1021.6508072804389
1999-07-05,1033.9386702833667
1999-07-06,1023.8545763472094
1999-07-07,1002.6705144251674
1999-07-08,996.649523086588
1999-07-09,993.145794672917
1999-07-12,1000.329396113791
1999-07-13,963.9100129099733
1999-07-14,975.9786051747452
1999-07-15,974.7924752262876
1999-07-16,968.9006812195892
1999-07-19,966.3664415403721
1999-07-20,972.5183055407396
1999-07-21,972.3053377801826
1999-07-22,959.4746060753099
1999-07-23,944.1162234530893
1999-07-26,921.7777380566067
1999-07-27,899.1930709123644
1999-07-28,905.0201625019141
1999-07-29,921.1589031523511
1999-07-30,928.2387841752147
1999-08-02,932.8273341918284
1999-08-03,963.7197596889553
1999-08-04,961.2001271382286
1999-08-05,938.8546550010244
1999-08-06,934.1950223011827
1999-08-09,923.7320816399358
1999-08-10,923.7536521596412
1999-08-11,898.7049897259111
