Date,INDONESIA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0000000000002
1999-01-04,997.5988738015881
1999-01-05,1067.4228528626377
1999-01-06,1166.6167672480437
1999-01-07,1246.71782534323
1999-01-08,1169.738629517312
1999-01-11,1122.9466999288868
1999-01-12,1106.2083261065554
1999-01-13,997.525196678337
1999-01-14,951.67766367478
1999-01-15,940.8734317138696
1999-01-18,949.2491595926281
1999-01-19,949.2491595926278
1999-01-20,943.6488695655328
1999-01-21,919.2441574215965
1999-01-22,893.5669463204347
1999-01-25,821.7107377448167
1999-01-26,876.1442234077531
1999-01-27,913.0027373091192
1999-01-28,904.4082405692116
1999-01-29,944.0462987194694
1999-02-01,935.4702699446165
1999-02-02,926.8097005141989
1999-02-03,961.9154566260883
1999-02-04,927.8290623282805
1999-02-05,904.9909346128889
1999-02-08,862.1732209873047
1999-02-09,890.1208309792347
1999-02-10,908.9889596774783
1999-02-11,904.699212197877
1999-02-12,893.754320965515
1999-02-15,896.0585560788859
1999-02-16,888.4789105127453
1999-02-17,885.8308779787915
1999-02-18,892.9396901560523
1999-02-19,892.2900756975307
1999-02-22,875.766341864224
1999-02-23,887.3957033566581
1999-02-24,901.4697523292178
1999-02-25,893.6685344452134
1999-02-26,884.3838802106421
1999-03-01,889.8769690338561
1999-03-02,901.8645932628841
1999-03-03,933.9217686044306
1999-03-04,929.5128100582709
1999-03-05,913.0224682338032
1999-03-08,890.0971000561776
1999-03-09,879.2735213894434
1999-03-10,860.25004748798
1999-03-11,839.991659098068
1999-03-12,862.5794394479276
1999-03-15,890.0494614345201
1999-03-16,918.583588900004
1999-03-17,922.5992821241518
1999-03-18,922.5992821241516
1999-03-19,940.1309047464446
1999-03-22,927.8285017460458
1999-03-23,931.6740073455162
1999-03-24,925.5472308300988
1999-03-25,923.9442821607536
1999-03-26,921.3468040024223
1999-03-29,921.098163261436
1999-03-30,933.6721530990393
1999-03-31,939.0535487941347
1999-04-01,950.7416330984219
1999-04-02,956.2853160902496
1999-04-05,945.4024210247846
1999-04-06,960.649767936174
1999-04-07,977.3925061829271
1999-04-08,980.0011636299851
1999-04-09,1005.8056474606425
1999-04-12,1052.7981278593554
1999-04-13,1089.0047332081642
1999-04-14,1092.313718551301
1999-04-15,1101.29764379485
1999-04-16,1177.331725441345
1999-04-19,1282.7465653211857
1999-04-20,1216.530657781891
1999-04-21,1207.436329460226
1999-04-22,1184.9384878849974
1999-04-23,1190.2357764464766
1999-04-26,1186.3094547903377
1999-04-27,1186.4087583063038
1999-04-28,1218.7944188515194
1999-04-29,1283.9773374718525
1999-04-30,1309.2988678417037
1999-05-03,1391.0717415954646
1999-05-04,1478.8763057936196
1999-05-05,1530.4412179574113
1999-05-06,1608.9293324096259
1999-05-07,1586.3951045051026
1999-05-10,1620.1703103195337
1999-05-11,1596.2677356135289
1999-05-12,1545.4927436442156
1999-05-13,1550.454197074855
1999-05-14,1624.0094210516922
1999-05-17,1602.9373682630237
1999-05-18,1567.2483960418087
1999-05-19,1543.2247884199423
1999-05-20,1498.8434900709299
1999-05-21,1521.9861962519378
1999-05-24,1535.2648355301696
1999-05-25,1593.019121808142
1999-05-26,1510.7260224251963
1999-05-27,1514.7532065785642
1999-05-28,1473.7611698834385
1999-05-31,1448.4597301088259
1999-06-01,1448.737548755279
1999-06-02,1420.5152906564977
1999-06-03,1436.8863089610054
1999-06-04,1561.8750451557412
1999-06-07,1618.2676966894105
1999-06-08,1836.8999419008383
1999-06-09,1780.6072310493776
1999-06-10,1753.2230290380219
1999-06-11,1768.525512426431
1999-06-14,1819.8503871860567
1999-06-15,1838.1738568539818
1999-06-16,1796.2131354291294
1999-06-17,1882.0041680006063
1999-06-18,1908.106032193597
1999-06-21,2001.8332722362902
1999-06-22,2027.2106526470295
1999-06-23,1993.3319928007388
1999-06-24,1928.7797890755091
1999-06-25,1856.496320405895
1999-06-28,1940.3832885676984
1999-06-29,1916.007211638114
1999-06-30,1823.8472096836308
1999-07-01,1838.7506951077648
1999-07-02,1836.8703165740192
1999-07-05,1877.2110902292795
1999-07-06,1978.3327853488513
1999-07-07,1920.4605531275906
1999-07-08,1909.5643987098601
1999-07-09,1910.0170896934264
1999-07-12,1905.0941871968525
1999-07-13,1863.8307974634708
1999-07-14,1869.44955297715
1999-07-15,1892.9650504561546
1999-07-16,1876.7093040315178
1999-07-19,1845.8416468273965
