Date,MEXICO HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,978.0519604484758
1999-01-05,950.7297545950723
1999-01-06,944.097427565079
1999-01-07,931.8864937676473
1999-01-08,919.0369780643772
1999-01-11,896.6195954459929
1999-01-12,844.3759368978953
1999-01-13,763.9487487367237
1999-01-14,773.4924246994289
1999-01-15,865.537629802777
1999-01-18,874.7488326339401
1999-01-19,858.486140926766
1999-01-20,904.4270543697751
1999-01-21,888.8556069938935
1999-01-22,877.6133026321301
1999-01-25,877.4149278956857
1999-01-26,901.1411080846436
1999-01-27,924.1453374597919
1999-01-28,969.0519005633652
1999-01-29,974.482940770831
1999-02-01,997.8366932444495
1999-02-02,994.8300538103412
1999-02-03,1000.4819356680316
1999-02-04,1001.8956873065482
1999-02-05,1003.6372492164429
1999-02-08,1007.0789256102786
1999-02-09,992.8366781631911
1999-02-10,993.1566524333756
1999-02-11,1041.6187789469952
1999-02-12,1036.86997880482
1999-02-15,1036.3008971150805
1999-02-16,1051.321187765791
1999-02-17,1036.3787577029
1999-02-18,1035.200456592504
1999-02-19,1053.4479230345396
1999-02-22,1073.4793807207577
1999-02-23,1068.317453845499
1999-02-24,1082.3935063892618
1999-02-25,1090.0132944896563
1999-02-26,1087.0210564931788
1999-03-01,1078.2572829401886
1999-03-02,1069.2957877955089
1999-03-03,1055.61152878718
1999-03-04,1086.9470141826864
1999-03-05,1115.6211720686586
1999-03-08,1163.9216294223554
1999-03-09,1190.5535742989082
1999-03-10,1240.6161977964605
1999-03-11,1232.8814013141614
1999-03-12,1236.535860774789
1999-03-15,1253.695426213762
1999-03-16,1286.4171075024724
1999-03-17,1277.1709774034157
1999-03-18,1278.0973147928971
1999-03-19,1244.8056465173481
1999-03-22,1230.112471171184
1999-03-23,1208.666735921287
1999-03-24,1260.252217991751
1999-03-25,1273.8703503907846
1999-03-26,1266.8857638587613
1999-03-29,1310.3025597535693
1999-03-30,1324.8808690002772
1999-03-31,1341.273433925047
1999-04-01,1339.724944444235
1999-04-02,1342.9667828158517
1999-04-05,1405.8520555546866
1999-04-06,1409.230899060899
1999-04-07,1403.0604131629543
1999-04-08,1422.891440227397
1999-04-09,1426.6958893369342
1999-04-12,1457.5097598496222
1999-04-13,1443.844286307096
1999-04-14,1445.3567419475417
1999-04-15,1507.7139864309986
1999-04-16,1517.4113280272697
1999-04-19,1510.1760477209166
1999-04-20,1491.4395810351325
1999-04-21,1497.0951584866411
1999-04-22,1530.2954965889105
1999-04-23,1527.2716116628835
1999-04-26,1489.035769545111
1999-04-27,1474.7279704562545
1999-04-28,1507.7443247790804
1999-04-29,1520.7241848529357
1999-04-30,1496.7694953873986
1999-05-03,1525.4008082833132
1999-05-04,1499.2719541853098
1999-05-05,1499.2719541853098
1999-05-06,1562.4505451665593
1999-05-07,1614.3620095682795
1999-05-10,1632.664129045119
1999-05-11,1614.5806498472493
1999-05-12,1561.0704249967966
1999-05-13,1616.7944511832275
1999-05-14,1568.0151313467793
1999-05-17,1559.7681203948111
1999-05-18,1569.8489208587803
1999-05-19,1531.6126850296992
1999-05-20,1547.4345345215308
1999-05-21,1492.491481128546
1999-05-24,1459.358686310094
1999-05-25,1402.5897843606595
1999-05-26,1480.447426278663
1999-05-27,1402.324293913536
1999-05-28,1407.7500753932552
1999-05-31,1422.1062844967994
1999-06-01,1419.9187652992634
1999-06-02,1417.1791554806325
1999-06-03,1403.362238226738
1999-06-04,1419.9488323223552
1999-06-07,1440.132249771374
1999-06-08,1421.1833202912524
1999-06-09,1401.7731456145136
1999-06-10,1386.811375020322
1999-06-11,1349.3479864800609
1999-06-14,1317.4008601378941
1999-06-15,1368.5824217924755
1999-06-16,1466.2783990496685
1999-06-17,1487.348591313412
1999-06-18,1506.65509307586
1999-06-21,1543.9182415424018
1999-06-22,1542.6361679021884
1999-06-23,1500.3029902650885
1999-06-24,1472.0291687498413
1999-06-25,1451.8572774444012
1999-06-28,1484.7696166343023
1999-06-29,1508.9953592124994
1999-06-30,1567.1693700241924
1999-07-01,1578.8887548153928
1999-07-02,1594.477845358227
1999-07-05,1621.289244789576
1999-07-06,1611.5920002404278
1999-07-07,1603.6844594438232
1999-07-08,1583.1039969613125
1999-07-09,1586.293096629402
1999-07-12,1541.711277156843
1999-07-13,1574.1808916250627
1999-07-14,1586.7113435430826
1999-07-15,1590.656429732182
1999-07-16,1600.651266896549
1999-07-19,1632.982428714321
1999-07-20,1595.7033604127087
1999-07-21,1608.7271254099219
1999-07-22,1563.7432174715425
1999-07-23,1503.0560143000232
1999-07-26,1458.9169813740652
1999-07-27,1455.1146215848248
1999-07-28,1469.9454996251477
1999-07-29,1408.210652277244
1999-07-30,1396.2116123454066
1999-08-02,1354.0665631508991
1999-08-03,1374.0094163173148
1999-08-04,1355.4414453909828
