Date,KOREA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1075.885459453243
1999-01-05,1124.350753536722
1999-01-06,1187.41510287249
1999-01-07,1209.7654706585984
1999-01-08,1168.8177398843786
1999-01-11,1186.9793934990753
1999-01-12,1174.328905534467
1999-01-13,1160.8780753454942
1999-01-14,1075.176484504108
1999-01-15,1098.3093636640456
1999-01-18,1116.451564256633
1999-01-19,1106.7109952156557
1999-01-20,1100.0051534102017
1999-01-21,1037.3786436102919
1999-01-22,979.4345875721871
1999-01-25,964.4977488721838
1999-01-26,959.5568151595495
1999-01-27,999.8390513663709
1999-01-28,1013.6810118375845
1999-01-29,1015.2930053473589
1999-02-01,1034.7426269280031
1999-02-02,1021.0955085886268
1999-02-03,1004.2457900121364
1999-02-04,999.150886376465
1999-02-05,996.0193057770447
1999-02-08,980.3121291261691
1999-02-09,940.7029515403377
1999-02-10,946.3579441108822
1999-02-11,944.1460632979152
1999-02-12,974.2800679991605
1999-02-15,974.2800679991605
1999-02-16,974.7361139884368
1999-02-17,974.7361139884368
1999-02-18,953.7554158328065
1999-02-19,910.9055598014596
1999-02-22,895.1791117121832
1999-02-23,890.8706140403634
1999-02-24,886.6158755527882
1999-02-25,879.0491871252856
1999-02-26,906.7344891868588
1999-03-01,910.0817452995256
1999-03-02,939.8496739650814
1999-03-03,931.7120639078119
1999-03-04,924.3863590904754
1999-03-05,926.6095181072665
1999-03-08,960.4453966661902
1999-03-09,950.0321513181124
1999-03-10,946.378036169186
1999-03-11,965.8742785088388
1999-03-12,989.2292187846267
1999-03-15,998.5687105722486
1999-03-16,1011.1201748286354
1999-03-17,1005.6923019398413
1999-03-18,986.4114605736147
1999-03-19,1018.2933422435332
1999-03-22,1025.5961011006818
1999-03-23,1026.4108663644558
1999-03-24,1035.748384905355
1999-03-25,1039.8041132393698
1999-03-26,1040.3702796729149
1999-03-29,1033.0682205929295
1999-03-30,1067.2930301746196
1999-03-31,1059.5733857154166
1999-04-01,1086.6910412482775
1999-04-02,1112.8355218780177
1999-04-05,1111.383800039449
1999-04-06,1151.300947150537
1999-04-07,1159.092337923718
1999-04-08,1158.1326953697246
1999-04-09,1157.0213173587592
1999-04-12,1154.2107460142834
1999-04-13,1164.1398138651375
1999-04-14,1180.529096963089
1999-04-15,1234.4884364131728
1999-04-16,1233.106922595849
1999-04-19,1326.3598721048982
1999-04-20,1373.084010515033
1999-04-21,1330.0413876852515
1999-04-22,1317.8859856763142
1999-04-23,1340.0881253225987
1999-04-26,1392.839180876036
1999-04-27,1421.0458716994979
1999-04-28,1435.6463217553944
1999-04-29,1377.7475763430034
1999-04-30,1359.5526827211702
1999-05-03,1379.914789155518
1999-05-04,1402.648547670919
1999-05-05,1401.185016214668
1999-05-06,1467.1408507330402
1999-05-07,1460.7553124556475
1999-05-10,1484.5397170651422
1999-05-11,1424.521884072756
1999-05-12,1389.4309819718633
1999-05-13,1329.5317090997034
1999-05-14,1308.5574627889364
1999-05-17,1268.866232271669
1999-05-18,1291.2132681170588
1999-05-19,1304.6064773409817
1999-05-20,1267.1789376067154
1999-05-21,1276.202532190579
1999-05-24,1255.8239903109466
1999-05-25,1280.8382496374143
1999-05-26,1322.0383506798328
1999-05-27,1343.161308173365
1999-05-28,1349.7630596681959
1999-05-31,1354.3709763369382
1999-06-01,1419.8120575650594
1999-06-02,1451.5162637513558
1999-06-03,1463.6520245606118
1999-06-04,1511.1120545899976
1999-06-07,1572.2591504619518
1999-06-08,1574.985112668932
1999-06-09,1491.9012135370501
1999-06-10,1585.470681402895
1999-06-11,1584.8864903846622
1999-06-14,1530.1948548268756
1999-06-15,1522.4493746799799
1999-06-16,1596.2758260713492
1999-06-17,1595.452749254563
1999-06-18,1613.7927516938464
1999-06-21,1700.5977490195196
1999-06-22,1725.105846800455
1999-06-23,1736.4562095347544
1999-06-24,1710.0965550775845
1999-06-25,1713.534944519441
1999-06-28,1779.3193118881356
1999-06-29,1772.8830520711983
1999-06-30,1752.086501188233
1999-07-01,1828.745301080481
1999-07-02,1866.8887774992713
1999-07-05,1901.2097689732984
1999-07-06,1948.4658512962258
1999-07-07,1967.228573408406
1999-07-08,1909.6649721647582
1999-07-09,1937.3676405189772
1999-07-12,1888.9852068982707
1999-07-13,1880.0898674357109
1999-07-14,1810.0270099473585
1999-07-15,1837.7701343944382
1999-07-16,1897.7308342886529
1999-07-19,1906.1358577074498
1999-07-20,1852.1980207398385
1999-07-21,1763.6572206658159
1999-07-22,1759.2488841893007
1999-07-23,1656.7205389257233
1999-07-26,1611.6400352403555
1999-07-27,1689.879903271708
1999-07-28,1709.5220884183543
1999-07-29,1795.173837932123
1999-07-30,1770.7093269859772
1999-08-02,1741.334307654947
1999-08-03,1763.3960316077896
1999-08-04,1757.9767023582965
1999-08-05,1724.003983409418
