Date,CHINA ALL SHARES HIGH DIVIDEND YIELD
2009-11-30,1000.0
2009-12-01,1017.0590620995325
2009-12-02,1032.1777210206935
2009-12-03,1050.4356328296608
2009-12-04,1042.8173137053248
2009-12-07,1040.013723756396
2009-12-08,1033.9064189035937
2009-12-09,1017.9518728311976
2009-12-10,1015.1617195474548
2009-12-11,1021.0045512693209
2009-12-14,1039.2538354791232
2009-12-15,1028.8283565782792
2009-12-16,1018.9691603000186
2009-12-17,993.4804397865897
2009-12-18,980.045921524696
2009-12-21,977.2448033806598
2009-12-22,978.688077333171
2009-12-23,989.8754538091991
2009-12-24,999.2585434331426
2009-12-25,999.4992359753019
2009-12-28,1008.1789766028735
2009-12-29,1008.2243526027254
2009-12-30,1009.2004764776425
2009-12-31,1025.2636459211888
2010-01-01,1025.2636459211888
2010-01-04,1025.745010529994
2010-01-05,1052.840064341022
2010-01-06,1062.3158341395892
2010-01-07,1061.6437714448814
2010-01-08,1055.4789956150832
2010-01-11,1068.2283802087802
2010-01-12,1072.4164646315394
2010-01-13,1043.7410924477033
2010-01-14,1048.9334031168505
2010-01-15,1044.8319288332705
2010-01-18,1039.955916945037
2010-01-19,1053.137775961987
2010-01-20,1032.9355688540472
2010-01-21,1010.6650562682903
2010-01-22,999.029139279075
2010-01-25,991.3749401164416
2010-01-26,961.8111770514352
2010-01-27,953.2951334899321
2010-01-28,960.5191703983801
2010-01-29,951.4839537582287
2010-02-01,950.5161411401106
2010-02-02,954.7926658195157
2010-02-03,981.0796251305209
2010-02-04,960.4781165572481
2010-02-05,926.713028840186
2010-02-08,920.1172096846711
2010-02-09,933.5106407118844
2010-02-10,944.2761084867883
2010-02-11,955.133300377281
2010-02-12,955.2616934090298
2010-02-15,955.1517527874885
2010-02-16,955.271689554407
2010-02-17,963.8924247549693
2010-02-18,960.5973702066328
2010-02-19,939.8594897562608
2010-02-22,954.2535847886669
2010-02-23,965.5033773269614
2010-02-24,963.8691588921239
2010-02-25,962.0447538989134
2010-02-26,969.9320620035779
2010-03-01,993.4230133485981
2010-03-02,994.8822687826573
2010-03-03,1002.0163230718506
2010-03-04,986.6266231079675
2010-03-05,995.0146214565705
2010-03-08,1006.3399670807551
2010-03-09,1003.401254165716
2010-03-10,999.6719712075644
2010-03-11,997.6280129403317
2010-03-12,998.0187483445452
2010-03-15,984.7938168988725
2010-03-16,982.3427386068851
2010-03-17,998.5709357496249
2010-03-18,999.9976186087628
2010-03-19,1001.4062793085692
2010-03-22,989.0461471561407
2010-03-23,988.6164053154957
2010-03-24,987.0382587333371
2010-03-25,977.9781593423872
2010-03-26,988.6198615709452
2010-03-29,998.86477297654
2010-03-30,1005.2154219075197
2010-03-31,997.5558419827718
2010-04-01,1018.3999542314281
2010-04-02,1019.9103402172896
2010-04-05,1020.0344611180072
2010-04-06,1020.0931565756149
2010-04-07,1039.440688669906
2010-04-08,1032.1132611609858
2010-04-09,1040.972442104642
2010-04-12,1033.067849776424
2010-04-13,1031.9067057723867
2010-04-14,1028.7007884917068
2010-04-15,1027.8908827092275
2010-04-16,1015.125457131799
2010-04-19,982.6263993471782
