Date,BRAZIL HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,991.1272512116343
1999-01-05,997.9123621342698
1999-01-06,1007.5742740953417
1999-01-07,963.3027331947029
1999-01-08,951.7736515573313
1999-01-11,922.2355342724715
1999-01-12,866.8889062602897
1999-01-13,777.5081301585544
1999-01-14,756.3608343991538
1999-01-15,862.6111251626085
1999-01-18,803.3728222091793
1999-01-19,836.5808415721666
1999-01-20,860.3883830829434
1999-01-21,772.2450038325255
1999-01-22,745.2002711378328
1999-01-25,711.89523108698
1999-01-26,738.1872086374381
1999-01-27,718.498926229615
1999-01-28,724.9544942506477
1999-01-29,722.1210673603042
1999-02-01,819.3508622418981
1999-02-02,871.0714282902422
1999-02-03,847.1742000989825
1999-02-04,840.3737090009627
1999-02-05,838.3691283274626
1999-02-08,818.117088037968
1999-02-09,817.424817462641
1999-02-10,829.1360764115168
1999-02-11,822.6100562348477
1999-02-12,825.9939016412092
1999-02-15,825.9939016412092
1999-02-16,825.9939016412092
1999-02-17,805.5359513056674
1999-02-18,791.1570214758401
1999-02-19,781.8695581846235
1999-02-22,758.8285126703373
1999-02-23,741.6799907850788
1999-02-24,729.4843933501076
1999-02-25,714.3574567327448
1999-02-26,731.400717335028
1999-03-01,696.9599618946277
1999-03-02,699.8503456865542
1999-03-03,715.7996592612477
1999-03-04,757.6933776082141
1999-03-05,793.8122797225597
1999-03-08,798.8596927051128
1999-03-09,819.1559054048598
1999-03-10,830.7992208387944
1999-03-11,790.9306171618357
1999-03-12,785.3305274920425
1999-03-15,843.7146803958108
1999-03-16,856.9389687469081
1999-03-17,852.285964330703
1999-03-18,899.6387547126975
1999-03-19,899.4557809284904
1999-03-22,880.4057823937911
1999-03-23,862.5217876770347
1999-03-24,862.4810548888464
1999-03-25,917.6770229976074
1999-03-26,934.4266943763614
1999-03-29,945.7154566555829
1999-03-30,988.4459800925947
1999-03-31,1013.665962191933
1999-04-01,1013.665962191933
1999-04-02,1013.665962191933
1999-04-05,1037.0331078243507
1999-04-06,1069.600582065043
1999-04-07,1082.9616444353176
1999-04-08,1073.588198280949
1999-04-09,1059.6893950249776
1999-04-12,1071.279669926059
1999-04-13,1078.2515660069557
1999-04-14,1096.7644133647523
1999-04-15,1145.4696116639268
1999-04-16,1174.2092374080771
1999-04-19,1146.2657807712355
1999-04-20,1103.1392255459048
1999-04-21,1103.1392255459048
1999-04-22,1128.426512660399
1999-04-23,1140.221168087947
1999-04-26,1115.2284041378289
1999-04-27,1111.9995631786262
1999-04-28,1170.0314500555673
1999-04-29,1184.1857648589169
1999-04-30,1193.8911241735127
1999-05-03,1185.5550555844832
1999-05-04,1173.768849731213
1999-05-05,1220.1495487679772
1999-05-06,1258.8776751943496
1999-05-07,1285.3926400343769
1999-05-10,1316.7933908473967
1999-05-11,1295.1589693038875
1999-05-12,1267.1546715345348
1999-05-13,1298.6174881953687
1999-05-14,1305.5464081410194
1999-05-17,1276.7110282131998
1999-05-18,1300.4031690382708
1999-05-19,1298.699337087086
1999-05-20,1267.1697650942688
1999-05-21,1215.847084998205
1999-05-24,1150.0816853116016
1999-05-25,1097.1680767620737
1999-05-26,1167.8667801324316
1999-05-27,1132.4223675793057
1999-05-28,1139.9470295841365
1999-05-31,1157.584508831416
1999-06-01,1138.2830914347444
1999-06-02,1143.4300348582224
1999-06-03,1149.2453921398471
1999-06-04,1173.2482467909188
1999-06-07,1167.8810076132256
1999-06-08,1162.9464875228177
1999-06-09,1158.819422249546
1999-06-10,1168.30786674983
1999-06-11,1187.4481799999387
1999-06-14,1183.538653569395
1999-06-15,1205.2051698673208
1999-06-16,1252.1051412818397
1999-06-17,1264.673472395063
1999-06-18,1271.6901623952103
1999-06-21,1272.467743163684
1999-06-22,1253.08849757213
1999-06-23,1233.0921883044384
1999-06-24,1205.1718007521877
1999-06-25,1186.4666821965516
1999-06-28,1195.8413063210874
1999-06-29,1213.4560070376147
1999-06-30,1249.896467220346
1999-07-01,1253.2102265651627
1999-07-02,1267.3525696141437
1999-07-05,1267.0237491168389
1999-07-06,1257.177466215224
1999-07-07,1274.629905976396
1999-07-08,1239.996637228482
1999-07-09,1242.7552504369994
1999-07-12,1195.6943580151487
1999-07-13,1196.5328466811102
1999-07-14,1217.7502206778436
1999-07-15,1231.9308985810935
1999-07-16,1240.1330531011608
1999-07-19,1255.2826742736618
1999-07-20,1216.86681954529
1999-07-21,1237.4476479408484
1999-07-22,1229.3894219532278
1999-07-23,1215.005193620845
1999-07-26,1166.3625665578686
1999-07-27,1160.5110382297687
1999-07-28,1172.6590465708446
1999-07-29,1164.9810026085456
1999-07-30,1144.9459871492738
1999-08-02,1119.1117844241667
1999-08-03,1111.2784188096584
1999-08-04,1110.8259764105264
1999-08-05,1096.8725594493703
1999-08-06,1097.8043951150453
