Date,PORTUGAL SMALL GROWTH
1998-12-31,323.21025255002434
1999-01-01,323.3642024713176
1999-01-04,331.9498556741623
1999-01-05,338.9314478305982
1999-01-06,350.6190522822613
1999-01-07,344.311689290362
1999-01-08,344.22449462957184
1999-01-11,341.1539546015137
1999-01-12,338.1626637360389
1999-01-13,329.2273770749071
1999-01-14,329.66968611367065
1999-01-15,336.6557281791104
1999-01-18,339.03760718424945
1999-01-19,338.20570084034165
1999-01-20,341.1647221613108
1999-01-21,340.33953397642404
1999-01-22,333.27984115677776
1999-01-25,333.0287077510903
1999-01-26,332.90188709057827
1999-01-27,328.3056726498546
1999-01-28,329.32531048742305
1999-01-29,327.49344447245807
1999-02-01,329.87775219375783
1999-02-02,330.0791830277624
1999-02-03,329.68989159357176
1999-02-04,328.23781849071696
1999-02-05,328.8040666174668
1999-02-08,328.0345711978632
1999-02-09,324.7400333568433
1999-02-10,323.13233602134125
1999-02-11,324.2114944258905
1999-02-12,324.4486979451265
1999-02-15,324.7313635959301
1999-02-16,324.7313623953519
1999-02-17,324.6656326994792
1999-02-18,324.3093772542758
1999-02-19,323.61941176890565
1999-02-22,323.9857655130887
1999-02-23,322.57691497312453
1999-02-24,320.3531780465319
1999-02-25,318.76528659298447
1999-02-26,317.86366988463243
1999-03-01,320.1001093578859
1999-03-02,316.22778054904336
1999-03-03,313.13548767005767
1999-03-04,306.1762644958616
1999-03-05,310.5671832798474
1999-03-08,308.9667624710414
1999-03-09,302.6936617327775
1999-03-10,294.3571135989901
1999-03-11,300.0285754703937
1999-03-12,302.4391496983237
1999-03-15,300.07837797892773
1999-03-16,294.9926861403587
1999-03-17,287.9634988252605
1999-03-18,283.16701036914174
1999-03-19,283.2309856557237
1999-03-22,292.1079390007902
1999-03-23,294.7643507411425
1999-03-24,291.3347009177202
1999-03-25,295.10139173678874
1999-03-26,295.9314171507692
1999-03-29,295.8982422658135
1999-03-30,295.03356474817633
1999-03-31,294.1433495192573
1999-04-01,298.67848144386517
1999-04-02,298.67848160161475
1999-04-05,298.6784828328156
1999-04-06,301.4522039429953
1999-04-07,302.42888719388475
1999-04-08,302.63496493981137
1999-04-09,303.1083337904608
1999-04-12,297.7995140982411
1999-04-13,298.24867113020275
1999-04-14,296.6513010515777
1999-04-15,294.9393315654854
1999-04-16,293.1959657276782
1999-04-19,286.05361959225917
1999-04-20,278.1261856718014
1999-04-21,276.6272605821746
1999-04-22,281.99085805371243
1999-04-23,281.6743167252114
1999-04-26,280.0120363171748
1999-04-27,281.7250297110251
1999-04-28,284.7398685976279
1999-04-29,282.3845241904908
1999-04-30,280.2185574979205
1999-05-03,277.82394949312805
1999-05-04,271.48655395894053
1999-05-05,262.1230140126318
1999-05-06,262.7180562237841
1999-05-07,271.88874996819334
1999-05-10,281.72681093606764
1999-05-11,280.92667185771745
1999-05-12,279.85067183236595
1999-05-13,280.6806008166875
1999-05-14,279.0577626761946
1999-05-17,270.91490123612937
1999-05-18,274.61584509196825
1999-05-19,277.7154435515693
1999-05-20,278.10036789690014
1999-05-21,276.8424067329879
1999-05-24,275.4169989823195
1999-05-25,274.92290616155776
1999-05-26,275.1061005256627
1999-05-27,275.8333072382526
1999-05-28,278.0582602222817
1999-05-31,279.08802166688594
1999-06-01,278.55485635354796
1999-06-02,276.04996574400855
1999-06-03,276.04996626891716
1999-06-04,277.0917267124786
1999-06-07,280.7225483879849
1999-06-08,281.930383789725
1999-06-09,281.83116195436173
