Date,NEW ZEALAND SMALL GROWTH
1998-12-31,176.84100328323208
1999-01-01,176.84100328323208
1999-01-04,176.86042074236641
1999-01-05,180.23706887623123
1999-01-06,182.73305914906857
1999-01-07,186.754232057391
1999-01-08,186.87600443646326
1999-01-11,188.55189711656396
1999-01-12,186.299573192378
1999-01-13,181.52877558431115
1999-01-14,180.51354138345212
1999-01-15,180.93698529061314
1999-01-18,182.01332115978178
1999-01-19,184.77816789436633
1999-01-20,190.55186919968997
1999-01-21,191.74758547443707
1999-01-22,187.83037463847126
1999-01-25,187.59706237414227
1999-01-26,187.7007446073501
1999-01-27,189.26063950686074
1999-01-28,189.56454458732136
1999-01-29,195.6799662896945
1999-02-01,199.1439162563227
1999-02-02,198.573246699215
1999-02-03,198.75505588596286
1999-02-04,201.3459246291591
1999-02-05,202.1770759308072
1999-02-08,204.9408220252652
1999-02-09,201.51469181577423
1999-02-10,197.58210790381835
1999-02-11,200.67430617082397
1999-02-12,200.1053837603309
1999-02-15,198.7892196658924
1999-02-16,197.25273941302615
1999-02-17,197.0174353717971
1999-02-18,196.87238989557218
1999-02-19,201.7206730884327
1999-02-22,202.90004970268055
1999-02-23,203.109892116593
1999-02-24,200.8954041067814
1999-02-25,196.38988850163406
1999-02-26,196.43567691064615
1999-03-01,197.0097254830353
1999-03-02,198.56851232246296
1999-03-03,198.49351963569717
1999-03-04,198.74993776552415
1999-03-05,200.78619023199295
1999-03-08,201.09025185721217
1999-03-09,200.79570224599738
1999-03-10,200.9107652232685
1999-03-11,202.18411109856464
1999-03-12,201.18043919606365
1999-03-15,201.03087056257752
1999-03-16,200.82563368389927
1999-03-17,198.90978990995245
1999-03-18,201.24734636622782
1999-03-19,203.37196431264437
1999-03-22,204.02045703284023
1999-03-23,206.81391699593075
1999-03-24,204.74528219508824
1999-03-25,206.5579467047358
1999-03-26,208.09550196371532
1999-03-29,208.0367987729953
1999-03-30,206.85410946432793
1999-03-31,208.36595702087686
1999-04-01,209.1507589507477
1999-04-02,208.4252983693409
1999-04-05,209.34503111337466
1999-04-06,206.05181591670168
1999-04-07,204.2172706316792
1999-04-08,204.22449778392783
1999-04-09,209.76135641414973
1999-04-12,210.83596727138874
1999-04-13,210.5891313339839
1999-04-14,209.6846603946975
1999-04-15,211.14098705328732
1999-04-16,213.77203964983673
1999-04-19,215.97366921752445
1999-04-20,213.5533749469525
1999-04-21,212.84480707890788
1999-04-22,216.1106032678298
1999-04-23,215.12336003181818
1999-04-26,213.85396917537815
1999-04-27,214.46874058612258
1999-04-28,215.42680246124922
1999-04-29,218.84422718830683
1999-04-30,220.3797593536658
1999-05-03,220.2040840410974
1999-05-04,221.99072270794807
1999-05-05,219.24729490259693
1999-05-06,219.96224775769005
1999-05-07,217.4862979371822
1999-05-10,216.89431359427383
1999-05-11,215.54031588912903
1999-05-12,214.4489675958967
1999-05-13,215.98022432082493
1999-05-14,216.15654072207778
1999-05-17,215.10841129308173
1999-05-18,215.5032357875224
1999-05-19,210.78775212135236
1999-05-20,210.39050912035208
1999-05-21,209.52520256473144
1999-05-24,210.51501231891547
1999-05-25,207.51791883070064
1999-05-26,205.3737559959145
1999-05-27,206.6552551463355
1999-05-28,205.2991029792532
1999-05-31,203.52925547734307
1999-06-01,201.8205466647913
1999-06-02,202.65773366487164
1999-06-03,202.18942467473465
1999-06-04,206.89827521156877
1999-06-07,206.42802031628338
1999-06-08,204.22179490707614
