Date,SINGAPORE SMALL GROWTH
1998-12-31,244.41964990923685
1999-01-01,244.48819017426317
1999-01-04,246.60907445842196
1999-01-05,245.45625923767648
1999-01-06,257.88230712280347
1999-01-07,260.03516255053813
1999-01-08,270.2627080586851
1999-01-11,270.4120925125883
1999-01-12,271.90998512051203
1999-01-13,261.00293478228303
1999-01-14,258.92273599440466
1999-01-15,262.2784273045142
1999-01-18,264.45428823363113
1999-01-19,264.3413336962126
1999-01-20,264.65263131633174
1999-01-21,260.79180217248927
1999-01-22,256.0547441755852
1999-01-25,242.19691633958456
1999-01-26,247.76940586852925
1999-01-27,252.18813817224114
1999-01-28,250.9528565649651
1999-01-29,253.1710632238845
1999-02-01,250.53928437082223
1999-02-02,248.28289334644182
1999-02-03,244.5983364900498
1999-02-04,249.7297346409358
1999-02-05,246.33979928160923
1999-02-08,240.94611907598787
1999-02-09,238.5612742853513
1999-02-10,236.82844477050523
1999-02-11,247.03483008033675
1999-02-12,246.44566026270056
1999-02-15,249.05606525725238
1999-02-16,249.64959773351043
1999-02-17,248.510377447033
1999-02-18,244.64080926941043
1999-02-19,250.1173835145806
1999-02-22,249.2523144060649
1999-02-23,248.70518030722093
1999-02-24,249.56131712265602
1999-02-25,248.58689881695364
1999-02-26,253.05409213298543
1999-03-01,252.3250353867696
1999-03-02,251.4596999357758
1999-03-03,249.37074731309428
1999-03-04,253.91343603505524
1999-03-05,256.5483882379296
1999-03-08,256.9204362396591
1999-03-09,255.00057319545286
1999-03-10,257.97553666721586
1999-03-11,260.5315130705683
1999-03-12,258.6077420806514
1999-03-15,258.0010608448761
1999-03-16,256.88233351026474
1999-03-17,252.6186005809355
1999-03-18,251.6134641169286
1999-03-19,253.93347910233692
1999-03-22,255.68505759594072
1999-03-23,255.98863167879983
1999-03-24,253.74292613262236
1999-03-25,258.1991079884272
1999-03-26,262.04836068879575
1999-03-29,262.28234527418493
1999-03-30,264.81043956197254
1999-03-31,264.2099678313188
1999-04-01,271.894027805922
1999-04-02,272.197833692887
1999-04-05,279.92870595090545
1999-04-06,283.9124916484526
1999-04-07,283.63614527990484
1999-04-08,292.6301798141865
1999-04-09,302.6726671253107
1999-04-12,294.82083277078004
1999-04-13,304.849484286466
1999-04-14,317.14903246936524
1999-04-15,324.68794996669715
1999-04-16,332.60709452177844
1999-04-19,346.1348781805065
1999-04-20,339.0941617165461
1999-04-21,349.2942878286117
1999-04-22,350.58254626102837
1999-04-23,348.35884583054485
1999-04-26,353.75645947356884
1999-04-27,354.25269507619686
1999-04-28,347.2787159069008
1999-04-29,344.8319649584482
1999-04-30,359.36523556421054
1999-05-03,369.81734199623446
1999-05-04,375.0666136098944
1999-05-05,384.85986971396284
1999-05-06,390.4511423403094
1999-05-07,373.88402261814366
1999-05-10,370.49232513662474
1999-05-11,376.2510025108605
1999-05-12,373.74250590915415
1999-05-13,377.766113511955
1999-05-14,376.22260358011226
1999-05-17,376.23663919184213
1999-05-18,373.28945136881543
1999-05-19,368.0790481739668
1999-05-20,371.0603031099444
1999-05-21,385.30567098545447
1999-05-24,393.6410954139036
1999-05-25,384.4489111494115
1999-05-26,395.7502368538623
1999-05-27,402.3688217213623
1999-05-28,401.24854557048377
1999-05-31,413.051012356891
1999-06-01,407.2718590619247
1999-06-02,411.15326245996187
1999-06-03,408.0031416752791
1999-06-04,406.03739902505197
1999-06-07,414.01342757179196
1999-06-08,419.72522867193356
