Date,NETHERLANDS SMALL GROWTH
1998-12-31,660.3433808914074
1999-01-01,660.338977270102
1999-01-04,672.8311136270165
1999-01-05,674.8292799050349
1999-01-06,679.9421649490407
1999-01-07,669.9007860314473
1999-01-08,669.9766303011902
1999-01-11,666.4312590875834
1999-01-12,658.5143285366653
1999-01-13,635.5840995739248
1999-01-14,648.6142546842228
1999-01-15,651.7578444813456
1999-01-18,657.744727698517
1999-01-19,654.7429373385513
1999-01-20,656.7399161727457
1999-01-21,653.8898130917595
1999-01-22,648.1738675098912
1999-01-25,648.2643097844322
1999-01-26,648.566546773813
1999-01-27,657.5078270007159
1999-01-28,657.5661622146159
1999-01-29,656.2558556193608
1999-02-01,661.6789022559536
1999-02-02,659.342307958062
1999-02-03,654.0622450140587
1999-02-04,658.42633668732
1999-02-05,661.9793434545294
1999-02-08,664.1561035876377
1999-02-09,654.6140847159165
1999-02-10,650.5447117050127
1999-02-11,646.6902672285692
1999-02-12,650.361499066334
1999-02-15,651.1525440040359
1999-02-16,649.8606455518824
1999-02-17,643.7306668367228
1999-02-18,641.9338433509073
1999-02-19,640.6088924405892
1999-02-22,645.6507495548233
1999-02-23,648.153059306556
1999-02-24,651.6240743197858
1999-02-25,650.714833491357
1999-02-26,649.6594281309401
1999-03-01,650.971672433331
1999-03-02,650.4096799717855
1999-03-03,651.6282865164347
1999-03-04,647.8694642011709
1999-03-05,648.3874236246767
1999-03-08,647.3363277939178
1999-03-09,646.6860647519803
1999-03-10,645.3224394943126
1999-03-11,640.1220049540891
1999-03-12,641.6514569090779
1999-03-15,641.3359997938868
1999-03-16,643.5135352120202
1999-03-17,643.2435532848424
1999-03-18,644.0269415840332
1999-03-19,650.090766089251
1999-03-22,649.3553126732538
1999-03-23,648.1190849247016
1999-03-24,644.6170226213512
1999-03-25,646.5216481883482
1999-03-26,647.9866390925332
1999-03-29,657.5122940254092
1999-03-30,657.1956197398291
1999-03-31,658.1020740309059
1999-04-01,652.729996060446
1999-04-02,652.6422030504732
1999-04-05,652.7927604161833
1999-04-06,655.8811866883503
1999-04-07,656.2303787853839
1999-04-08,654.8368482310441
1999-04-09,657.6272754367294
1999-04-12,657.1272336610546
1999-04-13,663.2265322722094
1999-04-14,665.9254289638399
1999-04-15,667.2226994997159
1999-04-16,670.8597254238807
1999-04-19,675.7349779416429
1999-04-20,667.4798590256232
1999-04-21,672.3243500375182
1999-04-22,680.3040274811875
1999-04-23,677.9409579074161
1999-04-26,680.3567176345205
1999-04-27,683.7447259924598
1999-04-28,679.6399489627996
1999-04-29,679.6775167051876
1999-04-30,679.8208406452268
1999-05-03,679.4201617795311
1999-05-04,679.8607314704594
1999-05-05,684.4534516555124
1999-05-06,682.8793769609183
1999-05-07,685.5180368874866
1999-05-10,682.8828132488717
1999-05-11,680.0092473882942
1999-05-12,678.5784543657885
1999-05-13,678.5783765873017
1999-05-14,677.7389931562928
1999-05-17,671.3780432365982
1999-05-18,674.0426435009371
1999-05-19,677.047334604522
1999-05-20,679.9508944762756
1999-05-21,685.4849800165757
1999-05-24,685.484816853112
1999-05-25,682.4329553934364
1999-05-26,681.068681957827
1999-05-27,679.31433924373
1999-05-28,678.2996055739678
1999-05-31,677.1421834644106
1999-06-01,676.4398300625701
1999-06-02,672.6642401974749
1999-06-03,681.6075264096082
1999-06-04,682.0808147797153
1999-06-07,687.0810826696932
1999-06-08,688.4321474813405
1999-06-09,693.1095725370209
1999-06-10,692.0231934540764
1999-06-11,689.6064319460924
1999-06-14,687.2024291385751
1999-06-15,687.1795634813097
1999-06-16,689.2844716185806
1999-06-17,691.0849364538695
1999-06-18,696.8892503013831
1999-06-21,703.8332231334462
1999-06-22,701.4424173351756
1999-06-23,699.8049683256171
1999-06-24,697.0435470928538
1999-06-25,692.3090913205274
1999-06-28,691.7062528448115
