Date,CANADA SMALL GROWTH
1998-12-31,250.2511480915524
1999-01-01,250.2511480915524
1999-01-04,250.72296344130092
1999-01-05,253.03070921570168
1999-01-06,257.59381115944893
1999-01-07,261.4853522986992
1999-01-08,265.2687569257681
1999-01-11,267.8870013142788
1999-01-12,264.45981499549987
1999-01-13,253.87201698449715
1999-01-14,254.87913705440903
1999-01-15,259.0714540157585
1999-01-18,260.7371873420984
1999-01-19,260.5666736045015
1999-01-20,262.9932849566398
1999-01-21,261.82264395896385
1999-01-22,261.18836137497715
1999-01-25,258.9422742433507
1999-01-26,258.2847231003425
1999-01-27,256.2690654835229
1999-01-28,259.039527475443
1999-01-29,262.6449627460268
1999-02-01,266.4090583165762
1999-02-02,263.9049378180512
1999-02-03,266.0529707446051
1999-02-04,271.4026644096039
1999-02-05,270.96170395432694
1999-02-08,270.5896813119834
1999-02-09,263.26129394326824
1999-02-10,261.50169224358655
1999-02-11,264.87731205497846
1999-02-12,264.24864833464596
1999-02-15,264.8531917199279
1999-02-16,263.16325007671855
1999-02-17,258.17427974262364
1999-02-18,260.4232375075882
1999-02-19,264.5202095552346
1999-02-22,267.05226307998703
1999-02-23,265.0096607622052
1999-02-24,262.95078042684503
1999-02-25,258.0092928811807
1999-02-26,258.1114444248066
1999-03-01,257.82853757745903
1999-03-02,256.98481062955034
1999-03-03,256.0303153999336
1999-03-04,262.04557429734365
1999-03-05,266.5819889409652
1999-03-08,269.6584840879799
1999-03-09,269.01749625060586
1999-03-10,268.74586960176487
1999-03-11,272.8069154808825
1999-03-12,269.7137173441431
1999-03-15,269.49868943080867
1999-03-16,269.9355181219323
1999-03-17,268.4573418005831
1999-03-18,272.8724599765997
1999-03-19,274.2557822287703
1999-03-22,276.79378553189133
1999-03-23,272.88468576689274
1999-03-24,274.67972767148245
1999-03-25,277.10590354313223
1999-03-26,280.2282012436959
1999-03-29,284.9232123151485
1999-03-30,284.07886517317286
1999-03-31,284.3499136867064
1999-04-01,287.16302876785295
1999-04-02,289.10861387509175
1999-04-05,293.847852225649
1999-04-06,289.29014630810354
1999-04-07,287.45891711187414
1999-04-08,288.36101831405716
1999-04-09,292.1585860234368
1999-04-12,293.08497940537103
1999-04-13,297.2833162463491
1999-04-14,296.0850171253482
1999-04-15,299.22774525803754
1999-04-16,302.4231833305037
1999-04-19,304.9189039056143
1999-04-20,303.2892210937097
1999-04-21,305.38871107700635
1999-04-22,307.41244094974667
1999-04-23,308.7134784034015
1999-04-26,309.39907501767266
1999-04-27,310.0102996590234
1999-04-28,314.8288518800159
