Date,SWEDEN SMALL GROWTH
1998-12-31,365.0322795456892
1999-01-01,365.0322795456892
1999-01-04,365.92599541231374
1999-01-05,367.24970423872475
1999-01-06,371.6284525381185
1999-01-07,372.8696519331623
1999-01-08,378.94414616461046
1999-01-11,381.5567610360932
1999-01-12,376.335799372359
1999-01-13,363.3981535756436
1999-01-14,363.14161242227124
1999-01-15,364.73127400578807
1999-01-18,369.92340309703695
1999-01-19,372.6949476759549
1999-01-20,375.45872714343056
1999-01-21,371.6779441351087
1999-01-22,369.46134314038414
1999-01-25,367.69793405097033
1999-01-26,367.1772684650976
1999-01-27,369.00301947642646
1999-01-28,369.18958569231705
1999-01-29,369.50511700418116
1999-02-01,377.00134071018215
1999-02-02,374.5445204290423
1999-02-03,369.76741499140576
1999-02-04,373.61693142981693
1999-02-05,376.97564612271526
1999-02-08,370.53458089089474
1999-02-09,365.5821907126987
1999-02-10,362.6176844914557
1999-02-11,365.48656574428503
1999-02-12,370.760146369268
1999-02-15,371.6034328017531
1999-02-16,372.0734568546952
1999-02-17,367.6468889688473
1999-02-18,366.06694312371917
1999-02-19,369.0568745384574
1999-02-22,373.4532621942059
1999-02-23,374.0852602350449
1999-02-24,375.2869100308436
1999-02-25,370.78140103199496
1999-02-26,369.9202663237781
1999-03-01,372.9910941450844
1999-03-02,375.8052868150689
1999-03-03,377.35764563678816
1999-03-04,380.03687883305054
1999-03-05,385.11383917695485
1999-03-08,386.0096431915904
1999-03-09,387.4516110951784
1999-03-10,384.92804836550647
1999-03-11,387.204726055468
1999-03-12,385.7888107182903
1999-03-15,383.5610395278683
1999-03-16,378.0430431008597
1999-03-17,374.9767458240139
1999-03-18,369.50067465595987
1999-03-19,373.5309497931762
1999-03-22,369.5471860319652
1999-03-23,370.22901021678933
1999-03-24,363.83863318737315
1999-03-25,369.26630243710946
1999-03-26,375.1203632708583
1999-03-29,377.26567558768727
1999-03-30,374.8984506864477
1999-03-31,378.9179971351603
1999-04-01,379.3700624202776
1999-04-02,379.4523630952737
1999-04-05,379.7760812238661
1999-04-06,380.4935898811914
1999-04-07,380.89945797296247
1999-04-08,383.8772685450202
1999-04-09,386.6332808642106
1999-04-12,382.5230132295133
1999-04-13,384.8778088112413
1999-04-14,384.3761946308961
1999-04-15,385.7773070416958
1999-04-16,388.5854140841601
1999-04-19,391.4188345970439
1999-04-20,384.5287887885609
1999-04-21,387.02915241075993
1999-04-22,389.1608236345142
1999-04-23,390.8631439763366
1999-04-26,394.47815787171834
1999-04-27,396.4512582760647
1999-04-28,395.6415349429638
1999-04-29,400.2131946853654
1999-04-30,402.9316691739284
1999-05-03,403.5571603923832
1999-05-04,403.99691066885515
1999-05-05,400.13329781141965
1999-05-06,397.37710099049156
1999-05-07,397.47445927004446
1999-05-10,400.4506434370986
1999-05-11,401.80508015772745
1999-05-12,403.3285762746268
1999-05-13,403.1531916370529
1999-05-14,403.3810990128867
1999-05-17,399.1838989323234
1999-05-18,399.5448636048171
1999-05-19,403.8965579022893
1999-05-20,409.9315196279902
1999-05-21,417.10151112036925
1999-05-24,416.86258903104476
1999-05-25,410.77643519776655
1999-05-26,410.08479587138
1999-05-27,410.00054918221116
1999-05-28,410.948086857877
1999-05-31,413.002893986189
1999-06-01,410.9741908109589
1999-06-02,412.32617682100516
1999-06-03,413.4911935775217
1999-06-04,417.105001913265
1999-06-07,417.13824223944954
1999-06-08,415.7612033922053
1999-06-09,412.62963817173795
1999-06-10,412.44779844866235
1999-06-11,416.1204466235539
1999-06-14,418.89998056020005
1999-06-15,418.36016543242374
1999-06-16,421.81377917300193
1999-06-17,425.75678729467637
1999-06-18,428.2240629251788
1999-06-21,430.7418722026977
1999-06-22,429.208296247565
1999-06-23,425.7744078001241
1999-06-24,423.65737066553123
1999-06-25,421.9895104639204
1999-06-28,422.9798944519789
1999-06-29,424.3182623130329
1999-06-30,424.3432485776754
1999-07-01,428.5398685277819
1999-07-02,429.48211854922704
1999-07-05,433.3106400355876
