Date,USA SMALL CAP VALUE WEIGHTED
1998-12-31,999.9999999999999
1999-01-01,999.9999999999999
1999-01-04,997.3974450968525
1999-01-05,1001.5924358926248
1999-01-06,1021.3154601443614
1999-01-07,1025.632862798087
1999-01-08,1043.1833161845616
1999-01-11,1047.2060350881388
1999-01-12,1034.757050305751
1999-01-13,1012.7325375497746
1999-01-14,1002.1467155925062
1999-01-15,1025.0446427110553
1999-01-18,1024.4259212745653
1999-01-19,1028.5067149552588
1999-01-20,1031.6458477448791
1999-01-21,1018.9856702546339
1999-01-22,1016.3399499026124
1999-01-25,1017.7835270170095
1999-01-26,1019.2772370185411
1999-01-27,1013.4594674778347
1999-01-28,1024.8997795638934
1999-01-29,1036.4883562147625
1999-02-01,1038.2954601246167
1999-02-02,1023.3787783429126
1999-02-03,1027.3074680627644
1999-02-04,1020.9138821359707
1999-02-05,1012.1832039750034
1999-02-08,1014.4900074498463
1999-02-09,995.5792166775815
1999-02-10,982.0430735429644
1999-02-11,993.9249527090697
1999-02-12,979.1434696334727
1999-02-15,982.7597606484496
1999-02-16,982.7472917445951
1999-02-17,963.5069943331455
1999-02-18,968.1041520963846
1999-02-19,981.0302467849663
1999-02-22,995.3730168671973
1999-02-23,1000.7813371716777
1999-02-24,993.4241349981482
1999-02-25,978.7928148805049
1999-02-26,983.6994974172536
1999-03-01,992.0166982416636
1999-03-02,990.8166721843048
1999-03-03,986.9502483261149
1999-03-04,997.9784700589821
1999-03-05,1002.6822560949456
1999-03-08,997.6343764464258
1999-03-09,994.7058186054612
1999-03-10,993.9524782962168
1999-03-11,1006.2007119787785
1999-03-12,992.2888829092398
1999-03-15,993.5146488001019
1999-03-16,992.9687360908183
1999-03-17,983.6133066704233
1999-03-18,988.4046056513982
1999-03-19,986.5956370725927
1999-03-22,982.0576340163528
1999-03-23,963.1912086648185
1999-03-24,962.3931991443764
1999-03-25,982.8510027761596
1999-03-26,999.0880582054996
1999-03-29,1012.3428597263734
1999-03-30,1006.7332694940444
1999-03-31,1000.6677300445335
1999-04-01,999.5564547140143
1999-04-02,1001.7802651346992
1999-04-05,1009.3744882517309
1999-04-06,998.3245243947009
1999-04-07,989.8609882218416
1999-04-08,990.5597759614757
1999-04-09,1010.7611174497425
1999-04-12,1013.5976693261307
1999-04-13,1028.7184253756996
1999-04-14,1036.771503442193
1999-04-15,1054.2154884575916
1999-04-16,1074.0393340266214
1999-04-19,1081.5507679909388
1999-04-20,1075.2067349813742
1999-04-21,1099.0796616183052
1999-04-22,1104.021013631934
1999-04-23,1103.1827947659674
1999-04-26,1108.4830227366044
1999-04-27,1107.9286379355194
1999-04-28,1116.8342257590457
1999-04-29,1122.4200660623414
1999-04-30,1121.5440703999266
1999-05-03,1131.2824122251786
1999-05-04,1127.202839511604
1999-05-05,1121.630737546369
1999-05-06,1112.4590239316651
1999-05-07,1116.364022682654
1999-05-10,1127.0729265725295
1999-05-11,1143.7981274221318
1999-05-12,1151.6030260220427
1999-05-13,1163.5630648966046
1999-05-14,1141.5665926337551
1999-05-17,1137.3117063989455
1999-05-18,1138.3749195173812
1999-05-19,1145.4973319945111
1999-05-20,1156.3316571482428
1999-05-21,1173.047913945169
1999-05-24,1153.6543860487927
1999-05-25,1138.396918958615
1999-05-26,1150.5504045288562
1999-05-27,1146.4833969022563
1999-05-28,1159.7998543387255
1999-05-31,1162.913858838077
1999-06-01,1159.0786652189163
1999-06-02,1165.2563354723675
1999-06-03,1167.4016583548225
1999-06-04,1181.0971759621134
1999-06-07,1188.745844148321
1999-06-08,1167.3205210071778
1999-06-09,1168.57314063575
1999-06-10,1156.1084518483697
1999-06-11,1150.3869270210275
1999-06-14,1149.5757336740078
1999-06-15,1154.8783331451016
1999-06-16,1175.2316819090395
1999-06-17,1178.97761890155
1999-06-18,1174.104576344523
1999-06-21,1189.3388562538582
1999-06-22,1187.7249109091174
1999-06-23,1187.4705915909194
1999-06-24,1176.2623816118598
1999-06-25,1165.7209197738969
1999-06-28,1189.9650585115603
1999-06-29,1204.0241473362962
1999-06-30,1225.2979547618042
1999-07-01,1230.1106884030967
1999-07-02,1237.011521407146
1999-07-05,1235.6814664992255
1999-07-06,1232.3564947416867
1999-07-07,1227.3899889975546
1999-07-08,1234.9844853626885
1999-07-09,1242.3982518579267
1999-07-12,1253.5709520526166
1999-07-13,1245.8858243590269
1999-07-14,1249.234788231908
1999-07-15,1254.9972022194258
1999-07-16,1257.4418219343656
1999-07-19,1256.158804723114
1999-07-20,1212.3174834048086
1999-07-21,1204.5518332263687
1999-07-22,1199.7559431143663
1999-07-23,1195.1457576400524
1999-07-26,1162.854663657565
1999-07-27,1172.5819482071784
1999-07-28,1173.0264730443628
1999-07-29,1150.6164437541677
1999-07-30,1157.9819823659545
1999-08-02,1159.1832848720542
1999-08-03,1146.3683128178886
1999-08-04,1122.5435846955786
1999-08-05,1115.0415121921912
1999-08-06,1113.5759097506918
1999-08-09,1119.242260278201
