Date,AUSTRALIA SMALL CAP VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1003.5534093242353
1999-01-05,1008.5825749841441
1999-01-06,1033.5465380565013
1999-01-07,1056.9621631767493
1999-01-08,1067.8981739430992
1999-01-11,1088.1604819535312
1999-01-12,1093.507321752675
1999-01-13,1057.8475273198746
1999-01-14,1058.9848155716024
1999-01-15,1073.997954294894
1999-01-18,1080.8703675620961
1999-01-19,1092.7459036743203
1999-01-20,1100.7035208373698
1999-01-21,1099.131403459747
1999-01-22,1087.1908009340914
1999-01-25,1080.4195141787127
1999-01-26,1076.9540537051519
1999-01-27,1086.623950615694
1999-01-28,1092.132669096082
1999-01-29,1110.511084253581
1999-02-01,1125.8053770651372
1999-02-02,1128.481859098035
1999-02-03,1140.716660477183
1999-02-04,1158.2488664397742
1999-02-05,1166.7570323170535
1999-02-08,1169.2740159542943
1999-02-09,1157.997901629215
1999-02-10,1143.3148622125461
1999-02-11,1157.1922584926986
1999-02-12,1158.6730565270407
1999-02-15,1161.0334894006724
1999-02-16,1153.0654252407853
1999-02-17,1145.6852129312117
1999-02-18,1156.910934345911
1999-02-19,1183.4044848337533
1999-02-22,1200.2093527185614
1999-02-23,1205.347610619328
1999-02-24,1195.6498802139859
1999-02-25,1167.0469870017841
1999-02-26,1166.8930539696619
1999-03-01,1163.9127398272956
1999-03-02,1171.3466675823115
1999-03-03,1186.8311642241936
1999-03-04,1187.9774163557677
1999-03-05,1200.0614438357184
1999-03-08,1216.0541550758473
1999-03-09,1222.3548879256796
1999-03-10,1213.0383352487968
1999-03-11,1227.358252774701
1999-03-12,1223.9361106597232
1999-03-15,1221.5521392835105
1999-03-16,1209.457740203739
1999-03-17,1197.8587282181802
1999-03-18,1209.612294970846
1999-03-19,1219.1446913474406
1999-03-22,1225.7758271734824
1999-03-23,1239.6627481191408
1999-03-24,1229.3274111856433
1999-03-25,1229.2526652336908
1999-03-26,1243.8411699154765
1999-03-29,1251.5839169569529
1999-03-30,1234.903525464145
1999-03-31,1232.6992685736473
1999-04-01,1239.7415142635891
1999-04-02,1236.2623373551946
1999-04-05,1240.6768565191514
1999-04-06,1235.2141429101514
1999-04-07,1233.152845468917
1999-04-08,1229.0692390094548
1999-04-09,1250.0634693983316
1999-04-12,1243.6379302338241
1999-04-13,1262.5225616532116
1999-04-14,1271.8837398470089
1999-04-15,1278.7992999084918
1999-04-16,1308.4727298807036
1999-04-19,1343.0282782627596
1999-04-20,1326.2033644266455
1999-04-21,1322.2554197507236
1999-04-22,1338.6854386438088
1999-04-23,1332.4045203436456
1999-04-26,1332.5057017007862
1999-04-27,1328.2928492048948
1999-04-28,1333.0174885132462
1999-04-29,1348.7491675109789
1999-04-30,1362.650997803279
1999-05-03,1365.7964596688716
1999-05-04,1362.8378686064968
1999-05-05,1343.8327035693214
1999-05-06,1354.6546330658127
1999-05-07,1343.6699293319998
1999-05-10,1332.4467571913347
1999-05-11,1342.3754155074198
1999-05-12,1347.7100067535546
1999-05-13,1352.6477098050623
1999-05-14,1354.8672004238306
1999-05-17,1340.0920864537472
1999-05-18,1360.180863983509
1999-05-19,1343.4586947579978
1999-05-20,1337.1652677883355
1999-05-21,1345.7335555070745
1999-05-24,1344.8863123957292
1999-05-25,1326.5140134712237
1999-05-26,1317.6392848038183
1999-05-27,1313.354741552243
1999-05-28,1320.0209632880994
1999-05-31,1316.4627513315104
1999-06-01,1299.160137054013
1999-06-02,1302.2269063507595
1999-06-03,1310.71876838502
1999-06-04,1325.6838441600858
1999-06-07,1339.0696046894009
1999-06-08,1332.2547560348462
1999-06-09,1339.1258562592777
1999-06-10,1330.5086691344286
1999-06-11,1334.2744423875567
1999-06-14,1338.5557877393414
1999-06-15,1324.9379746604852
1999-06-16,1336.9694377619282
1999-06-17,1345.2856709690234
1999-06-18,1331.1083281696535
1999-06-21,1329.538987747562
1999-06-22,1341.6200288373773
1999-06-23,1348.3526046353784
1999-06-24,1338.2612318086908
1999-06-25,1324.9913306863918
1999-06-28,1331.9513098251798
1999-06-29,1328.8785652133129
1999-06-30,1349.7564145519314
1999-07-01,1381.3280968234462
1999-07-02,1402.019247833972
1999-07-05,1401.923699767477
1999-07-06,1404.030306531479
1999-07-07,1394.7167176680673
1999-07-08,1409.4772225113302
1999-07-09,1407.7348345769944
1999-07-12,1416.0773647638712
1999-07-13,1405.5551551709073
1999-07-14,1407.6721054792633
1999-07-15,1411.138972610924
1999-07-16,1399.4787263853166
1999-07-19,1398.4881695691283
1999-07-20,1370.5266946642264
1999-07-21,1346.1703829500748
1999-07-22,1351.1234622490376
1999-07-23,1361.1597576635481
1999-07-26,1327.8225931695501
1999-07-27,1325.3523142137558
1999-07-28,1337.2176798579708
1999-07-29,1332.218541853981
1999-07-30,1331.4606925329742
1999-08-02,1319.4062347851504
