Date,MSCI USA Information Technology 20-35 Custom
2013-05-31,1000.0
2013-06-03,1000.6960257356853
2013-06-04,990.8518416361595
2013-06-05,979.3449187655477
2013-06-06,972.5010639075017
2013-06-07,980.7380378586423
2013-06-10,983.5031739903027
2013-06-11,966.4519968932963
2013-06-12,954.5306116593563
2013-06-13,967.9582855707723
2013-06-14,958.074070566685
2013-06-17,968.4446334886106
2013-06-18,972.2431995672686
2013-06-19,961.7988271906537
2013-06-20,956.7396344533819
2013-06-21,952.8638044225562
2013-06-24,942.5625016565093
2013-06-25,950.8376047673157
2013-06-26,961.4835184146871
2013-06-27,966.0729343473225
2013-06-28,962.6500778152846
2013-07-01,966.4990444243919
2013-07-02,967.5117470677017
2013-07-03,977.8734947774146
2013-07-04,982.3034014211968
2013-07-05,995.4043044682326
2013-07-08,990.743386078095
2013-07-09,1001.8178508353933
2013-07-10,1000.9835917319688
2013-07-11,1003.7738555454534
2013-07-12,1005.2253026631848
2013-07-15,1008.6975479297248
2013-07-16,1001.8103311205556
2013-07-17,1006.9396913460703
2013-07-18,1004.0636094831802
2013-07-19,981.2048565206618
2013-07-22,980.8345697121711
2013-07-23,974.2064222966593
2013-07-24,981.5191040296229
2013-07-25,986.511374964571
2013-07-26,985.6820001852868
2013-07-29,985.7657537283836
2013-07-30,994.229105300249
2013-07-31,989.332515655672
2013-08-01,1005.146782503293
2013-08-02,1006.9985633654808
2013-08-05,1012.8986568506913
2013-08-06,1001.349964086668
2013-08-07,998.5637095155275
2013-08-08,997.7407055181092
2013-08-09,996.1876539265979
2013-08-12,1007.1755432203714
2013-08-13,1018.8825673803929
2013-08-14,1015.4171773377345
2013-08-15,998.5425440073527
2013-08-16,992.9831715332034
2013-08-19,990.4879921747761
2013-08-20,985.5168287413051
2013-08-21,988.2024726361423
2013-08-22,995.5447896775536
2013-08-23,998.6675388043874
2013-08-26,997.7499333757561
2013-08-27,975.4671875735338
2013-08-28,982.3248270233323
2013-08-29,996.154030288388
2013-08-30,994.05960551563
2013-09-02,993.8711724858096
2013-09-03,999.7389093446724
2013-09-04,1004.9008608731435
2013-09-05,1013.3916083581964
2013-09-06,1012.3178904562939
2013-09-09,1017.2497248783782
2013-09-10,1022.062366049575
2013-09-11,1015.696775986085
2013-09-12,1014.039931875648
2013-09-13,1017.8010664149269
2013-09-16,1006.5509761169972
2013-09-17,1014.1729286896536
2013-09-18,1027.664061228719
2013-09-19,1014.8765052935291
2013-09-20,1011.5794901974408
2013-09-23,1015.1569459077015
2013-09-24,1013.4732551636878
2013-09-25,1010.4901446132723
2013-09-26,1016.6212937882458
2013-09-27,1006.6938817987384
2013-09-30,1001.1841067018689
2013-10-01,1012.1986275054331
2013-10-02,1007.8522193065057
2013-10-03,994.6358541026545
2013-10-04,1002.5536225830854
2013-10-07,997.0776276384815
2013-10-08,977.4664047997458
2013-10-09,986.093803525772
2013-10-10,1004.0645765797834
2013-10-11,1008.7569958253687
2013-10-14,1012.6457211134907
2013-10-15,1013.2261215369149
2013-10-16,1023.5544646598445
2013-10-17,1009.597677225187
2013-10-18,1025.0036972349167
2013-10-21,1031.3360863310334
2013-10-22,1021.7307439806652
2013-10-23,1014.9043282289812
2013-10-24,1018.2120887157976
2013-10-25,1022.6196819292014
2013-10-28,1024.7982075465354
2013-10-29,1030.7022428090884
2013-10-30,1026.9300844833917
2013-10-31,1037.6481642627891
2013-11-01,1047.202268556851
2013-11-04,1047.9978078408817
2013-11-05,1051.6128418104884
2013-11-06,1056.0890806222744
2013-11-07,1053.3933555442788
2013-11-08,1067.0548842982741
2013-11-11,1062.826260834088
2013-11-12,1063.6834553744852
2013-11-13,1078.4393295584061
2013-11-14,1069.8410435630153
2013-11-15,1071.9215291041537
2013-11-18,1058.691457719569
2013-11-19,1054.71782024296
2013-11-20,1056.429318096936
2013-11-21,1067.539924749936
2013-11-22,1060.6983060994846
2013-11-25,1060.4083308704112
2013-11-26,1060.8094150715003
2013-11-27,1069.8430164287433
2013-11-28,1067.8763209317974
2013-11-29,1071.4521975089892
2013-12-02,1072.8722866479438
2013-12-03,1073.39620180122
2013-12-04,1078.9969215662964
2013-12-05,1068.9444551976867
2013-12-06,1074.5497192155492
2013-12-09,1074.86465376866
2013-12-10,1069.5341457159484
2013-12-11,1058.450948741103
2013-12-12,1055.8148121266963
2013-12-13,1055.992053065134
2013-12-16,1064.516581060255
2013-12-17,1067.5937628116724
2013-12-18,1073.2750192571382
2013-12-19,1081.5156987084679
2013-12-20,1090.552226886663
2013-12-23,1103.1909364028145
2013-12-24,1108.781766902417
2013-12-25,1108.781766902417
2013-12-26,1109.9669598223352
2013-12-27,1100.6810609928868
2013-12-30,1096.4966200556044
2013-12-31,1107.4599942920713
2014-01-01,1107.4599942920713
2014-01-02,1105.3835522473241
2014-01-03,1104.2113326427323
2014-01-06,1099.2753036307456
2014-01-07,1112.7921192101905
2014-01-08,1114.2354990873832
2014-01-09,1109.5277820637693
2014-01-10,1104.977579528493
2014-01-13,1094.675697282295
2014-01-14,1112.693849146753
2014-01-15,1133.370885473187
2014-01-16,1132.381794312387
