Date,USA SMALL CAP MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1009.2552555068486
2001-06-04,1019.4468658519872
2001-06-05,1031.7337179282715
2001-06-06,1023.7734921830653
2001-06-07,1020.8325960776124
2001-06-08,1018.1260084631692
2001-06-11,1024.1934958878228
2001-06-12,1017.356123211043
2001-06-13,1014.8255652180999
2001-06-14,994.131820318953
2001-06-15,986.8813714406266
2001-06-18,981.3949540950911
2001-06-19,983.2587654704989
2001-06-20,997.0017101405454
2001-06-21,1000.360017381658
2001-06-22,982.9898070992763
2001-06-25,968.0927793280548
2001-06-26,982.5760779651475
2001-06-27,993.2538499029694
2001-06-28,1015.8590540883533
2001-06-29,1044.5243560099004
2001-07-02,1027.0594079366163
2001-07-03,1024.6622855583134
2001-07-04,1025.8132511761441
2001-07-05,1034.6532645585314
2001-07-06,1016.1985294655664
2001-07-09,1012.6883834399815
2001-07-10,999.6936711137615
2001-07-11,991.4948535275493
2001-07-12,1017.1455406460199
2001-07-13,1021.6024090750885
2001-07-16,1013.0353569003689
2001-07-17,1027.4621209461718
2001-07-18,1000.5720349911865
2001-07-19,1009.6892095212257
2001-07-20,1006.1691050247243
2001-07-23,1003.2606428576996
2001-07-24,982.5328124936954
2001-07-25,984.6839927485462
2001-07-26,998.4894688274469
2001-07-27,1000.8959201096554
2001-07-30,1002.025656306252
2001-07-31,999.8380028770692
2001-08-01,1000.696688201082
2001-08-02,999.2240958231578
2001-08-03,993.7880346382937
2001-08-06,990.9202260151266
2001-08-07,995.953322222809
2001-08-08,987.3269101552281
2001-08-09,978.0925709957705
2001-08-10,975.3924853176139
2001-08-13,972.4690008134154
2001-08-14,979.2649367415876
2001-08-15,969.49309099553
2001-08-16,976.8672769619345
2001-08-17,966.3865828964113
2001-08-20,976.4089069439785
2001-08-21,968.8213196028637
2001-08-22,966.8566180649087
2001-08-23,968.3669764942165
2001-08-24,974.3096019747092
2001-08-27,971.3138175249187
2001-08-28,964.817982502301
2001-08-29,963.8694627400347
2001-08-30,958.9964320261782
2001-08-31,959.0773619176638
2001-09-03,961.1406903110214
2001-09-04,981.4336496795839
2001-09-05,982.9009849160947
2001-09-06,970.467505485981
2001-09-07,941.7286721351039
2001-09-10,935.5270735061027
2001-09-11,927.2275441455956
2001-09-12,929.0192387320856
2001-09-13,926.3087895604023
2001-09-14,913.9325152701646
2001-09-17,871.1975528126701
2001-09-18,860.6787314839719
2001-09-19,834.7665015145856
2001-09-20,805.9175430839596
2001-09-21,799.4784650044795
2001-09-24,823.1617368772282
2001-09-25,819.6446516247701
