Date,ACWI IMI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,999.9942693161203
1999-01-04,1002.2632574273049
1999-01-05,1008.1348420316095
1999-01-06,1025.72077772937
1999-01-07,1034.5788611886971
1999-01-08,1046.2373619898285
1999-01-11,1054.911954785277
1999-01-12,1041.942885677758
1999-01-13,1010.8715195831982
1999-01-14,1005.9556411118405
1999-01-15,1021.2586948858327
1999-01-18,1026.3044738885687
1999-01-19,1028.0510788731717
1999-01-20,1032.0042282955835
1999-01-21,1023.0102785656227
1999-01-22,1012.4501015639441
1999-01-25,1010.110945411868
1999-01-26,1013.1673358459485
1999-01-27,1017.9545868194787
1999-01-28,1024.1561769799287
1999-01-29,1033.6162820903526
1999-02-01,1043.3817088221883
1999-02-02,1039.5896718816152
1999-02-03,1039.8483527954083
1999-02-04,1040.0111622368106
1999-02-05,1034.142726709449
1999-02-08,1036.0851120188443
1999-02-09,1019.1385541770622
1999-02-10,1013.1811892758449
1999-02-11,1023.958111924683
1999-02-12,1023.670518139246
1999-02-15,1026.463685988185
1999-02-16,1027.1438519684802
1999-02-17,1015.072785946657
1999-02-18,1015.0598665677594
1999-02-19,1023.2982771919957
1999-02-22,1035.5664477210585
1999-02-23,1038.8134535111703
1999-02-24,1036.9791584450575
1999-02-25,1029.4647820693704
1999-02-26,1038.4477527739728
1999-03-01,1042.4281239987765
1999-03-02,1039.8503323048958
1999-03-03,1039.289506950843
1999-03-04,1045.1152454266103
1999-03-05,1056.9746561855586
1999-03-08,1059.4518024947183
1999-03-09,1061.4388938008344
1999-03-10,1064.1438339644656
1999-03-11,1078.177173470951
1999-03-12,1072.679137979048
1999-03-15,1078.6740157628797
1999-03-16,1085.8404932808648
1999-03-17,1079.976111132285
1999-03-18,1082.4363832702181
1999-03-19,1094.451684146092
1999-03-22,1094.7011357962788
1999-03-23,1086.7464985308065
1999-03-24,1080.5746666539744
1999-03-25,1096.1677666536061
1999-03-26,1106.63000797071
1999-03-29,1114.5837332465367
1999-03-30,1109.0408167524286
1999-03-31,1112.0548096667549
1999-04-01,1113.427331079355
1999-04-02,1118.1220643964555
1999-04-05,1126.4775072090445
1999-04-06,1126.0309716103739
1999-04-07,1125.3591765248093
1999-04-08,1130.554086277404
1999-04-09,1141.8183137935684
1999-04-12,1139.4921434619494
1999-04-13,1153.184026727793
1999-04-14,1159.5720026862289
1999-04-15,1173.5442499710866
1999-04-16,1189.9865481406227
1999-04-19,1202.1835998698527
1999-04-20,1194.4290484077083
1999-04-21,1200.399153318489
1999-04-22,1207.3545661436708
1999-04-23,1210.9553537520756
1999-04-26,1221.4446071765622
1999-04-27,1220.1684184688766
1999-04-28,1227.8487876684753
1999-04-29,1233.730199135227
1999-04-30,1239.8366387802291
1999-05-03,1249.1404299421415
1999-05-04,1251.5261766149463
1999-05-05,1246.2214031958156
1999-05-06,1246.4971354937225
1999-05-07,1245.1319227935358
1999-05-10,1251.6658207317953
1999-05-11,1259.4977683452273
1999-05-12,1263.7987846935923
1999-05-13,1267.4030317654904
1999-05-14,1253.9123785418867
1999-05-17,1241.283463830563
1999-05-18,1245.0880888326537
1999-05-19,1244.02409369232
1999-05-20,1248.2300013349968
1999-05-21,1256.1667769684018
1999-05-24,1247.7861495233014
1999-05-25,1234.6704755597214
1999-05-26,1247.9102642676612
1999-05-27,1246.3496983163175
1999-05-28,1249.3808369392868
1999-05-31,1251.705593280577
1999-06-01,1253.0128731587051
1999-06-02,1263.8581519865263
1999-06-03,1266.4313157483855
1999-06-04,1279.541208093563
1999-06-07,1292.5792499410363
1999-06-08,1283.2742106024225
1999-06-09,1286.0739569078721
1999-06-10,1283.9956200430454
1999-06-11,1286.852734358961
1999-06-14,1285.944161290765
1999-06-15,1283.9948039968315
1999-06-16,1303.3268481096231
1999-06-17,1312.7967679829937
1999-06-18,1308.6845341803776
1999-06-21,1324.6080121918305
1999-06-22,1328.4811977243612
1999-06-23,1326.2390484566513
1999-06-24,1317.4845595470717
1999-06-25,1304.269135246684
1999-06-28,1321.0945856581138
1999-06-29,1332.7243965646146
1999-06-30,1344.007332057037
1999-07-01,1361.2309754930566
1999-07-02,1372.290293266056
1999-07-05,1380.822837596307
1999-07-06,1379.1059658833958
1999-07-07,1378.6588617409866
1999-07-08,1383.098103572104
1999-07-09,1386.7110494227722
1999-07-12,1396.9276052247208
1999-07-13,1387.8419241375689
1999-07-14,1389.2199086171008
1999-07-15,1392.6066362348438
1999-07-16,1390.637299244126
1999-07-19,1397.5203830022167
1999-07-20,1364.2949328407592
1999-07-21,1351.4360972621098
1999-07-22,1345.0035565572625
1999-07-23,1338.840856743086
1999-07-26,1308.5880971567583
1999-07-27,1312.567033742779
1999-07-28,1320.82190851933
1999-07-29,1309.2451969377385
1999-07-30,1312.1974467039788
1999-08-02,1311.2437569879382
1999-08-03,1306.820818718746
1999-08-04,1292.7983339454172
1999-08-05,1276.2579329722869
1999-08-06,1272.8695193009855
1999-08-09,1280.1047254075934
1999-08-10,1271.889689647359
1999-08-11,1280.1989909523043
1999-08-12,1289.2442219341945
1999-08-13,1303.6241428345081
1999-08-16,1315.2841441658497
1999-08-17,1323.7178571399857
1999-08-18,1326.6618674626136
1999-08-19,1318.334002891795
1999-08-20,1324.6206491696003
1999-08-23,1342.7245248403135
1999-08-24,1345.5776016233347
1999-08-25,1356.9032942515291
1999-08-26,1355.3906501657796
1999-08-27,1351.0877523486733
1999-08-30,1350.5207663257493
