Date,RUSSIA ESG LEADERS
2007-09-28,1000.0
2007-10-01,990.4761904761905
2007-10-02,1026.6666666666665
2007-10-03,1040.0
2007-10-04,1057.142857142857
2007-10-05,1081.904761904762
2007-10-08,1085.7142857142858
2007-10-09,1089.5238095238096
2007-10-10,1081.904761904762
2007-10-11,1112.3809523809523
2007-10-12,1078.095238095238
2007-10-15,1076.1904761904761
2007-10-16,1038.095238095238
2007-10-17,1015.2380952380952
2007-10-18,1001.9047619047619
2007-10-19,1011.4285714285713
2007-10-22,1001.9047619047618
2007-10-23,1017.142857142857
2007-10-24,1009.5238095238094
2007-10-25,1039.9999999999998
2007-10-26,1062.8571428571424
2007-10-29,1087.6190476190473
2007-10-30,1066.6666666666663
2007-10-31,1093.3333333333328
2007-11-01,1074.2857142857138
2007-11-02,1085.7142857142853
2007-11-05,1078.0952380952376
2007-11-06,1114.2857142857138
2007-11-07,1127.619047619047
2007-11-08,1123.8095238095232
2007-11-09,1112.3809523809516
2007-11-12,1085.7142857142849
2007-11-13,1095.2380952380945
2007-11-14,1125.7142857142849
2007-11-15,1114.2857142857133
2007-11-16,1093.3333333333323
2007-11-19,1106.6666666666656
2007-11-20,1142.8571428571418
2007-11-21,1142.8571428571418
2007-11-22,1156.1904761904752
2007-11-23,1159.999999999999
2007-11-26,1199.999999999999
2007-11-27,1236.1904761904755
2007-11-28,1243.809523809523
2007-11-29,1222.8571428571422
2007-11-30,1232.3809523809516
2007-12-03,1262.857142857142
2007-12-04,1276.1904761904752
2007-12-05,1333.3333333333321
2007-12-06,1339.0476190476177
2007-12-07,1352.3809523809512
2007-12-10,1462.8571428571413
2007-12-11,1434.2857142857129
2007-12-12,1428.571428571427
2007-12-13,1399.9999999999984
2007-12-14,1384.7619047619032
2007-12-17,1371.4285714285697
2007-12-18,1413.3333333333317
2007-12-19,1411.4285714285697
2007-12-20,1394.2857142857129
2007-12-21,1434.2857142857126
2007-12-24,1422.8571428571413
2007-12-25,1422.8571428571413
2007-12-26,1422.8571428571413
2007-12-27,1445.7142857142842
2007-12-28,1453.3333333333314
2007-12-31,1464.761904761903
2008-01-01,1464.761904761903
2008-01-02,1500.952380952379
2008-01-03,1500.952380952379
2008-01-04,1476.1904761904743
2008-01-07,1487.6190476190454
2008-01-08,1539.0476190476168
2008-01-09,1529.5238095238074
2008-01-10,1542.8571428571406
2008-01-11,1579.0476190476168
2008-01-14,1653.333333333331
2008-01-15,1599.9999999999977
2008-01-16,1491.4285714285693
2008-01-17,1439.9999999999977
2008-01-18,1451.4285714285695
2008-01-21,1352.3809523809505
2008-01-22,1337.1428571428553
2008-01-23,1276.1904761904743
2008-01-24,1319.999999999998
2008-01-25,1379.0476190476172
2008-01-28,1323.809523809522
2008-01-29,1319.9999999999982
2008-01-30,1300.9523809523791
2008-01-31,1257.1428571428555
2008-02-01,1302.8571428571413
2008-02-04,1339.0476190476172
2008-02-05,1314.2857142857126
2008-02-06,1300.9523809523791
2008-02-07,1253.3333333333317
2008-02-08,1219.0476190476174
2008-02-11,1264.7619047619032
2008-02-12,1310.4761904761885
2008-02-13,1333.3333333333314
2008-02-14,1358.095238095236
2008-02-15,1363.8095238095216
2008-02-18,1390.4761904761885
2008-02-19,1422.8571428571408
2008-02-20,1419.047619047617
2008-02-21,1457.142857142855
2008-02-22,1466.6666666666645
2008-02-25,1478.0952380952358
2008-02-26,1504.7619047619028
2008-02-27,1489.5238095238076
2008-02-28,1478.095238095236
2008-02-29,1451.4285714285695
2008-03-03,1441.90476190476
2008-03-04,1439.999999999998
2008-03-05,1479.9999999999982
2008-03-06,1502.857142857141
2008-03-07,1491.4285714285695
2008-03-10,1481.9047619047599
2008-03-11,1535.238095238093
2008-03-12,1582.8571428571404
2008-03-13,1539.0476190476168
2008-03-14,1533.333333333331
2008-03-17,1472.38095238095
2008-03-18,1487.6190476190452
2008-03-19,1499.0476190476168
2008-03-20,1420.9523809523785
2008-03-21,1420.9523809523785
2008-03-24,1420.9523809523785
2008-03-25,1493.333333333331
2008-03-26,1523.8095238095214
2008-03-27,1544.761904761902
2008-03-28,1533.3333333333308
2008-03-31,1537.1428571428546
2008-04-01,1542.8571428571402
2008-04-02,1533.3333333333305
2008-04-03,1521.9047619047592
2008-04-04,1495.2380952380925
