Date,AUSTRALIA SMALL CAP QUALITY
1996-12-31,1000.0
1997-01-01,1000.0
1997-01-02,988.1896130982602
1997-01-03,984.248679180845
1997-01-06,975.0043977388668
1997-01-07,965.9999086845492
1997-01-08,958.4882562415615
1997-01-09,953.6153675661453
1997-01-10,954.8444892358035
1997-01-13,955.5564861791266
1997-01-14,956.0303044636695
1997-01-15,960.9583527715941
1997-01-16,965.4045420462628
1997-01-17,970.4821729602967
1997-01-20,969.3060357103209
1997-01-21,959.1827300191064
1997-01-22,955.8119639840888
1997-01-23,945.5289199882241
1997-01-24,935.8661922096142
1997-01-27,934.1702338003288
1997-01-28,923.1232604593499
1997-01-29,930.4979821937392
1997-01-30,930.6666870076243
1997-01-31,930.2254805734536
1997-02-03,933.6638660157937
1997-02-04,926.6303456731533
1997-02-05,931.5503899992287
1997-02-06,937.0926109024175
1997-02-07,937.6084100751679
1997-02-10,933.2390484449596
1997-02-11,938.4014300070784
1997-02-12,939.867703707671
1997-02-13,966.250180153079
1997-02-14,962.5739390587876
1997-02-17,970.859655699297
1997-02-18,970.5245532218721
1997-02-19,967.2766241356425
1997-02-20,972.4503233195142
1997-02-21,985.5550879988532
1997-02-24,988.875492379287
1997-02-25,989.7749670596991
1997-02-26,984.36495142542
1997-02-27,979.3214677417595
1997-02-28,976.2033458160478
1997-03-03,979.4920217035734
1997-03-04,984.1394860276536
1997-03-05,976.4226973432959
1997-03-06,981.7670042512789
1997-03-07,986.5840197028695
1997-03-10,994.3000726640822
1997-03-11,1002.6991297528419
1997-03-12,1000.3800776300566
1997-03-13,993.2053449969222
1997-03-14,997.1033153463899
1997-03-17,994.7546613209363
1997-03-18,976.2114920672873
1997-03-19,964.4509893636528
1997-03-20,970.5477687707847
1997-03-21,967.3243554261646
1997-03-24,966.3941342378214
1997-03-25,957.2085911907869
1997-03-26,960.8460460074053
1997-03-27,971.5158359145764
1997-03-28,974.3730527454742
1997-03-31,973.7519186518005
1997-04-01,956.6798496894476
1997-04-02,955.713621197575
1997-04-03,940.80972295991
1997-04-04,931.3744957664029
1997-04-07,928.7091812480191
1997-04-08,935.4129725907958
1997-04-09,943.5811076451121
1997-04-10,943.5881952176773
1997-04-11,945.2469084380182
1997-04-14,926.5747730658898
1997-04-15,928.411953484641
1997-04-16,921.6477385249
1997-04-17,927.8410254296111
1997-04-18,938.8161734139204
1997-04-21,946.6730239886149
1997-04-22,953.0528124424332
1997-04-23,954.9985567927063
1997-04-24,951.4970929424792
1997-04-25,952.478460407642
1997-04-28,955.5581938598511
1997-04-29,957.6859473807607
1997-04-30,959.896157540533
1997-05-01,961.0046656171837
1997-05-02,960.2713203667348
1997-05-05,951.2117991266408
1997-05-06,951.2429397806186
1997-05-07,943.5914508966916
1997-05-08,946.6082961772356
1997-05-09,958.5225722632154
1997-05-12,965.264583910543
1997-05-13,964.6736674073273
1997-05-14,967.1379149221243
1997-05-15,961.5023153640466
1997-05-16,965.5512763349747
1997-05-19,964.4249114617564
1997-05-20,960.0462619616824
1997-05-21,980.3059505992672
1997-05-22,976.0023344009714
1997-05-23,958.828803420696
1997-05-26,966.167746725998
1997-05-27,964.195431092192
1997-05-28,968.1574564846654
1997-05-29,972.5950804996835
1997-05-30,973.2786551792314
1997-06-02,976.43209154704
1997-06-03,979.9119678417178
1997-06-04,972.6202912184375
1997-06-05,971.5606729839974
1997-06-06,972.9701240179278
1997-06-09,975.1477939683335
1997-06-10,984.6057849758486
1997-06-11,975.8974812252568
1997-06-12,968.6474273603494
1997-06-13,968.5654299363935
1997-06-16,968.3285323292934
1997-06-17,978.4875848831138
1997-06-18,974.3429471593425
1997-06-19,964.9619319966785
1997-06-20,975.2278445288216
1997-06-23,977.4136347111279
1997-06-24,968.2383196976072
1997-06-25,965.1775462038714
1997-06-26,963.207022908971
1997-06-27,960.7836975302296
1997-06-30,966.7327637123792
1997-07-01,971.5108438836913
1997-07-02,978.1848247050154
1997-07-03,978.20490026857
1997-07-04,962.835718916022
1997-07-07,939.6656591682129
1997-07-08,923.9013904826606
1997-07-09,933.173920009822
1997-07-10,931.9791645042883
1997-07-11,938.7436854065679
1997-07-14,931.3405304110213
1997-07-15,921.1015088035776
1997-07-16,921.2801763459412
1997-07-17,930.7827617108165
1997-07-18,935.9246568011082
1997-07-21,932.2029719484057
1997-07-22,929.5830699503551
1997-07-23,934.4326569302413
1997-07-24,923.7133481264685
1997-07-25,932.0869881572269
1997-07-28,940.9448197438796
1997-07-29,955.2878752959998
1997-07-30,963.3851351691067
1997-07-31,964.1240905230908
1997-08-01,956.8942592649742
1997-08-04,950.6179769356378
1997-08-05,950.6491367976413
1997-08-06,946.2412036552516
1997-08-07,940.8172263686218
1997-08-08,934.9504907156796
1997-08-11,931.292879211755
1997-08-12,936.2994620183503
1997-08-13,928.3946789545332
1997-08-14,924.8499485498003
1997-08-15,939.2212094509871
1997-08-18,917.4142646933354
1997-08-19,923.7008202637468
1997-08-20,926.1304308273338
1997-08-21,942.1863102248362
1997-08-22,930.3183474842599
1997-08-25,931.6905089252767
1997-08-26,926.5640622746532
1997-08-27,917.8839731428875
1997-08-28,910.414369324852
1997-08-29,894.4174697044512
1997-09-01,885.9534806610416
1997-09-02,882.9503602842228
1997-09-03,891.7486979657078
1997-09-04,894.2500940176094
1997-09-05,893.5934497993368
1997-09-08,900.8641837781585
1997-09-09,905.1619750161096
1997-09-10,892.973539410718
1997-09-11,879.8888783472032
1997-09-12,873.4942440231243
1997-09-15,876.2788164632058
1997-09-16,871.2327002515502
