Date,KOKUSAI QUALITY
1994-06-30,275.20937407
1994-07-29,284.22402627
1994-08-31,302.83606881
1994-09-30,298.12896149
1994-10-31,309.33774007
1994-11-30,303.01421939
1994-12-30,306.92358906
1995-01-31,309.59213761
1995-02-28,321.54853564
1995-03-31,335.60169676
1995-04-28,345.01164278
1995-05-31,360.25204876
1995-06-30,373.98799839
1995-07-31,386.23777236
1995-08-31,381.26215121
1995-09-29,398.08875348
1995-10-31,405.14031877
1995-11-30,415.50781661
1995-12-29,417.69002311
1996-01-31,433.55501054
1996-02-29,441.49855332
1996-03-29,443.28998951
1996-04-30,452.87500962
1996-05-31,469.78951724
1996-06-28,477.60182626
1996-07-31,465.43457024
1996-08-30,479.53718367
1996-09-30,511.4119761
1996-10-31,523.07984017
1996-11-29,567.97963796
1996-12-31,566.56962901
1997-01-01,566.57343395
1997-01-02,561.81620156
1997-01-03,570.76130505
1997-01-06,571.54354078
1997-01-07,575.05126766
1997-01-08,571.42587514
1997-01-09,572.91163678
1997-01-10,574.16452825
1997-01-13,574.77078491
1997-01-14,582.40691905
1997-01-15,581.34447741
1997-01-16,585.42627666
1997-01-17,588.93295639
1997-01-20,590.31421922
1997-01-21,594.58389575
1997-01-22,598.97356595
1997-01-23,591.52256932
1997-01-24,587.05194649
1997-01-27,582.86404775
1997-01-28,583.53386347
1997-01-29,587.79859061
1997-01-30,597.64508071
1997-01-31,602.71877749
1997-02-03,603.77624168
1997-02-04,605.74887458
1997-02-05,596.3249221
1997-02-06,597.02696575
1997-02-07,603.66606212
1997-02-10,600.69630745
1997-02-11,604.44518476
1997-02-12,613.16810565
1997-02-13,618.12373443
1997-02-14,615.6262785
1997-02-17,615.14102015
1997-02-18,620.30367989
1997-02-19,620.5766342
1997-02-20,614.00860682
1997-02-21,610.95165619
1997-02-24,620.40387809
1997-02-25,621.3562131
1997-02-26,618.73964615
1997-02-27,610.61330315
1997-02-28,607.3530999
1997-03-03,609.37853415
1997-03-04,606.35791536
1997-03-05,613.98205996
1997-03-06,610.36268958
1997-03-07,612.37660873
1997-03-10,619.69203277
1997-03-11,617.75910257
1997-03-12,611.56665338
1997-03-13,602.9436814
1997-03-14,603.10127175
1997-03-17,603.94992971
1997-03-18,600.73771648
1997-03-19,596.70075768
1997-03-20,589.52815683
1997-03-21,587.35188163
1997-03-24,588.07863902
1997-03-25,591.99356248
1997-03-26,597.13664144
1997-03-27,590.13780303
1997-03-28,590.21837706
1997-03-31,579.68894827
1997-04-01,578.89582125
1997-04-02,574.01429079
1997-04-03,573.90367626
1997-04-04,581.3647888
1997-04-07,583.71140494
1997-04-08,585.35133217
1997-04-09,580.85054343
1997-04-10,579.84612688
1997-04-11,568.67328755
1997-04-14,572.38078671
1997-04-15,579.11155194
1997-04-16,588.29286647
1997-04-17,588.12121099
1997-04-18,594.60786567
1997-04-21,592.81345318
1997-04-22,602.2761568
1997-04-23,603.49750969
1997-04-24,604.39587427
1997-04-25,597.84945477
1997-04-28,603.92626534
