Date,EAFE QUALITY
1994-06-30,423.06732915
1994-07-29,441.59330879
1994-08-31,464.15921387
1994-09-30,446.38022279
1994-10-31,464.89884879
1994-11-30,445.09839601
1994-12-30,449.01380785
1995-01-31,437.64987434
1995-02-28,454.43711784
1995-03-31,481.8349999
1995-04-28,490.52489097
1995-05-31,506.90196789
1995-06-30,514.47003557
1995-07-31,538.05262192
1995-08-31,524.92603834
1995-09-29,542.56165968
1995-10-31,539.6819137
1995-11-30,539.93782375
1995-12-29,554.1965187
1996-01-31,557.31829961
1996-02-29,570.19124974
1996-03-29,584.44836984
1996-04-30,589.96262502
1996-05-31,596.16639299
1996-06-28,601.28628939
1996-07-31,588.55791522
1996-08-30,613.62248579
1996-09-30,624.87372793
1996-10-31,642.04917118
1996-11-29,674.93086971
1996-12-31,688.42405962
1997-01-01,688.42405962
1997-01-02,677.52905921
1997-01-03,678.75915254
1997-01-06,679.45829697
1997-01-07,681.21592368
1997-01-08,682.65477286
1997-01-09,683.88427591
1997-01-10,678.01537398
1997-01-13,682.5967927
1997-01-14,687.07854836
1997-01-15,690.15999414
1997-01-16,693.10401098
1997-01-17,690.91356585
1997-01-20,686.76238216
1997-01-21,685.08785885
1997-01-22,687.59149573
1997-01-23,688.5524608
1997-01-24,682.76335834
1997-01-27,678.44140956
1997-01-28,677.90680072
1997-01-29,675.35027559
1997-01-30,678.07176363
1997-01-31,683.86519223
1997-02-03,683.07411996
1997-02-04,684.62606565
1997-02-05,689.39455854
1997-02-06,688.69521059
1997-02-07,689.20262999
1997-02-10,694.52055387
1997-02-11,694.05191608
1997-02-12,691.99086436
1997-02-13,691.15122842
1997-02-14,691.8485782
1997-02-17,690.35497323
1997-02-18,687.86798707
1997-02-19,691.34735463
1997-02-20,692.9206316
1997-02-21,694.20765606
1997-02-24,696.05871145
1997-02-25,699.79421172
1997-02-26,696.62260386
1997-02-27,695.23583166
1997-02-28,690.22216313
1997-03-03,687.25163924
1997-03-04,691.56730811
1997-03-05,690.95851542
1997-03-06,696.01229922
1997-03-07,697.72127504
1997-03-10,702.87875074
1997-03-11,703.61742529
1997-03-12,697.57979731
1997-03-13,694.06917025
1997-03-14,697.35449993
1997-03-17,690.67925099
1997-03-18,689.2492736
1997-03-19,691.10347585
1997-03-20,679.44419128
1997-03-21,683.77739423
1997-03-24,681.16595047
1997-03-25,688.48805047
1997-03-26,694.89740675
1997-03-27,700.33807474
1997-03-28,700.77969736
1997-03-31,703.01270566
1997-04-01,686.73167624
1997-04-02,684.92804294
1997-04-03,680.39963394
1997-04-04,681.85725233
1997-04-07,683.98895412
1997-04-08,683.82053711
1997-04-09,687.69107537
1997-04-10,688.316075
1997-04-11,684.16319603
1997-04-14,679.51526581
1997-04-15,684.62986166
1997-04-16,686.10001207
1997-04-17,689.59403248
1997-04-18,691.66099154
1997-04-21,697.06229877
1997-04-22,697.17575716
1997-04-23,698.65344867
1997-04-24,698.43476388
1997-04-25,692.15439279
1997-04-28,691.95016529
1997-04-29,700.09495574
1997-04-30,701.95078325
1997-05-01,706.22487047
1997-05-02,706.34738363
1997-05-05,710.61633985
1997-05-06,720.51139007
1997-05-07,722.77047722
1997-05-08,723.11372035
1997-05-09,728.37595847
1997-05-12,734.44641463
1997-05-13,738.93328619
1997-05-14,743.05252318
1997-05-15,741.83267762
1997-05-16,744.02533607
1997-05-19,739.06979679
1997-05-20,740.20784267
1997-05-21,747.31517013
1997-05-22,743.95584026
1997-05-23,745.2492423
1997-05-26,747.46807936
1997-05-27,744.88367478
1997-05-28,742.15344109
1997-05-29,742.04853414
1997-05-30,732.60727835
1997-06-02,734.02177372
1997-06-03,735.54887236
1997-06-04,734.72893284
1997-06-05,736.39944958
1997-06-06,743.51125109
1997-06-09,750.999828
1997-06-10,753.03506732
1997-06-11,753.07500114
1997-06-12,755.32506972
1997-06-13,757.85496475
1997-06-16,759.97754651
1997-06-17,754.3595187
1997-06-18,754.75698554
1997-06-19,760.91844992
1997-06-20,763.59722869
1997-06-23,767.44420046
1997-06-24,767.64048289
1997-06-25,774.45578302
1997-06-26,776.75336184
1997-06-27,773.08354113
1997-06-30,768.8790314
1997-07-01,778.82514054
1997-07-02,778.60697949
1997-07-03,794.2382545
1997-07-04,793.84537946
1997-07-07,797.61715488
1997-07-08,795.86704709
1997-07-09,794.69743011
1997-07-10,794.39007722
1997-07-11,797.87305319
1997-07-14,800.74458347
1997-07-15,799.18420747
1997-07-16,807.29072783
1997-07-17,803.65686956
1997-07-18,796.96570462
1997-07-21,790.00833464
1997-07-22,794.72675645
1997-07-23,802.47705339
1997-07-24,796.58667623
1997-07-25,792.18502833
1997-07-28,789.0567763
1997-07-29,788.99192633
1997-07-30,793.17327943
1997-07-31,792.80333595
1997-08-01,786.30205805
1997-08-04,779.31073997
1997-08-05,779.83215817
1997-08-06,784.57020075
1997-08-07,789.96541244
1997-08-08,782.9202236
1997-08-11,781.64179687
1997-08-12,781.55783107
1997-08-13,774.64467591
1997-08-14,771.84049166
1997-08-15,768.31497767
1997-08-18,761.42401654
1997-08-19,765.27288909
1997-08-20,769.21271679
1997-08-21,771.63868324
1997-08-22,763.17119485
1997-08-25,762.77274436
1997-08-26,761.51856247
1997-08-27,761.54999646
1997-08-28,751.52608112
1997-08-29,743.85446647
1997-09-01,746.13403103
1997-09-02,752.48970459
1997-09-03,759.31289952
1997-09-04,757.6817715
1997-09-05,766.91342915
1997-09-08,768.79055371
1997-09-09,769.3141088
1997-09-10,760.63281035
1997-09-11,750.36271339
1997-09-12,754.24364125
1997-09-15,762.48741801
1997-09-16,766.46626224
1997-09-17,775.99351454
1997-09-18,781.09140817
1997-09-19,778.96565835
1997-09-22,782.12320506
1997-09-23,781.89212683
1997-09-24,793.37746555
1997-09-25,795.64105094
1997-09-26,800.00787092
1997-09-29,802.82781685
1997-09-30,807.12062045
1997-10-01,810.85702698
1997-10-02,814.39364296
