Date,NORTH AMERICA QUALITY
1998-11-30,1000.0
1998-12-01,1018.023097223665
1998-12-02,1020.5883061945428
1998-12-03,994.9995356832658
1998-12-04,1018.389646780559
1998-12-07,1025.6593656884686
1998-12-08,1021.9287304806229
1998-12-09,1023.6833530414962
1998-12-10,1006.3882436944381
1998-12-11,1015.5673064295512
1998-12-14,990.1721115754646
1998-12-15,1011.9024994320033
1998-12-16,1008.2024793591066
1998-12-17,1018.3858196583246
1998-12-18,1019.7854683459055
1998-12-21,1030.8342172219895
1998-12-22,1045.2273172483287
1998-12-23,1070.8366774041344
1998-12-24,1065.7288599497674
1998-12-25,1065.7288599497674
1998-12-28,1071.7476155629527
1998-12-29,1092.0324274947402
1998-12-30,1080.8149781565216
1998-12-31,1078.43267921582
1999-01-01,1078.43267921582
1999-01-04,1077.7175238427774
1999-01-05,1088.3565270601798
1999-01-06,1112.784705386834
1999-01-07,1111.5146317483172
1999-01-08,1110.6123224368882
1999-01-11,1104.8844933815064
1999-01-12,1081.83940735714
1999-01-13,1081.5132218914714
1999-01-14,1065.1146354623609
1999-01-15,1089.8728694486067
1999-01-18,1089.8728694486067
1999-01-19,1103.7834544274995
1999-01-20,1106.162332234434
1999-01-21,1078.1248682798712
1999-01-22,1072.800114743593
1999-01-25,1084.141897190368
1999-01-26,1111.7675483480366
1999-01-27,1113.2474212523134
1999-01-28,1141.5545729890625
1999-01-29,1154.1738226607424
1999-02-01,1154.8787527044394
1999-02-02,1146.4593179481449
1999-02-03,1154.044055294025
1999-02-04,1129.1885441042077
1999-02-05,1111.2375008104607
1999-02-08,1115.4035408570314
1999-02-09,1084.4349942653816
1999-02-10,1089.7416259817815
1999-02-11,1119.6159363201414
1999-02-12,1098.2219255137743
1999-02-15,1098.2219255137743
1999-02-16,1103.459520500322
1999-02-17,1086.859662239275
1999-02-18,1095.2920447320992
1999-02-19,1100.531977284705
1999-02-22,1127.7776496601973
1999-02-23,1135.3644753349774
1999-02-24,1116.4601761585434
