Date,EAFE ex JAPAN MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1002.5992700909632
2001-06-04,1005.3771109027244
2001-06-05,1011.6104202608127
2001-06-06,1009.3368091998199
2001-06-07,1009.2987864287812
2001-06-08,1010.7095720128057
2001-06-11,1007.1701505659169
2001-06-12,999.5197927975327
2001-06-13,1004.5699540743996
2001-06-14,998.7515628046015
2001-06-15,992.9234086536096
2001-06-18,987.1659956351745
2001-06-19,989.30716732043
2001-06-20,990.2246982237273
2001-06-21,988.0691576900332
2001-06-22,990.4535635945939
2001-06-25,986.9434226950175
2001-06-26,981.6553879666117
2001-06-27,982.0882708192003
2001-06-28,989.7738572555835
2001-06-29,996.7960490434364
2001-07-02,1000.6000253070757
2001-07-03,995.3994195887777
2001-07-04,995.2521519798593
2001-07-05,996.7343795500759
2001-07-06,982.7383142358988
2001-07-09,979.2182592072612
2001-07-10,975.2041381930766
2001-07-11,969.5619300900933
2001-07-12,975.6440735123605
2001-07-13,978.6813305860179
2001-07-16,975.5744591753449
2001-07-17,972.3196741362652
2001-07-18,962.461975979535
2001-07-19,972.3643577696438
2001-07-20,968.2476504927511
2001-07-23,971.1073997240132
2001-07-24,962.5043539083136
2001-07-25,954.2206322920485
2001-07-26,957.5563900405642
2001-07-27,966.5259164450734
2001-07-30,969.2475400623913
2001-07-31,977.7875870192539
2001-08-01,982.3856918469675
2001-08-02,979.157519581272
2001-08-03,970.984145792432
2001-08-06,972.8569239143319
2001-08-07,974.6246925418494
2001-08-08,969.5648382970628
2001-08-09,956.6465818623017
2001-08-10,952.891870346147
2001-08-13,955.0536806557691
2001-08-14,959.3639203949244
2001-08-15,955.9145219925156
2001-08-16,951.7976613741652
2001-08-17,945.3547114986058
2001-08-20,945.3771376019059
2001-08-21,951.8878239817135
2001-08-22,949.8678444554855
2001-08-23,954.2711396757754
2001-08-24,961.3832718273
2001-08-27,963.2002979113752
2001-08-28,956.8986417694163
2001-08-29,954.3524569946601
2001-08-30,943.9401399922937
2001-08-31,945.0919113438033
2001-09-03,940.542701609821
2001-09-04,950.7729118158037
2001-09-05,945.482428576689
2001-09-06,934.8758608941146
2001-09-07,916.6639738003006
2001-09-10,906.7170181214937
2001-09-11,872.6567922176661
2001-09-12,872.4737577892049
2001-09-13,880.7068606088883
2001-09-14,851.864181419961
2001-09-17,851.6670936750542
2001-09-18,842.9000564656628
2001-09-19,832.7604740465824
2001-09-20,808.207665218675
2001-09-21,785.7088018521018
2001-09-24,809.5394915709392
2001-09-25,812.3328905464112
2001-09-26,821.5760756878426
2001-09-27,834.8036591529582
2001-09-28,858.0468158718583
2001-10-01,849.0750803325047
2001-10-02,857.5516241327324
2001-10-03,858.6926721402624
2001-10-04,875.4087256673732
2001-10-05,873.2831159283794
2001-10-08,869.6077892003417
2001-10-09,868.4397482499619
2001-10-10,880.5785168314414
2001-10-11,889.6808179578774
2001-10-12,887.5105700610918
2001-10-15,879.2219878307033
2001-10-16,881.1567937681222
2001-10-17,892.3664208256956
2001-10-18,884.0564252426482
2001-10-19,875.0593357723259
2001-10-22,882.8179091693213
2001-10-23,892.8682622049475
2001-10-24,891.5831507901645
2001-10-25,880.6791446128648
2001-10-26,892.877962757457
2001-10-29,877.8092696054914
2001-10-30,866.5409918051986
2001-10-31,876.2768688487378
2001-11-01,878.7489666382933
2001-11-02,879.1565302376653
2001-11-05,891.9821315111689
2001-11-06,892.3384460571984
2001-11-07,893.8966487637456
2001-11-08,905.2039004788594
2001-11-09,901.2477343556767
2001-11-12,891.068436499359
2001-11-13,906.4549537089042
2001-11-14,904.7509045348884
2001-11-15,901.4023236767661
2001-11-16,902.2347168607442
2001-11-19,911.0626260495235
2001-11-20,905.8235063973581
2001-11-21,910.3189770548795
2001-11-22,912.4387361041637
2001-11-23,911.0076675561772
2001-11-26,907.6921067279688
2001-11-27,902.7138020728728
2001-11-28,897.3302473686466
2001-11-29,900.0686063582738
2001-11-30,901.6954441293797
2001-12-03,900.0708026099041
2001-12-04,905.5270644055726
2001-12-05,916.1086762557933
2001-12-06,917.2340593340843
2001-12-07,910.6512305824895
2001-12-10,903.9880973029786
2001-12-11,903.227554989073
2001-12-12,897.3448472161139
2001-12-13,889.9777202842542
2001-12-14,883.0957737219627
2001-12-17,891.4811811409103
2001-12-18,894.8484823372402
2001-12-19,893.6784684494085
2001-12-20,894.2015890440496
2001-12-21,907.5465673199816
2001-12-24,913.2573119990351
2001-12-25,913.2573119990351
2001-12-26,914.0825093720384
2001-12-27,922.5806521625605
2001-12-28,931.3252378918156
2001-12-31,928.5686639978314
2002-01-01,928.5686639978314
2002-01-02,916.0843516832269
2002-01-03,922.7824994277715
2002-01-04,925.9555861928252
2002-01-07,922.2899431747705
2002-01-08,919.6044096624133
2002-01-09,919.4647479257532
2002-01-10,915.1285131754931
2002-01-11,919.167200614637
2002-01-14,909.9455223322781
2002-01-15,916.0615245690547
2002-01-16,914.4767693121345
2002-01-17,922.0305266818567
2002-01-18,920.5412248323867
2002-01-21,922.1197066673543
2002-01-22,923.8281676186757
2002-01-23,927.2784892001484
2002-01-24,932.5078242747999
2002-01-25,935.9372204561356
2002-01-28,941.3258385260776
2002-01-29,936.6980392291408
2002-01-30,928.9559281434595
2002-01-31,940.2545752941351
2002-02-01,942.1713024041958
2002-02-04,937.5155273384202
2002-02-05,929.9943207774285
2002-02-06,928.1145354988895
2002-02-07,926.678111669474
2002-02-08,927.4008637559448
2002-02-11,931.4109702076267
2002-02-12,934.0443954283767
2002-02-13,941.6136395278293
2002-02-14,949.9380841496334
2002-02-15,947.7053393075042
2002-02-18,945.3683315887721
2002-02-19,934.6955205506428
2002-02-20,931.8901194159889
2002-02-21,935.4534573442886
2002-02-22,929.1712956512857
2002-02-25,937.0333690511308
2002-02-26,940.43915794303
2002-02-27,950.5923362990541
2002-02-28,950.8762081912081
2002-03-01,953.5291438354993
2002-03-04,960.5932966667168
2002-03-05,958.4294643775847
2002-03-06,955.7627090230626
2002-03-07,957.8586454966864
2002-03-08,960.7621327470587
2002-03-11,959.7302609962047
2002-03-12,958.5906994798593
2002-03-13,957.8847917215301
2002-03-14,958.6895873341879
2002-03-15,962.2543057318858
2002-03-18,965.0880378579374
2002-03-19,966.6747987554072
2002-03-20,963.7219729998889
2002-03-21,962.2274346072727
2002-03-22,966.0259671227479
2002-03-25,964.1623222798655
2002-03-26,963.394690487945
2002-03-27,966.7444381735277
2002-03-28,975.7861231064485
2002-03-29,975.7861231064485
2002-04-01,975.066972330998
2002-04-02,972.5729295019689
2002-04-03,971.3933899809673
2002-04-04,965.5855046888964
2002-04-05,969.6360363601877
2002-04-08,963.9882827730988
2002-04-09,965.3433993323962
2002-04-10,968.6661402200604
2002-04-11,962.1368229216757
2002-04-12,967.245610349957
2002-04-15,970.8067432853087
2002-04-16,974.3720312893038
2002-04-17,975.2617074667065
2002-04-18,973.1840143111042
2002-04-19,977.8942632060842
2002-04-22,978.5982437989056
2002-04-23,978.9928125166238
2002-04-24,978.0678214801296
2002-04-25,969.2568632331371
2002-04-26,969.5326054206971
2002-04-29,964.8415660404687
2002-04-30,970.6298464416604
2002-05-01,969.7940922058204
2002-05-02,973.811536254739
2002-05-03,971.5781687918085
2002-05-06,967.8829203958076
2002-05-07,961.858647310179
2002-05-08,971.4718922001061
2002-05-09,968.8952673735532
2002-05-10,964.4337023014493
2002-05-13,969.5407305567797
2002-05-14,975.9507783391107
2002-05-15,977.4593454762604
