Date,EUROPE ex UK MINIMUM VOLATILITY (GBP)
2001-05-31,1000.0
2001-06-01,999.3279548051847
2001-06-04,1001.1815954769138
2001-06-05,1008.6925613856636
2001-06-06,1008.6789591448168
2001-06-07,1006.1576206250252
2001-06-08,1006.3674944476397
2001-06-11,1002.1807303778021
2001-06-12,995.208209693679
2001-06-13,1002.3975450747369
2001-06-14,996.4844374589512
2001-06-15,989.897837113251
2001-06-18,984.0965630420664
2001-06-19,985.03162060066
2001-06-20,982.0795450418677
2001-06-21,977.1007954312591
2001-06-22,980.5551923986318
2001-06-25,979.4977216516595
2001-06-26,973.2556997519158
2001-06-27,970.3336474643681
2001-06-28,980.3379451751094
2001-06-29,988.699643455353
2001-07-02,994.5147189450959
2001-07-03,990.0518315918886
2001-07-04,988.678016408637
2001-07-05,989.1781611669896
2001-07-06,974.6693719502583
2001-07-09,973.5893987351271
2001-07-10,970.6171217123945
2001-07-11,964.8950001821362
2001-07-12,966.7955682641012
2001-07-13,972.0107638590059
2001-07-16,969.9812811825043
2001-07-17,967.4749857884699
2001-07-18,960.3493718977295
2001-07-19,971.7795652897703
2001-07-20,965.9327940434368
2001-07-23,969.4901226299901
2001-07-24,964.6546140209553
2001-07-25,953.3112327476447
2001-07-26,957.4639797403677
2001-07-27,968.0024871431726
2001-07-30,973.1775530343607
2001-07-31,978.7035259812272
2001-08-01,981.1236056101837
2001-08-02,977.9326971722083
2001-08-03,971.8712391444076
2001-08-06,974.9285417538355
2001-08-07,975.0180298006613
2001-08-08,969.4153401884778
2001-08-09,958.2217707954989
2001-08-10,953.1976553381818
2001-08-13,959.6604689535227
2001-08-14,964.5919962965804
2001-08-15,961.1744092753913
2001-08-16,956.6628322505054
2001-08-17,946.9729162047171
2001-08-20,945.5113397280621
2001-08-21,949.8026099973162
2001-08-22,949.547324976358
2001-08-23,954.5343962145722
2001-08-24,963.4311598493276
2001-08-27,963.7662746465921
2001-08-28,954.0348835905712
2001-08-29,952.071850106731
2001-08-30,938.3880928066509
2001-08-31,941.8228499140467
2001-09-03,934.0439742802639
2001-09-04,941.1050241046737
2001-09-05,934.6491383876112
2001-09-06,926.4872973348231
2001-09-07,912.030469133768
2001-09-10,898.7402286637138
2001-09-11,858.1361369416888
2001-09-12,862.3862002888304
2001-09-13,869.6307045473334
2001-09-14,837.8879879171434
2001-09-17,842.3444431358113
2001-09-18,836.0535886376422
2001-09-19,826.8743843390724
2001-09-20,795.205371436516
2001-09-21,772.2041164157148
2001-09-24,799.5362773194012
2001-09-25,804.8213152286082
2001-09-26,816.904843057002
2001-09-27,828.3992666998753
2001-09-28,847.2732206701611
2001-10-01,840.475702711153
2001-10-02,850.1833395352563
2001-10-03,849.2904070852247
2001-10-04,867.0425413104243
2001-10-05,862.840526548615
2001-10-08,861.7572697699721
2001-10-09,862.0472579116489
2001-10-10,876.6969747648761
2001-10-11,884.246891347208
2001-10-12,881.5779855443619
2001-10-15,870.0698432030758
2001-10-16,874.0534025747148
2001-10-17,882.1307636801778
2001-10-18,875.4319110919902
2001-10-19,866.8791289498373
2001-10-22,876.1593496582594
2001-10-23,887.2842475858736
2001-10-24,888.7933236596853
2001-10-25,875.8888416269023
2001-10-26,886.6208175989412
2001-10-29,873.05535826649
2001-10-30,857.5380018666967
2001-10-31,867.0202072902129
2001-11-01,869.0957344425974
2001-11-02,866.289764821907
2001-11-05,879.6837568307969
2001-11-06,878.5288217363629
2001-11-07,883.4006389531257
2001-11-08,894.4627098627608
2001-11-09,886.431149992749
2001-11-12,873.808230776598
2001-11-13,889.4086012848053
2001-11-14,891.0524154521644
2001-11-15,890.2354668975871
2001-11-16,893.5734205995009
2001-11-19,905.6402626023537
2001-11-20,900.2989164765147
2001-11-21,901.1703057219754
2001-11-22,906.5316613498785
2001-11-23,905.1464886496908
2001-11-26,900.4694420938782
2001-11-27,894.6434145045685
2001-11-28,888.7276870702196
2001-11-29,892.69139381884
2001-11-30,899.3635288496716
2001-12-03,897.3138299345183
2001-12-04,903.6381943527535
2001-12-05,916.8253209275416
2001-12-06,917.2606787168684
2001-12-07,910.7650223306167
2001-12-10,900.5543285016868
2001-12-11,899.8437731789487
2001-12-12,895.0216112316924
2001-12-13,886.364475369331
2001-12-14,877.9593200388741
2001-12-17,891.0119614191112
2001-12-18,892.46177807907
2001-12-19,888.2248539276032
2001-12-20,889.359685243766
2001-12-21,900.8370927643971
2001-12-24,900.1518217577719
2001-12-25,900.1518217577719
2001-12-26,899.839241591252
2001-12-27,914.4962434823641
2001-12-28,922.5194026219526
2001-12-31,922.488947580546
2002-01-01,922.488947580546
2002-01-02,915.5293794430498
2002-01-03,923.4902887386698
2002-01-04,922.0736715772308
2002-01-07,915.2021506427902
2002-01-08,908.7706494142626
2002-01-09,910.8034321348754
2002-01-10,906.1948718276764
2002-01-11,911.0886474757684
2002-01-14,898.0500148387835
2002-01-15,905.0659945996608
2002-01-16,898.555300199615
2002-01-17,910.7306839681515
2002-01-18,910.4386930922133
2002-01-21,907.7201168285504
2002-01-22,910.8685578915955
2002-01-23,916.0331662674822
2002-01-24,922.0505738158226
2002-01-25,919.6166217373668
2002-01-28,924.0438520159814
2002-01-29,918.252591203949
2002-01-30,910.6721086897957
2002-01-31,921.1055348941136
2002-02-01,924.0126645421454
2002-02-04,917.6818253603934
2002-02-05,908.796324793319
2002-02-06,903.8242063283332
2002-02-07,905.0040683466209
2002-02-08,905.0901035378794
2002-02-11,908.7705793931793
2002-02-12,908.8864487602044
2002-02-13,914.757927374337
2002-02-14,921.6802726360854
2002-02-15,918.3091939251033
2002-02-18,914.4273588842631
2002-02-19,902.4197136857281
2002-02-20,900.0376487874098
2002-02-21,904.2534710667048
2002-02-22,899.2717305137126
2002-02-25,908.4905258307357
2002-02-26,912.6095050268715
2002-02-27,924.6134878776903
2002-02-28,927.5234761086589
2002-03-01,929.9238315336657
2002-03-04,941.8267540119285
2002-03-05,939.1616310068111
2002-03-06,937.9915680842589
2002-03-07,940.3316119110366
2002-03-08,945.1312978061474
2002-03-11,943.9572885097931
2002-03-12,941.2461082583129
2002-03-13,940.765245394517
2002-03-14,943.8251421145577
2002-03-15,948.7236684935312
2002-03-18,952.7352998582439
2002-03-19,955.2276277104313
2002-03-20,950.8180967446808
2002-03-21,949.4982031649228
2002-03-22,952.5915587102952
2002-03-25,949.8157112077021
2002-03-26,950.6362626751252
2002-03-27,949.8455294066017
2002-03-28,956.842749745148
2002-03-29,956.842749745148
2002-04-01,957.2744791341258
2002-04-02,955.8600282241325
2002-04-03,957.0019425727129
2002-04-04,951.2466597349411
2002-04-05,952.1529034728281
2002-04-08,944.2317499282851
2002-04-09,947.1557701934028
2002-04-10,951.371529641574
2002-04-11,942.8551055508393
2002-04-12,946.3771238711461
2002-04-15,949.4768204762306
2002-04-16,958.2728815747608
2002-04-17,959.58592442607
2002-04-18,958.0963491356374
2002-04-19,960.5629185187269
2002-04-22,956.8844441173021
2002-04-23,956.1463097802518
2002-04-24,954.7279059324189
2002-04-25,944.9374661319166
2002-04-26,946.5694280108085
2002-04-29,943.1151375108287
2002-04-30,950.5254191534816
2002-05-01,950.9653742634185
2002-05-02,949.0498875478789
2002-05-03,946.4933142044393
2002-05-06,944.5440144290214
2002-05-07,937.9685187496375
2002-05-08,951.8710468142335
2002-05-09,949.9871541637793
2002-05-10,945.3357179629681
2002-05-13,951.3038642874918
2002-05-14,958.49516201151
2002-05-15,958.8396886186846
2002-05-16,956.2923009724111
2002-05-17,954.0570119782745
2002-05-20,952.3781694017583
2002-05-21,952.0625061107927
2002-05-22,945.1647174090732
2002-05-23,947.3163232896867
2002-05-24,945.6157814030623
2002-05-27,948.2478949005658
2002-05-28,944.7895433620411
2002-05-29,943.3484495316432
2002-05-30,934.7734578752402
2002-05-31,933.8951039507439
2002-06-03,930.7306890053985
2002-06-04,914.8798195075957
2002-06-05,917.4339210294901
2002-06-06,919.0827593371789
2002-06-07,910.1271127060531
2002-06-10,912.2168702447178
2002-06-11,916.7401052505111
2002-06-12,902.9853757693154
2002-06-13,896.1884441455094
2002-06-14,879.0055592389402
2002-06-17,899.6171764708276
