Date,WORLD MINIMUM VOLATILITY (EUR)
2001-11-30,1000.0
2001-12-03,1000.6151857878408
2001-12-04,1004.4484254523145
2001-12-05,1015.1373903052141
2001-12-06,1008.8991440735097
2001-12-07,1004.2221209907683
2001-12-10,997.3308518664597
2001-12-11,991.6420891724462
2001-12-12,988.0109316294578
2001-12-13,977.9171940085321
2001-12-14,973.7731668744067
2001-12-17,975.9367960031587
2001-12-18,983.8953221328067
2001-12-19,990.4447126588639
2001-12-20,994.2423039386468
2001-12-21,1006.335530622069
2001-12-24,1014.5989611597404
2001-12-25,1013.7844842472921
2001-12-26,1014.2386278343779
2001-12-27,1014.8762202319735
2001-12-28,1023.0009591491355
2001-12-31,1012.9409978603005
2002-01-01,1012.9409978603005
2002-01-02,999.5332583989307
2002-01-03,1005.6678752518834
2002-01-04,1014.0069669508382
2002-01-07,1011.8874439245625
2002-01-08,1004.7507382528142
2002-01-09,1003.7638024926275
2002-01-10,999.0356729943783
2002-01-11,1001.05129142831
2002-01-14,995.7360990797808
2002-01-15,1003.3934942913992
2002-01-16,1004.5415396093779
2002-01-17,1010.6703117533042
2002-01-18,1006.8715104509808
2002-01-21,1007.0896503332561
2002-01-22,1006.0526067404043
2002-01-23,1005.8272450825159
2002-01-24,1009.1596160315958
2002-01-25,1020.5574675607317
2002-01-28,1025.9322053361198
2002-01-29,1013.2493827757373
2002-01-30,1012.2233022161885
2002-01-31,1024.5123651984063
2002-02-01,1022.8185520501103
2002-02-04,1011.2225998019777
2002-02-05,1005.627156456264
2002-02-06,998.7793377718673
2002-02-07,999.8813147803826
2002-02-08,1003.2610923328007
2002-02-11,1004.0418738187881
2002-02-12,1009.9745459400549
2002-02-13,1019.4410220931308
2002-02-14,1025.4072585734477
2002-02-15,1020.8338756934373
2002-02-18,1022.2290097254695
2002-02-19,1006.6418829364366
2002-02-20,1012.4838734709739
2002-02-21,1012.5843858204779
2002-02-22,1012.8636808247489
2002-02-25,1023.4054991591457
2002-02-26,1026.0592610716383
2002-02-27,1037.5854787262965
2002-02-28,1037.6292181181377
2002-03-01,1050.0322048325145
