Date,WORLD MINIMUM VOLATILITY (JPY)
2001-11-30,1000.0
2001-12-03,1000.2312219813386
2001-12-04,1004.6559680610455
2001-12-05,1015.9724555357041
2001-12-06,1009.4419242888115
2001-12-07,1005.4824898411352
2001-12-10,998.9598964096238
2001-12-11,992.5452822411279
2001-12-12,988.6233743364927
2001-12-13,978.152635339554
2001-12-14,974.0486446646787
2001-12-17,974.8154835951393
2001-12-18,983.289225345405
2001-12-19,990.3614807710325
2001-12-20,993.4496496832184
2001-12-21,1005.2434197143085
2001-12-24,1015.0316439278461
2001-12-25,1014.2477669750365
2001-12-26,1015.0550237726295
2001-12-27,1014.801699795842
2001-12-28,1023.3970793611334
2001-12-31,1012.4822247426648
2002-01-01,1012.4822247426648
2002-01-02,996.928742787928
2002-01-03,1003.3324639005754
2002-01-04,1012.9030963248736
2002-01-07,1012.5628680206275
2002-01-08,1006.0208230703206
2002-01-09,1005.4688271912569
2002-01-10,999.4242559454749
2002-01-11,1000.358488873033
2002-01-14,995.4776461028843
2002-01-15,1002.6138508771355
2002-01-16,1004.7017722923865
2002-01-17,1009.1692871387522
2002-01-18,1004.609235724298
2002-01-21,1004.7568892549932
2002-01-22,1003.1335810613491
2002-01-23,1002.9784752152519
2002-01-24,1007.719246277684
2002-01-25,1021.2207250058781
2002-01-28,1026.8168701026234
2002-01-29,1014.4476003529934
2002-01-30,1013.1437743783667
2002-01-31,1025.7669245016255
2002-02-01,1023.8707371415678
2002-02-04,1011.7201849331343
2002-02-05,1005.5639767738498
2002-02-06,1000.188380627134
2002-02-07,1000.3222956086901
2002-02-08,1003.7198868903027
2002-02-11,1005.1955392898022
2002-02-12,1010.824559000473
2002-02-13,1020.9230631617993
2002-02-14,1027.4103743932285
2002-02-15,1022.716705426992
2002-02-18,1025.016916573565
2002-02-19,1009.2791033290441
2002-02-20,1015.3329316920922
2002-02-21,1016.3638393696692
2002-02-22,1016.1316528406304
2002-02-25,1026.5623706704387
2002-02-26,1029.9951948758953
2002-02-27,1041.4534337627024
2002-02-28,1041.6724605269546
2002-03-01,1054.5271664605386
2002-03-04,1063.8631327689407
2002-03-05,1059.814923108176
2002-03-06,1061.781856365104
2002-03-07,1061.1305064312667
2002-03-08,1065.0159121628076
2002-03-11,1068.8451325313267
2002-03-12,1068.7273967746955
2002-03-13,1060.7067160491083
2002-03-14,1056.9487121515203
2002-03-15,1062.3468520028998
2002-03-18,1063.8361394055114
2002-03-19,1068.3428005675912
2002-03-20,1059.058326369069
2002-03-21,1061.081924044004
2002-03-22,1061.950541554001
2002-03-25,1059.9210503567447
2002-03-26,1059.4995853933435
2002-03-27,1069.0463448778635
2002-03-28,1073.6301303832377
2002-03-29,1071.2919236336415
2002-04-01,1063.3577890456036
2002-04-02,1062.6660860456786
2002-04-03,1059.6076431136717
2002-04-04,1055.5233011466112
2002-04-05,1057.141736050977
2002-04-08,1060.1075003614374
2002-04-09,1054.3764649896877
2002-04-10,1061.9995364117617
2002-04-11,1045.8902385876586
2002-04-12,1051.0906109675684
2002-04-15,1050.234276326324
2002-04-16,1057.4687595509595
2002-04-17,1054.712944418016
2002-04-18,1053.8340200625819
2002-04-19,1057.5855400927699
2002-04-22,1055.0144285943122
2002-04-23,1052.461538868897
2002-04-24,1047.6157871845908
2002-04-25,1040.8467537391425
2002-04-26,1036.704549498482
2002-04-29,1028.2088202392067
2002-04-30,1032.2355534338058
2002-05-01,1036.7489540467395
2002-05-02,1041.429496260199
2002-05-03,1031.2737089541918
2002-05-06,1020.0661678637183
2002-05-07,1016.1039233238637
2002-05-08,1032.3974945134296
2002-05-09,1029.2144437355187
2002-05-10,1021.7703809503766
2002-05-13,1029.5032560361994
2002-05-14,1042.6842497009534
2002-05-15,1037.2627881293115
2002-05-16,1040.0215310460692
2002-05-17,1034.3423547094874
2002-05-20,1031.1779896323715
2002-05-21,1034.0452470515747
2002-05-22,1031.6485718503961
2002-05-23,1040.8157664092066
2002-05-24,1034.287694540943
2002-05-27,1035.5870426727784
2002-05-28,1026.108818774084
