Date,WORLD ex USA MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1004.2682012051085
2001-06-04,1006.441674451412
2001-06-05,1007.5753414370301
2001-06-06,1005.4852860685819
2001-06-07,1005.9226230838319
2001-06-08,1006.644102088975
2001-06-11,1004.0579297596927
2001-06-12,993.6894004510531
2001-06-13,997.0790581032867
2001-06-14,991.6767088852014
2001-06-15,984.6222725814295
2001-06-18,979.583780324248
2001-06-19,981.2043213149934
2001-06-20,984.3527346021584
2001-06-21,982.6178082337944
2001-06-22,984.8436514379089
2001-06-25,979.809737743207
2001-06-26,977.882262148261
2001-06-27,975.8036629074926
2001-06-28,981.5041185725023
2001-06-29,991.3260543945953
2001-07-02,992.9472895617525
2001-07-03,990.8221287335365
2001-07-04,990.362392343303
2001-07-05,993.3508110428721
2001-07-06,977.4541746260098
2001-07-09,973.2151823726301
2001-07-10,968.5691022828639
2001-07-11,962.4136865888368
2001-07-12,971.4214111123565
2001-07-13,972.2840174026326
2001-07-16,967.4276600045653
2001-07-17,965.8876683121417
2001-07-18,950.6664933573722
2001-07-19,959.258738184501
2001-07-20,956.0797249628095
2001-07-23,954.2955541123429
2001-07-24,949.034585706156
2001-07-25,943.8877500252736
2001-07-26,945.9536818600229
2001-07-27,954.5448193035604
2001-07-30,953.9184669352356
2001-07-31,963.4103259722762
2001-08-01,965.9963555778128
2001-08-02,966.2880305678593
2001-08-03,957.5206193267885
2001-08-06,961.7133316500891
2001-08-07,966.3606584536765
2001-08-08,963.1603931168953
2001-08-09,947.649844896724
2001-08-10,943.6589393559566
2001-08-13,943.3042953825941
2001-08-14,950.2395413746976
2001-08-15,946.8613815977639
2001-08-16,943.07334537109
2001-08-17,935.7531692567046
2001-08-20,934.7739152560308
2001-08-21,940.1618872049874
2001-08-22,939.4380990439329
2001-08-23,943.2082983365092
2001-08-24,948.7346868637233
2001-08-27,950.3873957777212
2001-08-28,944.012403689379
2001-08-29,939.7367001044067
2001-08-30,930.1974974082253
2001-08-31,930.9445983469521
2001-09-03,925.1415094380774
2001-09-04,941.2745879219954
2001-09-05,934.4303155304146
2001-09-06,926.8850061115664
2001-09-07,910.8395002305097
2001-09-10,901.1723675162575
2001-09-11,877.0961471040836
2001-09-12,868.4519193471655
2001-09-13,876.6970753880546
2001-09-14,857.655899046851
2001-09-17,851.1331597733334
2001-09-18,845.6805992070227
2001-09-19,838.0581482654137
2001-09-20,819.3551552166971
2001-09-21,803.5739750493516
2001-09-24,818.5121175131989
2001-09-25,819.7107737618664
2001-09-26,824.9025932733338
2001-09-27,833.2472715699716
2001-09-28,857.2503770768294
2001-10-01,851.5721322061911
2001-10-02,861.3254814696454
2001-10-03,858.5221066436574
2001-10-04,873.6579803226725
2001-10-05,870.9812396076204
2001-10-08,869.4882069793664
2001-10-09,864.9699906015052
2001-10-10,875.8237539291516
2001-10-11,887.2566530067033
2001-10-12,886.1767048981043
2001-10-15,878.879882324958
2001-10-16,881.5104460714655
2001-10-17,889.0456595726484
2001-10-18,879.8366713196939
2001-10-19,875.252955705875
2001-10-22,881.5817928488832
2001-10-23,891.3482067383474
2001-10-24,888.5542971993484
