Date,EUROPE MINIMUM VOLATILITY (EUR)
1998-12-31,891.6546038168789
1999-01-01,891.6550131502355
1999-01-04,912.0648217225121
1999-01-05,919.4420447016455
1999-01-06,933.5738964355495
1999-01-07,920.2876028172669
1999-01-08,920.8170918709999
1999-01-11,911.5482787164196
1999-01-12,900.7304143011605
1999-01-13,873.0054481988468
1999-01-14,874.3968904669366
1999-01-15,887.1554405691782
1999-01-18,899.0331330146223
1999-01-19,892.5010233768836
1999-01-20,896.3451276244735
1999-01-21,888.9691522644443
1999-01-22,872.2181319121443
1999-01-25,874.8685254782923
1999-01-26,875.7784077053631
1999-01-27,880.6134234451459
1999-01-28,888.9173037319377
1999-01-29,889.0935029376092
1999-02-01,895.9286682730936
1999-02-02,892.9265591317458
1999-02-03,884.0997457810364
1999-02-04,884.5850552877023
1999-02-05,883.8251543106579
1999-02-08,881.3407832049128
1999-02-09,869.9467061409811
1999-02-10,863.6349672871355
1999-02-11,873.8358303727248
1999-02-12,879.9828676789613
1999-02-15,880.463919202894
1999-02-16,885.7479132010304
1999-02-17,880.2751457811087
1999-02-18,879.311861454001
1999-02-19,884.1464566096511
1999-02-22,894.0231596929881
1999-02-23,902.4702255346813
1999-02-24,906.2610199755454
1999-02-25,898.1980750427532
1999-02-26,896.3720331387888
1999-03-01,889.0381274965713
1999-03-02,891.6811585089677
1999-03-03,886.5925728338675
1999-03-04,886.7947150028127
1999-03-05,899.8519992083195
1999-03-08,896.0597071642769
1999-03-09,895.9695810569124
1999-03-10,893.2320427914264
1999-03-11,907.1447242851891
1999-03-12,910.13537025521
1999-03-15,902.6492358693599
1999-03-16,904.9077432708009
1999-03-17,900.9554156923432
1999-03-18,897.7491969658994
1999-03-19,906.4911270323955
1999-03-22,904.1997607396513
1999-03-23,891.8027966348956
1999-03-24,886.9153424370758
1999-03-25,897.8467428863826
1999-03-26,896.1486535679653
1999-03-29,907.9946551225642
1999-03-30,905.5997643021461
1999-03-31,909.6902995471238
1999-04-01,907.1318984182841
1999-04-02,907.4805011519207
1999-04-05,908.4861957158979
1999-04-06,912.9555499860909
1999-04-07,918.1897761540337
1999-04-08,919.4785457261532
1999-04-09,921.4714000114521
1999-04-12,917.6190686656107
1999-04-13,926.7216930329107
1999-04-14,926.1638067495454
1999-04-15,925.3111186335477
1999-04-16,920.5659796642063
1999-04-19,936.7041249850091
1999-04-20,917.6642848207853
1999-04-21,925.0414373390948
1999-04-22,928.961403005181
1999-04-23,926.1991301606433
1999-04-26,930.456098204374
1999-04-27,942.0970843358507
1999-04-28,941.1428977139425
1999-04-29,936.6503795455775
1999-04-30,940.4016308234666
1999-05-03,946.761819934041
1999-05-04,949.2129566220993
1999-05-05,939.9077666206699
1999-05-06,938.1619855901672
1999-05-07,937.1743402134051
1999-05-10,937.797634864375
1999-05-11,942.3370166217582
1999-05-12,937.6647432549858
1999-05-13,945.3429010032913
1999-05-14,931.614991468445
1999-05-17,915.5393383624707
1999-05-18,923.1027313661116
1999-05-19,933.0960366871624
1999-05-20,943.4454594734286
1999-05-21,942.2592437861161
1999-05-24,937.1521968216932
1999-05-25,927.4186105987501
1999-05-26,928.6405726050729
1999-05-27,922.0259659722061
1999-05-28,923.5585026716309
1999-05-31,925.9852148351972
1999-06-01,925.8981926324033
1999-06-02,932.1292969703267
1999-06-03,937.9235524001825
1999-06-04,942.7119469061549
1999-06-07,948.4840919100668
1999-06-08,945.0011070527374
1999-06-09,947.3807440892972
1999-06-10,935.623637816778
1999-06-11,940.4712610021164
1999-06-14,938.4833648991173
1999-06-15,939.3942531953468
1999-06-16,943.6692659027376
1999-06-17,943.4735840486477
1999-06-18,946.4272298744919
1999-06-21,955.763893419583
1999-06-22,953.5659315299825
1999-06-23,943.7806565698096
1999-06-24,936.9166499458673
1999-06-25,932.7311082122368
1999-06-28,936.7342205447316
1999-06-29,936.5785497149252
1999-06-30,936.3712786237759
1999-07-01,951.7935824820028
1999-07-02,955.687359698905
1999-07-05,964.6593083461139
1999-07-06,962.9488200038342
1999-07-07,958.7083804589098
1999-07-08,956.8642471374571
1999-07-09,959.1194120699498
1999-07-12,959.0582795526157
1999-07-13,947.07594473373
1999-07-14,951.1792693730813
1999-07-15,958.0215604626607
1999-07-16,954.7253193321372
1999-07-19,951.1727592778233
1999-07-20,936.4949540402349
1999-07-21,928.1097743125124
1999-07-22,924.6022978799585
1999-07-23,916.144576809944
1999-07-26,907.6868986950674
1999-07-27,911.1438275103939
1999-07-28,914.0194725688724
1999-07-29,898.9836176643163
1999-07-30,912.8165010597967
1999-08-02,911.6120925478798
1999-08-03,907.9854991615741
1999-08-04,905.536684114192
1999-08-05,890.9960953109353
1999-08-06,892.794504528277
1999-08-09,901.4952907638686
1999-08-10,890.9682240124258
1999-08-11,894.4946279087715
1999-08-12,903.4790533430463
1999-08-13,915.5283843550974
1999-08-16,919.8181894542832
1999-08-17,919.7685058783637
1999-08-18,919.4153041117764
1999-08-19,914.1486393821309
1999-08-20,924.1405738010814
1999-08-23,934.8713125555224
1999-08-24,933.781127193227
1999-08-25,942.2418131731921
1999-08-26,946.0708158900618
1999-08-27,948.4921989306555
1999-08-30,949.3991326500557
1999-08-31,937.1158453596028
1999-09-01,942.9227344805988
1999-09-02,930.727053842066
1999-09-03,949.1362603836159
1999-09-06,954.683872819254
1999-09-07,949.2879726232654
1999-09-08,948.3435382826334
1999-09-09,954.8749901384379
1999-09-10,956.460614475691
1999-09-13,952.825358495009
1999-09-14,946.6311625368623
1999-09-15,945.3639757329518
1999-09-16,941.7939312177145
1999-09-17,942.0708781196438
1999-09-20,944.6654545997744
1999-09-21,935.2405443193736
1999-09-22,928.805287973743
1999-09-23,935.4006288288167
1999-09-24,927.6243240542002
1999-09-27,937.9744716564969
1999-09-28,928.4771697633831
1999-09-29,921.187349700844
1999-09-30,919.0382202848447
1999-10-01,913.4660966336822
1999-10-04,921.8498062922613
1999-10-05,925.3801452701613
1999-10-06,927.1835711011734
1999-10-07,932.6094678137338
1999-10-08,933.6354350388793
1999-10-11,935.2388383039022
1999-10-12,925.4465234316408
1999-10-13,919.0481756058392
1999-10-14,915.1976602253395
1999-10-15,901.2055431959867
1999-10-18,894.8712311432315
1999-10-19,908.657534431135
1999-10-20,910.7000411500746
1999-10-21,905.3107170534568
1999-10-22,917.693612243308
1999-10-25,912.3772654860005
1999-10-26,918.4868045024931
1999-10-27,916.180967851402
1999-10-28,924.7215791864103
1999-10-29,935.1398431223661
1999-11-01,937.9784955125489
1999-11-02,937.7719217770665
1999-11-03,942.07047967372
1999-11-04,946.8365111078917
1999-11-05,946.6557162234604
1999-11-08,945.2412289257668
1999-11-09,945.7617261248039
1999-11-10,946.6226963282826
1999-11-11,952.9525966187153
1999-11-12,956.1136207677326
1999-11-15,959.4616350287031
1999-11-16,963.4095215487432
1999-11-17,958.7184906610522
1999-11-18,962.4377525712051
1999-11-19,958.1197493033354
1999-11-22,949.7428592574037
1999-11-23,954.7783181875342
1999-11-24,954.9443314185745
1999-11-25,970.9671148313113
1999-11-26,970.6041737041254
1999-11-29,969.9908645907356
1999-11-30,961.1842410041727
1999-12-01,964.5998972484492
1999-12-02,968.4678516838172
1999-12-03,979.8032903627421
1999-12-06,971.6577423756161
1999-12-07,972.2081287955156
1999-12-08,964.4159218395903
1999-12-09,969.8210654203359
1999-12-10,971.3046968456642
1999-12-13,975.5548199532087
1999-12-14,976.5802143033828
1999-12-15,972.0047556314869
1999-12-16,971.434929111871
1999-12-17,977.8215194206332
1999-12-20,981.0738311181066
1999-12-21,981.6869153623771
1999-12-22,988.7346248670772
1999-12-23,1004.0271785693161
1999-12-24,1010.4015998062864
1999-12-27,1012.6514623281844
1999-12-28,1014.6792559328272
1999-12-29,1015.7928025311114
1999-12-30,1026.7182025354782
1999-12-31,1026.7182025354782
2000-01-03,1021.4491287012381
2000-01-04,988.1314382492778
2000-01-05,973.1646232120378
2000-01-06,975.5506908090632
2000-01-07,993.7573997991793
2000-01-10,1005.866007854701
2000-01-11,1002.5693089096872
2000-01-12,1000.4392666010173
2000-01-13,1000.8971508465164
2000-01-14,1015.5663213393746
2000-01-17,1016.703457353746
2000-01-18,998.1131998371568
2000-01-19,995.9991870257965
2000-01-20,993.2527880067238
2000-01-21,989.7667217799075
2000-01-24,994.3685208388521
2000-01-25,980.4402229667368
2000-01-26,987.4516728646669
2000-01-27,993.7499364730943
2000-01-28,988.241267646091
2000-01-31,972.0064793126126
2000-02-01,977.9776379020024
2000-02-02,983.9852468839375
2000-02-03,994.4606669835176
2000-02-04,987.4507179117534
2000-02-07,975.8212984785783
2000-02-08,992.1319162989569
2000-02-09,987.9634634932717
2000-02-10,985.6281299509708
2000-02-11,986.0381401551222
2000-02-14,986.4564553472173
2000-02-15,975.7058061713457
2000-02-16,988.4498646108452
2000-02-17,994.7415746366652
2000-02-18,988.3845678275666
2000-02-21,980.2700139559106
2000-02-22,974.9702644654841
2000-02-23,988.5620537438492
2000-02-24,985.6043576830384
2000-02-25,996.5834760960704
2000-02-28,990.0320467630454
2000-02-29,1000.8937424670676
2000-03-01,1014.7346219056476
2000-03-02,1023.2964891830519
