Date,WORLD ex ISRAEL MINIMUM VOLATILITY (USD)
2010-05-26,1000.0
2010-05-27,1013.0449002582066
2010-05-28,1005.469700209903
2010-05-31,1011.5797928841375
2010-06-01,1007.4852021357511
2010-06-02,1024.781151317083
2010-06-03,1032.4145623363045
2010-06-04,1027.4049273301973
2010-06-07,1027.729422054893
2010-06-08,1033.5178330384283
2010-06-09,1027.9594360324982
2010-06-10,1040.7086372356207
2010-06-11,1042.6427114123812
2010-06-14,1033.8785068262612
2010-06-15,1043.658632501336
2010-06-16,1044.457534010911
2010-06-17,1044.8329087934383
2010-06-18,1042.7521144618745
2010-06-21,1044.1622374508768
2010-06-22,1044.9856115743203
2010-06-23,1043.1037410488464
2010-06-24,1032.3900270168165
2010-06-25,1035.8803850369204
2010-06-28,1036.4032544099562
2010-06-29,1031.6815646444352
2010-06-30,1020.7990194456427
2010-07-01,1004.6572899525222
2010-07-02,992.2577489152403
2010-07-05,997.3222805825817
2010-07-06,999.0362482687087
2010-07-07,1013.0057009083739
2010-07-08,1014.6499447401809
2010-07-09,1020.1499596589041
2010-07-12,1021.9451389859611
2010-07-13,1025.481181668681
2010-07-14,1022.5323919035897
2010-07-15,1010.9456044876028
2010-07-16,993.52274912979
2010-07-19,992.8566569371949
2010-07-20,1002.4493742591418
2010-07-21,1001.600613693068
2010-07-22,1008.1376671799635
2010-07-23,1019.1902238087582
2010-07-26,1016.9747679976686
2010-07-27,1011.6690771445925
2010-07-28,1007.3526201439819
2010-07-29,999.4762136195822
2010-07-30,1002.793222267767
2010-08-02,1004.3774794173792
2010-08-03,1002.324087135044
2010-08-04,1009.4744818654586
2010-08-05,1008.1935732575788
2010-08-06,1001.0250788257913
2010-08-09,1007.6876285782182
2010-08-10,1014.3829112418515
2010-08-11,1011.8092726269979
2010-08-12,1014.2349210665116
2010-08-13,1020.4119428703269
2010-08-16,1018.152790144915
2010-08-17,1025.668506791368
2010-08-18,1028.4823263549654
2010-08-19,1020.4869227188248
2010-08-20,1029.1295648812977
2010-08-23,1032.7273771154942
2010-08-24,1027.6130354691065
2010-08-25,1031.0311645165561
2010-08-26,1022.7531218574258
2010-08-27,1033.4906141058639
2010-08-30,1032.7104742230226
2010-08-31,1030.1700266861442
2010-09-01,1037.9657216558237
2010-09-02,1041.5538588100721
2010-09-03,1043.401092282031
2010-09-06,1046.1093634644467
2010-09-07,1054.772913141611
2010-09-08,1055.0702717754066
2010-09-09,1058.7034197699827
2010-09-10,1060.4456667925695
2010-09-13,1054.7540696351912
2010-09-14,1050.461500280411
2010-09-15,1046.6214407010332
2010-09-16,1038.1647457385066
2010-09-17,1043.5512364407464
2010-09-20,1050.4504753590954
2010-09-21,1044.2901798127552
2010-09-22,1026.107816072476
2010-09-23,1028.589154307879
2010-09-24,1027.7953137330717
2010-09-27,1026.2088223400542
2010-09-28,1024.991353111483
2010-09-29,1019.3710539270022
2010-09-30,1011.2490133567087
2010-10-01,1007.9790178204396
2010-10-04,1007.2078744331992
2010-10-05,1010.1164431208736
2010-10-06,1008.0486375519289
2010-10-07,1004.6311308335473
2010-10-08,1005.4547243077889
2010-10-11,1007.7970934016008
2010-10-12,1010.9264236481259
2010-10-13,1009.6177391094616
2010-10-14,1003.7521904663889
2010-10-15,1008.0797452838062
2010-10-18,1015.7781389305044
2010-10-19,1018.0174918497444
2010-10-20,1012.692011187817
2010-10-21,1012.1820158472187
2010-10-22,1015.2512470283235
2010-10-25,1014.8316645022707
2010-10-26,1019.1574327883809
2010-10-27,1018.8362975741279
2010-10-28,1015.8608415095448
2010-10-29,1021.1801558364235
2010-11-01,1022.1161460159786
2010-11-02,1018.1889048602169
2010-11-03,1017.6569701285749
2010-11-04,1016.6761417943185
2010-11-05,1028.381765192694
2010-11-08,1035.8426558188671
2010-11-09,1034.7657911457575
2010-11-10,1045.2709645428004
2010-11-11,1045.2395745621418
2010-11-12,1035.772771514289
2010-11-15,1043.2006983197803
2010-11-16,1031.0732830772104
2010-11-17,1034.4127328317652
2010-11-18,1039.6024417553383
2010-11-19,1034.6302964214576
2010-11-22,1037.9665829843027
