Date,PACIFIC ex JP MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1005.8125899553935
2001-06-04,1011.0163259193056
2001-06-05,1017.0115374170945
2001-06-06,1024.6303902642364
2001-06-07,1031.6885160218203
2001-06-08,1039.8296641363363
2001-06-11,1040.1754172902681
2001-06-12,1026.5002517081916
2001-06-13,1028.5087483805678
2001-06-14,1017.4381300592205
2001-06-15,1012.9094728650546
2001-06-18,1002.9549943562607
2001-06-19,1008.1557280818045
2001-06-20,1011.0006809928273
2001-06-21,1008.6088073979565
2001-06-22,1008.4065175331359
2001-06-25,996.3401719865859
2001-06-26,1000.5085996880068
2001-06-27,997.2685793814445
2001-06-28,1003.9354773871602
2001-06-29,1016.4629811100409
2001-07-02,1008.8350476028053
2001-07-03,1017.5522284511646
2001-07-04,1019.6401567957535
2001-07-05,1015.6547866438734
2001-07-06,989.2850330033516
2001-07-09,977.5062578818605
2001-07-10,981.5646823899581
2001-07-11,973.3950437566635
2001-07-12,988.3704305989935
2001-07-13,990.2343969253349
2001-07-16,990.9703188593415
2001-07-17,984.8632959791356
2001-07-18,970.8051254843894
2001-07-19,973.1287509666887
2001-07-20,963.2089848343863
2001-07-23,968.7523603647569
2001-07-24,956.2041879793007
2001-07-25,949.8495745417991
2001-07-26,946.3407928960846
2001-07-27,948.3786471318592
2001-07-30,953.0470665426452
2001-07-31,966.398724007915
2001-08-01,979.3469906709402
2001-08-02,980.277829889269
2001-08-03,968.5538135747149
2001-08-06,972.4161697922033
2001-08-07,972.5206538628701
2001-08-08,971.0968009245688
2001-08-09,952.3956311348946
2001-08-10,949.9947152518404
2001-08-13,945.5097258365415
2001-08-14,948.0590479164962
2001-08-15,944.7068383363527
2001-08-16,939.246104681509
2001-08-17,947.2473362439878
2001-08-20,941.8578614073564
2001-08-21,945.6316107736334
2001-08-22,940.797382722017
2001-08-23,947.0582636437657
2001-08-24,946.1611337721295
2001-08-27,954.2224097318725
2001-08-28,951.1472401279852
2001-08-29,949.5934397527031
2001-08-30,946.9138799700501
2001-08-31,935.1156696205215
2001-09-03,937.6272436714863
2001-09-04,950.5356863638023
2001-09-05,944.9559972844555
2001-09-06,932.6531396338854
2001-09-07,906.9670679045867
2001-09-10,903.5391742241427
2001-09-11,906.3355701490301
2001-09-12,860.6537754046933
2001-09-13,861.9399094467269
2001-09-14,845.1887138719733
2001-09-17,800.2156838082524
2001-09-18,796.6098855735903
2001-09-19,796.1166861962024
2001-09-20,786.5582027659602
2001-09-21,768.5706506737021
2001-09-24,776.7179541114108
2001-09-25,778.6807135073341
2001-09-26,778.5403219828304
2001-09-27,788.0592539591729
2001-09-28,815.0378328107201
2001-10-01,815.1792000544262
2001-10-02,824.2893488915117
2001-10-03,822.3128785587522
2001-10-04,837.1427511346585
2001-10-05,846.9070038425219
2001-10-08,838.2070889851356
2001-10-09,844.7402107676759
2001-10-10,844.5687860750953
2001-10-11,862.0772894612876
2001-10-12,862.904113954472
2001-10-15,872.1489962129708
