Date,NORTH AMERICA MINIMUM VOLATILITY (CAD)
2006-05-31,1000.0
2006-06-01,1013.4676362772151
2006-06-02,1008.5567818891642
2006-06-05,996.1709710852047
2006-06-06,1003.770033915876
2006-06-07,1003.9742015179543
2006-06-08,1013.1077658319579
2006-06-09,1013.0891361623137
2006-06-12,1009.9871791119949
2006-06-13,1000.0117147545706
2006-06-14,996.0717264049485
2006-06-15,1010.4223636130231
2006-06-16,1007.3894542698439
2006-06-19,1006.7663805238551
2006-06-20,1005.6428020553531
2006-06-21,1008.2558867407674
2006-06-22,1006.8573742341521
2006-06-23,1011.7032661589005
2006-06-26,1012.9436047479592
2006-06-27,1002.8658824656798
2006-06-28,1012.0500688275747
2006-06-29,1028.6871701341024
2006-06-30,1010.6679308054956
2006-07-03,1016.0006036058063
2006-07-04,1017.8695576367332
2006-07-05,1017.933580445834
2006-07-06,1016.9162848079354
2006-07-07,1008.3813260143281
2006-07-10,1017.2451973057291
2006-07-11,1019.9744486392769
2006-07-12,1018.7138746934882
2006-07-13,1008.4910507628825
2006-07-14,1010.9522277013973
2006-07-17,1020.1693798813561
2006-07-18,1025.9030660269505
2006-07-19,1034.3401355374067
2006-07-20,1021.5235116504302
2006-07-21,1013.1175666206163
2006-07-24,1029.6300585425497
2006-07-25,1035.5223703219162
2006-07-26,1039.546544326349
2006-07-27,1027.16936603513
2006-07-28,1035.8147250801005
2006-07-31,1033.0432716749228
2006-08-01,1032.8518231532134
2006-08-02,1033.8650207346027
2006-08-03,1034.2408526210709
2006-08-04,1028.2294810957812
2006-08-07,1026.6319618673256
2006-08-08,1027.2093929911935
2006-08-09,1020.6563892706571
2006-08-10,1032.6743802907447
2006-08-11,1030.9232371693945
2006-08-14,1033.650218993734
2006-08-15,1040.2841647458195
2006-08-16,1038.7192737277387
2006-08-17,1038.9824066640265
2006-08-18,1043.7816041078781
2006-08-21,1037.6008970976607
2006-08-22,1049.0138688622064
2006-08-23,1047.643286860216
2006-08-24,1050.025812431561
2006-08-25,1053.1228746759468
2006-08-28,1055.1282848848462
2006-08-29,1059.2476670256158
2006-08-30,1054.3373107040586
2006-08-31,1058.232469063084
2006-09-01,1062.6943992412796
2006-09-04,1057.5851083622408
2006-09-05,1062.5851653046782
2006-09-06,1057.696535173127
2006-09-07,1055.916114932206
2006-09-08,1063.5525274945946
2006-09-11,1061.6913489994497
2006-09-12,1069.1608610204305
2006-09-13,1072.1573902196037
2006-09-14,1063.2063876033365
2006-09-15,1074.224078997171
2006-09-18,1068.704560204758
2006-09-19,1067.032738877021
2006-09-20,1070.7850613416554
2006-09-21,1065.2697327246678
2006-09-22,1058.0046161862756
2006-09-25,1070.755212786266
2006-09-26,1080.984443425721
2006-09-27,1080.5147195765448
2006-09-28,1082.5022090356601
2006-09-29,1081.2327865522304
2006-10-02,1073.3533531480189
2006-10-03,1074.0166653497233
2006-10-04,1087.2459147583982
2006-10-05,1089.3794855122637
2006-10-06,1094.3751071178847
2006-10-09,1096.0362550561279
2006-10-10,1102.225013504702
2006-10-11,1098.560403737669
2006-10-12,1107.104014167999
2006-10-13,1114.1660361476718
2006-10-16,1115.3342684554268
2006-10-17,1111.9033801889614
2006-10-18,1117.6822716509737
2006-10-19,1112.6482126044837
2006-10-20,1115.6502377840377
2006-10-23,1127.257303482746
2006-10-24,1127.2400754488528
2006-10-25,1127.8296068425248
2006-10-26,1125.489667548049
2006-10-27,1115.2637472481995
2006-10-30,1117.5697790409213
2006-10-31,1116.3157646672282
2006-11-01,1105.416669466921
2006-11-02,1103.6431390787632
2006-11-03,1106.0102832454756
2006-11-06,1114.2265891888103
2006-11-07,1106.40725931018
2006-11-08,1112.8817144584523
2006-11-09,1106.5012656414656
2006-11-10,1101.111853537458
2006-11-13,1104.9062252526185
2006-11-14,1109.8933945462989
2006-11-15,1111.4862315027503
2006-11-16,1115.6302978902572
2006-11-17,1114.5091303405102
2006-11-20,1118.4043727589092
2006-11-21,1122.6639045110003
2006-11-22,1115.0605630599557
2006-11-23,1114.4365522415476
2006-11-24,1101.9866961493153
2006-11-27,1087.1109424668134
2006-11-28,1088.4545360757118
2006-11-29,1097.339391356643
2006-11-30,1090.8253535369493
2006-12-01,1083.0470301672403
2006-12-04,1094.1970068187193
2006-12-05,1098.422684290431
2006-12-06,1095.045117477895
2006-12-07,1094.9511648019275
2006-12-08,1094.84987152833
2006-12-11,1106.2655817224502
2006-12-12,1104.89760273466
2006-12-13,1107.0331995897836
2006-12-14,1116.4979307576953
2006-12-15,1122.0206042663435
2006-12-18,1121.5461841510642
2006-12-19,1114.2371086755588
2006-12-20,1113.7420170760074
2006-12-21,1112.2605947794896
2006-12-22,1108.5613010417187
2006-12-25,1108.5613010417187
2006-12-26,1114.2860395042228
2006-12-27,1121.6016526184085
2006-12-28,1120.189890729949
2006-12-29,1113.4881519106918
2007-01-01,1113.4881519106918
2007-01-02,1105.8948860144533
2007-01-03,1112.102894850434
2007-01-04,1120.543663565993
2007-01-05,1119.7957032758618
2007-01-08,1121.2984758530458
2007-01-09,1122.4519993345684
2007-01-10,1130.7111389946413
2007-01-11,1142.0682561513022
2007-01-12,1141.8552710902622
2007-01-15,1142.2025424113076
2007-01-16,1145.1232383707509
2007-01-17,1143.9668393563757
2007-01-18,1142.8083298108809
2007-01-19,1145.4102668597911
2007-01-22,1140.0299663522255
2007-01-23,1137.5769214460197
2007-01-24,1151.1898016593973
2007-01-25,1142.9030154579773
2007-01-26,1147.7700926387067
2007-01-29,1145.0941094982772
2007-01-30,1148.3147141825702
2007-01-31,1150.6044043403704
2007-02-01,1153.3942740940042
2007-02-02,1159.1968338255128
2007-02-05,1164.527729433741
2007-02-06,1165.0928134165583
2007-02-07,1162.7617306450607
2007-02-08,1159.7076575075425
2007-02-09,1157.9292038079668
2007-02-12,1156.4072796238468
2007-02-13,1162.1004709533547
2007-02-14,1156.5997031693973
2007-02-15,1158.5028342951719
2007-02-16,1160.810709182125
2007-02-19,1159.1957630435006
2007-02-20,1161.2375945794636
2007-02-21,1161.6354327956867
2007-02-22,1161.3072037395189
2007-02-23,1152.668413391768
2007-02-26,1152.1093255498658
2007-02-27,1111.9613105259766
2007-02-28,1119.0778920013854
2007-03-01,1119.64712652492
2007-03-02,1106.19037379925
2007-03-05,1099.790947001704
2007-03-06,1115.3727426609066
2007-03-07,1107.6688451817608
2007-03-08,1116.54257778377
2007-03-09,1121.1930801741105
2007-03-12,1120.2453923511396
2007-03-13,1099.3894627730301
2007-03-14,1101.0115605035257
2007-03-15,1104.727983876935
2007-03-16,1096.2275926818963
2007-03-19,1107.9073350467836
2007-03-20,1116.0345548576547
2007-03-21,1131.3668794632417
2007-03-22,1125.942243682692
2007-03-23,1131.1207510310537
2007-03-26,1128.1905641086848
2007-03-27,1120.1465914334892
2007-03-28,1112.693329532676
2007-03-29,1119.8973822672165
2007-03-30,1122.2978840176797
2007-04-02,1122.5384339796963
2007-04-03,1131.6245834177157
2007-04-04,1131.3814923747584
2007-04-05,1129.306758391393
2007-04-06,1129.306758391393
