Date,FM EMEA SMALL CAP
2010-11-30,1000.0
2010-12-01,996.3269173780412
2010-12-02,997.2183994718183
2010-12-03,1000.7700389574576
2010-12-06,1005.918361739533
2010-12-07,1009.3754210007536
2010-12-08,1010.5870835271089
2010-12-09,1005.2049794901287
2010-12-10,1005.2161680708834
2010-12-13,1001.0503567854188
2010-12-14,999.6913373337069
2010-12-15,998.1167591272076
2010-12-16,995.9989617343366
2010-12-17,994.5048656902047
2010-12-20,988.8739858655025
2010-12-21,993.0347326830612
2010-12-22,997.7097552783628
2010-12-23,999.8110579707286
2010-12-24,999.321236362898
2010-12-27,1002.2944993230922
2010-12-28,1002.6482303770719
2010-12-29,1007.3357163814551
2010-12-30,1010.9482167027786
2010-12-31,1015.1515035344486
2011-01-03,1025.4602693236393
2011-01-04,1033.5606566851054
2011-01-05,1042.7157530997088
2011-01-06,1049.486468576292
2011-01-07,1045.7792972977077
2011-01-10,1044.3706284492353
2011-01-11,1045.8335727866768
2011-01-12,1047.4087455259173
2011-01-13,1050.4221627473705
2011-01-14,1053.7372344587534
2011-01-17,1047.9475559109244
2011-01-18,1049.6340676245682
2011-01-19,1052.3161571891442
2011-01-20,1046.4244631976344
2011-01-21,1050.2346700506973
2011-01-24,1057.6547299671772
2011-01-25,1061.102530050722
2011-01-26,1061.3581797508084
2011-01-27,1055.2174068448473
2011-01-28,1052.4857750598592
2011-01-31,1032.5358082656214
2011-02-01,1028.9682243318664
2011-02-02,1038.2927932773184
2011-02-03,1030.7695792114557
2011-02-04,1030.8169792290173
2011-02-07,1031.4659954950673
2011-02-08,1033.5068209296628
2011-02-09,1034.8911857813719
2011-02-10,1030.1355085149767
2011-02-11,1029.2311817046843
2011-02-14,1022.1388206582487
2011-02-15,1018.3078787016161
2011-02-16,1003.4639821196473
2011-02-17,1002.1071988385314
2011-02-18,1001.3225461347798
2011-02-21,986.597212211126
2011-02-22,977.5038570254037
2011-02-23,983.0916929059726
2011-02-24,977.7523827542428
2011-02-25,974.4890484121656
2011-02-28,955.13703910531
2011-03-01,945.8353939663174
2011-03-02,921.8986919267388
2011-03-03,919.2063213332452
2011-03-04,917.5275317965509
2011-03-07,922.050037789348
2011-03-08,925.9305716533489
2011-03-09,936.4317504760347
2011-03-10,942.7342841139301
2011-03-11,943.3184648840358
2011-03-14,949.0582090429099
2011-03-15,927.6967207703548
2011-03-16,921.3249103973656
2011-03-17,921.0062919561898
2011-03-18,921.9883778508965
2011-03-21,931.9344117222143
2011-03-22,940.7846384538942
2011-03-23,937.956955179481
2011-03-24,941.3469482053456
2011-03-25,943.1526002427171
2011-03-28,942.0665026702777
2011-03-29,940.7840265077203
2011-03-30,937.7843763108895
2011-03-31,940.7291053805353
2011-04-01,942.6001111950878
2011-04-04,943.2286635140156
2011-04-05,944.8708707614658
2011-04-06,950.5210990659015
2011-04-07,954.2780749099827
2011-04-08,956.0880699111923
2011-04-11,957.4396073919474
2011-04-12,957.9042870868668
2011-04-13,959.3102478138443
2011-04-14,961.2170501628727
2011-04-15,963.5929752667988
2011-04-18,962.9686822512546
2011-04-19,967.7064377079971
2011-04-20,972.1949060170607
2011-04-21,975.7178703112924
2011-04-22,976.0806120824335
2011-04-25,978.5165479739559
2011-04-26,978.9963890838998
2011-04-27,978.7842916597667
2011-04-28,985.9274929081182
2011-04-29,985.0587792892666
2011-05-02,988.6285484797786
2011-05-03,984.4451434255909
2011-05-04,985.2356001385001
2011-05-05,985.1394245050278
2011-05-06,984.7654477607757
2011-05-09,978.0263365226267
2011-05-10,982.4987234068079
2011-05-11,978.2371370388072
2011-05-12,975.2102671615218
2011-05-13,977.2957546741618
2011-05-16,969.3682811799515
2011-05-17,970.320249348837
2011-05-18,966.3631804864299
2011-05-19,970.6991085866563
2011-05-20,969.6865689136185
2011-05-23,956.5813391188658
2011-05-24,954.4081930519429
2011-05-25,950.2946096724515
2011-05-26,953.0231030612088
2011-05-27,954.697306349738
2011-05-30,955.186367127394
2011-05-31,960.3639716393807
2011-06-01,962.1991184049281
2011-06-02,956.5043311886948
2011-06-03,959.3507855750993
2011-06-06,955.8398624370249
2011-06-07,953.6187929160876
2011-06-08,952.2604351663507
2011-06-09,954.2323554463478
2011-06-10,951.82953812992
2011-06-13,952.2168610842327
2011-06-14,954.1474461960909
2011-06-15,955.7242365913398
2011-06-16,947.2738440808281
2011-06-17,950.7934859543626
2011-06-20,939.8339456921501
2011-06-21,939.4891519582769
2011-06-22,940.2372109468699
2011-06-23,936.4710702499493
2011-06-24,938.8135667971804
2011-06-27,936.2381533335518
2011-06-28,934.320649864574
2011-06-29,935.2555459920981
2011-06-30,937.9150384161651
2011-07-01,937.7729426872846
2011-07-04,940.7863713572759
2011-07-05,939.376027720652
2011-07-06,933.7870533803708
2011-07-07,936.2813189398393
2011-07-08,934.3951590098452
2011-07-11,925.8573716399231
2011-07-12,917.6494405845482
2011-07-13,918.8985605651724
2011-07-14,915.0479057139476
2011-07-15,915.1510063741265
2011-07-18,895.7537003973329
2011-07-19,899.5467469838204
2011-07-20,904.3132352737077
2011-07-21,911.6013652533642
2011-07-22,914.408987454027
2011-07-25,914.8005540955126
2011-07-26,920.3478168019025
2011-07-27,915.4103287284223
2011-07-28,906.700685422383
2011-07-29,905.9334029976022
2011-08-01,905.3892150928345
2011-08-02,907.5932959505192
2011-08-03,903.4501098240291
2011-08-04,902.469947727156
2011-08-05,896.6166625354058
2011-08-08,868.1449232271409
2011-08-09,846.142687701093
2011-08-10,855.1991643881156
2011-08-11,848.6184959147145
2011-08-12,852.9803598486038
2011-08-15,853.3593488897802
2011-08-16,853.9453591858717
2011-08-17,859.0562139925405
2011-08-18,856.393725867992
2011-08-19,853.3021259414836
2011-08-22,844.1400161472578
2011-08-23,842.6320888300539
2011-08-24,844.1916179213252
2011-08-25,840.8272170912528
2011-08-26,838.9327157153268
2011-08-29,842.3956452888411
2011-08-30,841.5740572905984
2011-08-31,840.1916224775267
2011-09-01,835.5135884872727
2011-09-02,837.9757807302046
2011-09-05,837.2747086033982
2011-09-06,836.4074295614696
2011-09-07,840.6266628599786
2011-09-08,843.8512115872563
2011-09-09,841.2486584752862
2011-09-12,837.4272645590864
2011-09-13,842.3441307352751
2011-09-14,839.6470077818741
2011-09-15,840.4230918387802
2011-09-16,842.1458696409485
2011-09-19,833.947826472014
2011-09-20,834.9067121805294
2011-09-21,832.2924925320959
2011-09-22,821.1033128537783
2011-09-23,817.670905303957
2011-09-26,804.5575712106073
2011-09-27,803.627441268174
2011-09-28,803.0087983543341
2011-09-29,800.2174276509087
2011-09-30,798.5763327741257
2011-10-03,791.9291983868255
2011-10-04,790.2752426020743
2011-10-05,791.0372046290956
2011-10-06,790.5457467029363
2011-10-07,790.8149580650032
2011-10-10,789.7695820238476
2011-10-11,793.3175525613472
2011-10-12,793.9568273999586
2011-10-13,789.2399932893443
2011-10-14,791.9324342453161
2011-10-17,793.9161364438037
2011-10-18,791.764204154921
2011-10-19,798.0862761952229
2011-10-20,795.344369621323
2011-10-21,795.5678801829648
2011-10-24,797.9174365950206
2011-10-25,803.6926533216734
2011-10-26,803.9460200041772
2011-10-27,813.3711597614739
2011-10-28,816.5404305329472
2011-10-31,817.130347751814
2011-11-01,815.1081384499556
2011-11-02,813.9163595079732
2011-11-03,815.3791854343315
2011-11-04,814.6889764493828
2011-11-07,814.3181592573767
2011-11-08,815.1954445476636
2011-11-09,812.2309165201522
2011-11-10,811.2803188920522
2011-11-11,812.8762926197271
2011-11-14,809.2741784973526
2011-11-15,806.9402991781529
2011-11-16,805.2386620213656
2011-11-17,803.031448440957
