Date,FM GCC COUNTRIES DOMESTIC SMALL CAP
2014-05-30,1000.0
2014-06-02,1006.2422043610845
2014-06-03,1005.1295757912715
2014-06-04,1006.8182349458524
2014-06-05,1001.6739296532315
2014-06-06,1001.7858825870712
2014-06-09,995.9715580753738
2014-06-10,996.2482465972179
2014-06-11,999.2996608989087
2014-06-12,999.5258570959671
2014-06-13,999.1915709717515
2014-06-16,983.8795997554225
2014-06-17,980.2480238437631
2014-06-18,972.7182577475655
2014-06-19,970.5706033442618
2014-06-20,969.8241068017704
2014-06-23,969.2233510620819
2014-06-24,965.7461873587639
2014-06-25,969.6817025665819
2014-06-26,970.8127675512992
2014-06-27,971.239826049389
2014-06-30,970.2982248081807
2014-07-01,962.4472917324774
2014-07-02,968.7076687909384
2014-07-03,968.8867435515443
2014-07-04,968.8867435515443
2014-07-07,966.5116077098986
2014-07-08,970.526578777432
2014-07-09,973.9646847824473
2014-07-10,981.812816661002
2014-07-11,981.7052213938963
2014-07-14,992.9338429485973
2014-07-15,985.570793226854
2014-07-16,989.6244417294494
2014-07-17,986.4114942434907
2014-07-18,986.4114942434907
2014-07-21,984.4142040498739
2014-07-22,988.508996435544
2014-07-23,991.1230682189774
2014-07-24,992.2900192986028
2014-07-25,991.8563418789466
2014-07-28,991.8157181692206
2014-07-29,991.1658913487155
2014-07-30,990.517440065668
2014-07-31,990.9495882993718
2014-08-01,991.1658913487156
2014-08-04,1001.2327499956733
2014-08-05,997.773601187863
2014-08-06,1003.6586418216144
2014-08-07,1001.7986024898833
2014-08-08,1002.2388980961879
2014-08-11,1001.9511691180588
2014-08-12,1002.2278867823006
2014-08-13,1002.5058445053634
2014-08-14,1000.9934827209787
2014-08-15,1000.9934827209787
2014-08-18,1002.871453647484
2014-08-19,1006.509087503262
2014-08-20,1006.9256614885684
2014-08-21,1013.2829858763658
2014-08-22,1013.0551041364283
2014-08-25,1010.3994774676019
2014-08-26,1010.4222361384553
2014-08-27,1009.1535761991876
2014-08-28,1018.6255025886201
2014-08-29,1018.6255025886197
2014-09-01,1015.8220611537735
2014-09-02,1018.5879484600521
2014-09-03,1020.4264796649474
2014-09-04,1022.0378378466237
2014-09-05,1022.0378378466237
2014-09-08,1021.3452639421155
2014-09-09,1020.2786448907328
2014-09-10,1024.6462185494452
2014-09-11,1025.3181182499254
2014-09-12,1025.097600396332
2014-09-15,1023.2991833079191
2014-09-16,1025.513548388252
2014-09-17,1024.9414495184678
2014-09-18,1020.4473668765952
2014-09-19,1019.5725567166338
2014-09-22,1024.7412265979128
2014-09-23,1021.2309589183926
2014-09-24,1021.1040747439486
2014-09-25,1020.4438502790224
2014-09-26,1019.8976050973581
2014-09-29,1021.8011298839418
2014-09-30,1029.9748111158906
2014-10-01,1024.3053047948436
2014-10-02,1025.597240859099
2014-10-03,1023.4174304731596
2014-10-06,1024.1786484643605
2014-10-07,1025.3785798103324
2014-10-08,1025.9819120833172
2014-10-09,1025.7631752093048
2014-10-10,1024.7807331902782
2014-10-13,1002.5193484201307
2014-10-14,1007.2592271713971
2014-10-15,1000.4111824341942
